FID,AREA,PERIMETER,NSUADMIN4L,NSUADMIN40,COUNTY,PAYAM,REGION,PCODE,Shape__Area,Shape__Length
115,0.071,1.053,171,0,Budi,Lauro,Equatoria,SU130103,880179620.512695,117377.352400725
116,0.045,0.857,172,0,Torit,Lomohidang (Isoke),Equatoria,SU131107,556095723.98584,95561.8453454846
117,0.061,1.034,173,0,Budi,Loudo,Equatoria,SU130105,753212519.687012,115297.963777005
118,0.113,1.465,175,0,Budi,Komiri,Equatoria,SU130102,1406015933.83679,163253.084766216
119,0.207,2.151,176,0,Torit,Imotong,Equatoria,SU131105,2573827721.07739,239814.885391463
120,0.085,1.15,177,0,Kajo Keji,Ngepo,Equatoria,SU130405,1058293777.26221,128166.232386761
121,0.172,1.749,178,0,Yei,Otogo,Equatoria,SU131303,2135002184.46606,194929.313163996
122,0.079,1.35,179,0,Torit,Ifuotu,Equatoria,SU131103,978270724.090576,150496.078634066
123,0.156,1.891,180,0,Torit,Ikotos,Equatoria,SU131104,1932138577.95923,210700.578239717
124,0.044,1.015,181,0,Torit,Imurok,Equatoria,SU131106,550065715.674805,113038.450319141
125,0.04,0.815,185,0,Kajo Keji,Livolo,Equatoria,SU130404,494464047.877563,90869.0366971616
126,0.031,0.716,186,0,Kajo Keji,Kangepo I,Equatoria,SU130401,390202677.758667,79778.9201289768
127,0.037,0.81,187,0,Kajo Keji,Kangepo II,Equatoria,SU130402,463226086.374268,90200.2701103792
128,0.298,2.609,140,0,Mundri,Kediba,Equatoria,SU130802,3710135769.93872,291152.917994704
129,0.246,2.499,174,0,Magwi,Pageri,Equatoria,SU130602,3055017050.46863,278360.638792141
130,0.159,2.059,174,0,Magwi,Magwi,Equatoria,SU130601,1976136203.17017,229547.262378063
131,0.173,1.951,90,0,Pibor,Gokangule,Upper Nile,SU071503,2161209877.63159,218026.473376668
132,0.471,2.96,90,0,Pibor,Gumuruk,Upper Nile,SU071504,5882283216.44604,330935.996098441
133,0.225,2.346,90,0,Pibor,Pibor,Upper Nile,SU071508,2813544217.69775,262063.889501699
134,0.897,4.44,90,0,Pibor,Venthaith,Upper Nile,SU071509,11176183476.8474,495231.51402147
135,0.395,2.651,90,0,Pibor,Akelo,Upper Nile,SU071501,4929157588.95264,296405.744924716
136,0.203,1.966,112,0,Pibor,Marou,Upper Nile,SU071506,2531944941.97485,219434.128644609
137,0.307,3.168,112,0,Pibor,Boma,Upper Nile,SU071502,3821224267.93188,353931.253505583
138,0.211,2.007,112,0,Pibor,Meound,Upper Nile,SU071507,2634045509.36377,224217.798547271
139,0.397,2.407,112,0,Pibor,Kassingor,Upper Nile,SU071505,4951241630.01367,268665.753597788
140,0.087,1.476,3,0,Tonga,Ogod,Upper Nile,SU072204,1096382521.1958,165675.191816746
141,0.063,1.181,3,0,Tonga,Panyikang,Upper Nile,SU072207,792895521.550781,132750.342793843
142,0.139,1.862,79,0,Akobo,Akobo,Upper Nile,SU070101,1740573900.74097,208345.577335481
143,0.25,2.691,79,0,Diror,Kaikuiny,Upper Nile,SU070401,3124047864.56104,301319.09524597
144,0.086,1.257,70,0,Wuror,Pieri,Upper Nile,SU072401,1071204965.48999,140376.090755142
145,0.403,2.916,79,0,Diror,Walgak,Upper Nile,SU070402,5047798374.40991,326464.429712776
146,0.159,1.626,70,0,Waat,Motot,Upper Nile,SU072301,1995545796.60327,182198.818829317
147,0.278,2.128,50,0,Nyirol,Lankien,Upper Nile,SU071201,3488827075.5957,238111.910881837
148,0.255,2.009,50,0,Nyirol,Nyirol,Upper Nile,SU071202,3197135771.95581,224902.60758851
149,0.1,1.567,50,0,Old Fangak,Paguir,Upper Nile,SU071305,1249589122.01147,174963.910029759
150,0.063,1.142,50,0,Old Fangak,Keew,Upper Nile,SU071302,785378365.717041,127578.174122097
151,0.106,1.348,75,0,Leer,Mayindit,Upper Nile,SU070901,1330288905.22656,150845.64789128
152,0.151,1.72,75,0,Leer,Thonyor,Upper Nile,SU070902,1894686165.89697,192251.987151815
153,0.087,1.479,50,0,Ayod,Jiech,Upper Nile,SU070302,1087555813.83154,165229.538816338
154,0.141,2.058,50,0,Ayod,Pagil,Upper Nile,SU070304,1772935548.87988,230119.428752122
155,0.089,1.443,50,0,Atar,Kurway,Upper Nile,SU070202,1117310280.96045,161305.391603609
156,0.132,1.635,50,0,Old Fangak,Nyadin,Upper Nile,SU071304,1659616105.59912,182437.705695364
157,0.148,2.217,50,0,Old Fangak,Toch,Upper Nile,SU071306,1855240274.46265,247721.280948336
158,0.198,2.19,50,0,Ayod,Haat,Upper Nile,SU070301,2482624196.32837,245163.435563945
159,0.614,3.449,50,0,Ayod,Wau,Upper Nile,SU070305,7685558520.12158,385510.485113785
160,0.114,1.367,70,0,Waat,Waat,Upper Nile,SU072302,1427149994.6814,152823.472638869
161,0.159,1.751,70,0,Wuror,Yuai,Upper Nile,SU072402,1992469252.73779,195967.586070154
162,0.152,1.735,50,0,Ayod,Mogok,Upper Nile,SU070303,1904798245.4502,193604.76077974
163,0.081,1.189,74,0,Latjor,Wanding,Upper Nile,SU070807,1010144838.30786,132972.772874335
164,0.342,2.759,14,0,Mayom,Mankien,Upper Nile,SU071001,4293824235.36938,308835.849865989
165,0.219,2.027,14,0,Mayom,Wichok,Upper Nile,SU071002,2748393042.90674,226991.184553019
166,0.752,3.859,91,0,Rumbek-Cueibet,Rup,Bahr el Ghazal,SU080810,9393788591.34351,431470.747628651
167,0.456,2.922,84,0,Tonj,Tonj,Bahr el Ghazal,SU080906,5694665420.12695,326797.459543606
168,0.094,1.55,96,0,Tonj,Thiet,Bahr el Ghazal,SU080905,1178847351.98389,173165.544925801
169,0.172,2.018,84,0,Tonj,Ananatak,Bahr el Ghazal,SU080902,2153061553.42285,225411.557318062
170,0.329,2.802,61,0,Tonj,Luacjang,Bahr el Ghazal,SU080904,4120480719.73462,313212.169493226
171,0.239,2.332,60,0,Koch,Koch,Upper Nile,SU070701,2999957049.28638,260439.620231374
172,0.492,3.151,61,0,Tonj,Akop,Bahr el Ghazal,SU080901,6161659792.68701,352874.996573832
173,0.317,2.729,77,0,Tonj,Kuanjthii,Bahr el Ghazal,SU080903,3970076556.16284,305869.534339188
174,0.148,2.975,94,0,North Bor,Kongor,Upper Nile,SU071103,1851069480.48096,331417.777372883
175,0.12,2.597,89,0,North Bor,Lith,Upper Nile,SU071104,1496889287.37036,289306.071739162
176,0.268,3.303,89,0,North Bor,Duk Payuel,Upper Nile,SU071102,3351165085.74854,368119.434314197
177,0.094,1.256,11,0,Aweil North,Malual West,Bahr el Ghazal,SU080203,1183446212.31836,140525.788015635
178,0.075,1.361,17,0,Aweil North,Malual Central,Bahr el Ghazal,SU080201,941750565.895508,152286.039130385
179,0.736,4.173,11,0,Aweil West,Ayat,Bahr el Ghazal,SU080402,9229476565.57495,468677.70563191
180,0.038,1.079,13,0,Ruweng,Paweng,Upper Nile,SU071905,474681808.04541,120717.114691703
181,0.182,2.538,13,0,Ruweng,Kueldit,Upper Nile,SU071904,2283908235.9541,283924.678769417
182,0.213,2.208,13,0,Ruweng,Awet-Adet,Upper Nile,SU071901,2679979810.5686,247348.279752921
183,0.067,1.127,144,0,Tambura,Source Yubu,Equatoria,SU130905,834490211.729004,125711.00059121
184,0.036,0.8,134,0,Tambura,Mupoi,Equatoria,SU130902,449680209.591187,89244.2268087852
185,0.23,3.218,144,0,Tambura,Tambura,Equatoria,SU130906,2869569711.36096,359158.17490656
186,0.076,1.491,134,0,Tambura,Duma,Equatoria,SU130901,950024125.250366,166376.471235257
187,0.488,3.195,116,0,Tambura,Namutina,Equatoria,SU130904,6081939560.72192,356713.125049141
188,0.857,4.206,113,0,Tambura,Nagero,Equatoria,SU130903,10684207285.2572,469209.91330498
189,0.199,2.084,17,0,Aweil North,Malual East,Bahr el Ghazal,SU080202,2498906684.42773,233902.962809772
190,0.063,0.984,50,0,Old Fangak,Kuernyang,Upper Nile,SU071303,789018853.557617,110189.839244521
191,0.069,1.205,50,0,Old Fangak,Juaibor,Upper Nile,SU071301,866621649.625732,134686.011686975
192,0.032,0.902,50,0,Atar,Alam,Upper Nile,SU070201,407374415.578857,100754.077204496
