origin,dest,count
5,1,1
5,13,4
5,33,2
5,42,1
5,63,1
5,72,4
5,75,1
5,87,4
5,113,24
5,131,7
5,132,1
5,163,1
5,186,3
5,281,1
5,286,1
5,290,2
5,329,8
6,126,1
9,71,8
9,126,11
9,131,10
9,329,1
9,332,3
9,335,1
17,1,3
17,3,28
17,13,1
17,29,191
17,30,6
17,33,26
17,34,4
17,35,4
17,39,1
17,57,123
17,61,12
17,63,49
17,64,3
17,65,3
17,70,7
17,71,1
17,72,12
17,75,5
17,88,19
17,93,1936
17,113,30
17,115,24
17,124,6
17,125,4
17,130,1
17,131,11
17,153,1
17,156,18
17,163,1
17,167,138
17,175,3
17,183,1
17,186,167
17,204,35
17,212,1
17,239,6
17,245,58
17,250,58
17,251,58
17,255,12
17,281,106
17,282,45
17,290,1
17,329,20
17,332,198
18,204,2
21,21,1
23,1,1
23,13,2
23,21,1
23,30,2
23,34,7
23,63,3
23,64,1
23,71,36
23,126,20
23,131,52
23,183,3
23,212,2
23,267,3
23,332,9
24,33,1
24,125,1
24,175,1
24,281,4
26,42,1
26,130,1
26,131,1
26,148,1
26,175,1
26,204,1
26,250,1
26,251,1
28,131,1
32,29,1
32,63,2
32,71,1
39,39,1
39,263,1
43,1,1
43,3,6
43,13,1
43,20,2
43,33,2
43,34,3
43,38,2
43,39,2
43,42,7
43,57,12
43,63,4
43,70,1
43,71,2
43,87,3
43,88,1
43,113,1
43,115,2
43,124,1
43,126,9
43,130,26
43,131,6
43,132,20
43,148,2
43,167,1
43,175,4
43,186,34
43,204,28
43,239,1
43,245,9
43,250,4
43,251,4
43,286,4
43,290,1
43,329,75
43,332,11
43,335,2
44,3,1
44,21,4
44,29,1
44,35,1
44,61,1
44,64,1
44,71,12
44,75,2
44,87,1
44,88,1
44,113,1
44,126,9
44,131,11
44,132,1
44,148,2
44,183,3
44,204,3
44,255,1
44,263,1
44,286,3
44,287,1
44,290,1
44,335,3
46,3,1
46,29,3
46,33,3
46,57,1
46,61,1
46,113,1
46,175,1
46,183,1
46,267,1
46,329,1
46,332,3
47,57,1
47,130,1
47,131,1
47,132,1
47,156,1
47,332,3
48,1,1
48,20,3
48,21,3
48,25,1
48,30,10
48,33,2
48,34,52
48,42,233
48,57,12
48,63,186
48,64,1
48,65,1
48,71,47
48,72,1
48,75,2
48,87,1
48,88,2
48,124,6
48,125,4
48,126,50
48,131,131
48,148,4
48,175,10
48,183,4
48,184,2
48,186,20
48,212,69
48,281,1
48,286,2
48,287,1
48,329,94
48,332,9
48,335,17
49,1,1
49,21,1
49,71,2
49,113,1
49,125,3
49,126,1
49,131,11
49,132,2
49,148,4
49,255,1
49,263,2
49,286,1
49,334,2
49,335,1
50,131,2
52,71,2
52,126,3
52,131,2
54,74,1
54,204,2
54,281,1
54,329,1
56,239,1
62,13,2
62,29,1
62,33,1
62,34,1
62,35,1
62,42,3
62,61,1
62,63,1
62,75,12
62,88,3
62,125,3
62,126,1
62,183,1
62,204,1
62,212,1
62,248,4
62,250,1
62,251,1
62,281,12
62,286,16
62,329,34
62,332,1
67,87,1
71,71,1
71,332,1
74,29,1
75,39,3
75,42,1
75,61,2
75,63,1
75,75,4
75,125,2
75,263,2
75,286,1
76,212,1
77,57,1
77,88,2
77,204,1
79,126,1
80,75,3
85,1,1
85,21,2
85,42,2
85,57,5
85,63,1
85,87,1
85,88,19
85,126,30
85,131,2
85,132,10
85,148,12
85,153,1
85,175,8
85,204,7
85,263,31
85,286,1
85,287,1
85,290,1
85,329,1
85,335,3
86,42,3
86,329,1
94,329,1
95,3,1
95,37,1
95,42,2
95,57,4
95,63,2
95,88,1
95,125,2
95,167,1
95,263,1
95,266,1
95,335,1
102,132,1
103,126,2
103,183,1
104,71,1
104,126,1
105,75,1
105,132,1
105,286,1
107,33,1
107,34,1
107,71,1
107,126,5
107,131,1
107,148,2
109,126,1
110,1,1
110,57,2
110,71,3
110,130,2
110,131,1
110,183,1
110,186,1
110,263,1
110,286,1
110,329,5
110,332,2
110,335,2
114,332,2
117,131,2
121,126,1
121,130,1
129,34,1
129,63,1
131,131,1
132,132,2
132,286,1
133,13,2
133,35,1
133,183,2
133,332,1
134,21,1
134,71,1
134,81,1
134,126,1
134,175,1
135,63,1
135,71,1
135,124,1
135,131,4
135,329,2
136,113,1
137,25,1
137,34,3
137,35,1
137,42,7
137,63,3
137,70,1
137,124,2
137,125,8
137,250,1
137,251,1
137,263,2
137,286,1
137,287,2
137,290,2
137,329,1
137,335,1
140,1,10
140,13,1
140,33,1
140,71,1
140,88,1
140,126,1
140,132,1
140,204,1
140,329,1
142,3,7
142,29,3
142,33,3
142,34,6
142,35,1
142,37,2
142,39,3
142,42,43
142,57,14
142,63,14
142,64,2
