id,name,lat,lon 
146,Honfleur,49.41876,0.233262 
147,Ile de France,48.84992,2.637041 
148,"Iles de Los, Guinea",9.500819,-13.7608 
149,Ilha de Itamaric,-7.7478,-34.8258 
150,Ilha de Marambaia,-23.1845,-47.3181 
151,Ilha de Paquetá,-22.7661,-43.1081 
152,Ilha Grande,-2.85811,-41.819 
153,Inhambane,-23.888,35.39599 
154,Isla de Pinas,21.75,-82.85 
155,Jacmel,18.24301,-72.5264 
156,Jacquin,6.65,2.15 
157,"Summerfield, Jamaica",18.10958,-77.2975 
158,"Summerfield, Jamaica",18.10958,-77.2975 
159,"Jeremie, Haiti",18.63897,-74.1181 
160,"Kingston, Jamaica",17.9833,-76.8 
161,"Georgetown, Guyana",6.789848,-58.1261 
162,Maryland,39.04575,-76.6413 
163,Kormantine,5.2025,-1.09028 
164,La Balise,29.1225,-89.1072 
165,La Guiara,10.58751,-66.9214 
166,La Rochelle,46.16033,-1.15114 
167,"Lagos, Onim",6.524379,3.379206 
168,Lancaster,54.047,-2.801 
169,Lay,12.52262,-1.77079 
170,Le Havre,49.49437,0.107929 
171,"Léogâne, Haiti",18.51284,-72.624 
172,Limerick,52.66802,-8.6305 
173,Lisbon,38.72225,-9.13934 
174,Liverpool,53.40837,-2.99157 
175,Loango,-4.34231,15.27782 
176,London,51.50735,-0.12776 
177,Lorient,47.74825,-3.37024 
178,Louisiana,30.9843,-91.9623 
179,"Lower James River, Wingina",37.58905,-78.6594 
180,Lucea,18.45042,-78.1764 
181,Lyme,50.725,-2.94 
182, Macaé,-22.3837,-41.7827 
183,Madagascar,-18.7669,46.86911 
184,Madeira,32.76071,-16.9595 
185,"Magari, Manzanillo",20.3397,-77.1086 
186,Malembo,-14.2292,34.81688 
187,Mangaratiba,-22.9599,-44.0413 
188,Maranhão,-4.96095,-45.2744 
189,Margarita,10.99707,-63.9113 
190,Mariel,22.98744,-82.7536 
191,Marseille,43.29648,5.36978 
192,Martha Brae,18.47048,-77.6601 
193,Martinique,14.64153,-61.0242 
194,Maryland,39.04575,-76.6413 
195,Matanzas,22.57671,-81.3399 
196,Mississippi,32.35467,-89.3985 
197,Mobile,30.69537,-88.0399 
198,Moerdijk,51.70182,4.62735 
199,Monte Christi,19.84735,-71.6406 
200,Montego Bay,18.47622,-77.8939 
201,Montevideo,-34.9011,-56.1645 
202,Montrose,56.70692,-2.46612 
203,Montserrat,16.7425,-62.1874 
204,Mozambique,-18.6657,35.52956 
205,Mpinda,-29.1391,26.2377 
206,Nantes,47.21837,-1.55362 
207,Nassau,25.04798,-77.3554 
208,Netherlands,52.13263,5.291266 
209,Netherlands,52.13263,5.291266 
210,Nevis,17.15536,-62.5796 
211,New Bedford,41.63622,-70.9342 
212,New Calabar,4.958819,8.327819 
213,New Orleans,29.95107,-90.0715 
214,New Providence,40.69843,-74.4015 
215,New York,40.71278,-74.0059 
216,Newport,41.4901,-71.3128 
217,Norfolk,36.85077,-76.2859 
218,North Carolina,35.75957,-79.0193 
219,North Potomac,39.09777,-77.2348 
220,Nova Zeelandia (Wild Coast),6.783333,-58.5167 
221,Odessa,46.48253,30.72331 
222,Other Dutch Americas,5.825278,-55.15 
223,Oxford,51.75202,-1.25773 
224,Oyapock,3.888889,-51.8011 
225,Pará,-1.99813,-54.9306 
226,Paraíba,-7.23996,-36.782 
227,Paramaribo,5.852036,-55.2038 
228,Paranaguá,-25.5166,-48.523 
229,"Patuxent, Maryland",38.53997,-76.7477 
230,Pernambuco,-8.81372,-36.9541 
231,Petit Goave,18.43114,-72.8545 
232,Philadelphia,39.95258,-75.1652 
233,Pillau,54.65912,19.92289 
234,Piscataqua river,43.10549,-70.7912 
235,Plymouth,50.37546,-4.14266 
236,Pointe-a-Pitre,16.23769,-61.534 
237,Ponta Negro,-4.76916,-35.1711 
238,Poole,50.71505,-1.98725 
239,Popo,-3.32391,17.39103 
240,Port Louis,-20.1669,57.50233 
241,Port Maria,18.36536,-76.8923 
242,Port Royal,17.93677,-76.8411 
243,Port-au-Prince,18.5944,-72.3074 
244,Port-de-Paix,19.93489,-72.8309 
245,Porto Novo,6.496857,2.628852 
246,"Portobelo, Panama",9.548889,-79.653 
247,Portsmouth (NH),43.07176,-70.7626 
248,Guinea-Bissau (Portuguese Guinea),12,-15 
249,Poulton,53.84396,-2.98628 
250,Princes Island,0.33333,6.7333 
251,São Tomé and Príncipe,0.33333,6.7333 
252,Providence,41.82399,-71.4128 
253,Puerto Padre,21.18785,-76.6066 
254,Puerto Rico,18.22083,-66.5901 
255,Quilimane,-17.8503,36.92186 
256,"Rappahannock river, Virginia",37.79891,-76.6759 
257,Rhode Island,41.58009,-71.4774 
258,Rio de Janeiro,-22.9068,-43.1729 
259,Rio de Janeiro province,-22.9068,-43.1729 
260,"Rio de Janeiro, Sao Paulo, Santa Catarina",-22.9068,-43.1729 
261,Rio de la Hacha,11.54417,11.54417 
262,Rio Grande do Sul Province,-30.0346,-51.2177 
263,"Rio Pongo, Guinea (Fatala river)",10.16667,-14.0333 
264,Rio Real,-11.4818,-37.9336 
265,São José do Rio Preto,-20.8081,-49.3811 
266,River Brass,4.317373,6.224294 
267,River del Rey,4.733333,8.65 
268,Rochefort,45.9367,-0.9617 
269,Rotterdam,51.92442,4.477733 
270,Sagua,23.05704,-82.3731 
271,Saint Ann's Bay,18.43295,-77.1974 
272,Saint-Domingue,18.48606,-69.9312 
273,Saint-Malo,48.64934,-2.02567 
274,Saint-Marc,19.10493,-72.6949 
275,Saint-Pierre,14.7417,-61.1758 
276,Santa Catarina,-27.2423,-50.2189 
277,Santiago de Cuba,20.01693,-75.8302 
278,Santo Domingo,18.48606,-69.9312 
279,Santos,-23.9679,-46.3289 
280,São Sebastião,-23.8063,-45.4017 
281,São Tomé and Príncipe,0.330192,6.733343 
282,São Tomé and Príncipe,0.330192,6.733343 
283,Savanna la Mar,18.22917,-78.1393 
284,Savannah,32.08354,-81.0998 
285,Senegal,14.4974,-14.4524 
286,Gambia,13.46667,-16.6 
287,Sherbro,7.555433,-12.6676 
288,Shoreham,50.83421,-0.27156 
289,Sierra Leone,8.460555,-11.7799 
290,Sierra Leone,8.460555,-11.7799 
291,South Carolina,33.83608,-81.1637 
292,South Potomac,39.01817,-77.2086 
293,Southeast Brazil,-14.235,-51.9253 
294,Spain,40.46367,-3.74922 
295,"Camaguey, Cuba",21.52176,-77.7812 
296,Honduras,15.2,-86.2419 
297,"Santo Domingo, Dominican Republic",18.48606,-69.9312 
298,"Santo Domingo, Dominican Republic",18.48606,-69.9312 
299,St. Augustine,29.90124,-81.3124 
300,St. Barthélemy,17.9,-62.8333 
301,St. Croix,17.70584,-64.8585 
302,St. Eustatius,17.48903,-62.9736 
303,St. Kitts,17.25,-62.6667 
304,St. Lucia,13.90944,-60.9789 
305,St. Maarten,18.04248,-63.0548 
306,St. Paul de Loanda,-8.83833,13.23444 
307,St. Thomas,18.33536,-64.9534 
308,St. Vincent,13.25,-61.2 
309,Stabroek,6.807041,-58.16 
310,Stockton,54.57,-1.32 
311,Surinam,3.919305,-56.0278 
312,Taipu,-5.62346,-35.5976 
313,Texel,53.09955,4.808668 
314,Tobago,11.25,-60.667 
315,Tortola,18.43347,-64.6333 
316,Tortuga,20.05487,-72.7925 
317,Trinidad,10.46056,-61.2486 
318,Trinidad de Cuba,21.79603,-79.9808 
319,Ubatuba,-23.4337,-45.0838 
320,"Upper James River, Wingina",37.58905,-78.6594 
321,USA,37.09024,-95.7129 
322,USA,37.09024,-95.7129 
323,Vannes,47.65824,-2.76085 
324,Vera Cruz,19.19028,-96.1533 
325,Virginia,37.43157,-78.6569 
326,Vitória,-20.2976,-40.2958 
327,Vlissingen,51.45367,3.570913 
328,Warren,41.7303,-71.2825 
329,West Central Africa and St. Helena,-15.95,-5.71667 
330,West Indies,21.46911,-78.6569 
331,Whitehaven,54.5497,-3.58923 
332,Whydah,-26.1156,28.37181 
333,"Adiaké, Côte d'Ivoire",5.161389,-3.47028 
334,"Adiaké, Côte d'Ivoire",5.161389,-3.47028 
335,"Adiaké, Côte d'Ivoire",5.161389,-3.47028 
336,"York River, Virgina",37.28305,-76.5604 
337,Zanzibar,-6.16592,39.20264 
338,Zeeland,51.49403,3.849682 
339,Antwerp,51.2602,4.402771 
340,Azores,37.74125,-25.6756 
341,Baltimore,39.29039,-76.6122 
342,Basse Indres,47.19646,-1.67424 
343,Bengal,24.38246,87.85762 
344,Bilbao,43.26299,-2.93501 
345,"British Honduras, port unspecified",17.06667,-88.7 
346,Brugge,51.20892,3.22424 
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
