"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ERI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",51.4,
"GAB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",50.2,
"GMB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",58.4,
"GTM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",11,
"GIN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",92.1,
"GNB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",41.8,
"HND","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",12.4,
"IRQ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",54.8,
"JAM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",4.9,
"JOR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",18,
"KEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",41.8,
"KWT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",37,
"KGZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",32.8,
"LAO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",58.2,
"LBN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",43.6,
"LSO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",37.1,
"LBR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",42.5,
"LBY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",25.1,
"MDG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",45.2,
"MWI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",16.3,
"MLI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",72.6,
"MNG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",10.1,
"MAR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",22,
"NAM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",28.2,
"NPL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",42.9,
"NIC","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",13.7,
"NER","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",59.6,
"PSE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",38.7,
"QAT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",6.6,
"RWA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",41.4,
"SEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",56.5,
"SLE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",62.8,
"SOM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",75.7,
"LKA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",53.2,
"SWZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",19.9,
"TJK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",59.6,
"TLS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",86.2,
"TGO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",28.7,
"TTO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",9.9,
"TUN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",18.6,
"TKM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",26.3,
"UGA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",58.3,
"UZB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",41.5,
"YEM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",48.7,
