"region","year","deaths"
"Africa",1900,0.15929139321477165
"Africa",1901,0.16713620859215464
"Africa",1902,0.16857124978081653
"Africa",1903,0.08924496440497592
"Africa",1904,0.3832356044485277
"Africa",1905,0.34707107222957173
"Africa",1906,0.15561748464747652
"Africa",1907,0.028174847714359366
"Africa",1908,0.027899740294892537
"Africa",1909,0.11050924888530282
"Africa",1910,0.10944444472822193
"Africa",1911,0.08122959414933219
"Africa",1912,0
"Africa",1913,0
"Africa",1914,0
"Africa",1915,0
"Africa",1916,0
"Africa",1917,0
"Africa",1918,0
"Africa",1919,0
"Africa",1920,0.1367262481236885
"Africa",1921,0.13609205566059107
"Africa",1922,0.13494567258003468
"Africa",1923,0.13367924494655478
"Africa",1924,0.13230696584175802
"Africa",1925,0.2690320988184691
"Africa",1926,0.2335101129885991
"Africa",1927,0.1282462736556311
"Africa",1928,0.12695837410718178
"Africa",1929,0.12573987689178082
"Africa",1930,0.12454581413532094
"Africa",1931,0.12321882949788059
"Africa",1932,0.12198351341557567
"Africa",1933,0
"Africa",1934,0
"Africa",1935,0.35202070171110644
"Africa",1936,0.3486065215769519
"Africa",1937,0
"Africa",1938,0
"Africa",1939,0.0033149850913337295
"Africa",1940,0.049100777457770396
"Africa",1941,0.24108588147690652
"Africa",1942,0.05467374501352997
"Africa",1943,0.05099371322343803
"Africa",1944,0.05355455308493258
"Africa",1945,0.036656837599452104
"Africa",1946,0
"Africa",1947,0.11884569579357303
"Africa",1948,0.17827883883113776
"Africa",1949,0.00028577680017639716
"Africa",1950,0
"Africa",1951,0.003330383627243932
"Africa",1952,0.06364625904325111
"Africa",1953,0.13955549547622048
"Africa",1954,0.17501758696471914
"Africa",1955,1.1075233375163807
"Africa",1956,1.1406431461319706
"Africa",1957,1.2856884447184023
"Africa",1958,1.2597965318990603
"Africa",1959,1.2360193669472448
"Africa",1960,1.2175494044213235
"Africa",1961,1.3793714240243387
"Africa",1962,2.6428400882629575
"Africa",1963,2.598184169220374
"Africa",1964,0.9100698091782292
"Africa",1965,0.8515454370289682
"Africa",1966,0.412923434556494
"Africa",1967,0.8530890901594506
"Africa",1968,1.156755940525743
"Africa",1969,1.147361691469523
"Africa",1970,0.4007083997786945
"Africa",1971,0.26142986604486534
"Africa",1972,0.32922304216515774
"Africa",1973,0.34839921513574584
"Africa",1974,0.5510247047741177
"Africa",1975,0.816732193994294
"Africa",1976,0.6784841608951457
"Africa",1977,1.0172192239117521
"Africa",1978,1.2272713613048383
"Africa",1979,0.8901803726910266
"Africa",1980,1.1189312490456393
"Africa",1981,1.0235784376005068
"Africa",1982,1.0809881666868582
"Africa",1983,1.0604476580762736
"Africa",1984,1.4269422789345128
"Africa",1985,1.3825509777822655
"Africa",1986,1.3602016366836622
"Africa",1987,1.0828233511763499
"Africa",1988,1.6169365258952257
"Africa",1989,0.668793651952677
"Africa",1990,1.2294462472861774
"Africa",1991,0.47692315633847115
"Africa",1992,0.12724528815243763
"Africa",1993,0.27600102461302317
"Africa",1994,0.16059075329547265
"Africa",1995,0.12170139083080002
"Africa",1996,0.13654795074662343
"Africa",1997,0.3984631428633488
"Africa",1998,0.39563988302670994
"Africa",1999,1.0236810354812576
"Africa",2000,0.9848410186086987
"Africa",2001,0.1734419187512133
"Africa",2002,0.1166912538108262
"Africa",2003,0.10246893773284085
"Africa",2004,0.09450725989675726
"Africa",2005,0.024586583264503314
"Africa",2006,0.0569929539938752
"Africa",2007,0.051833868260114935
"Africa",2008,0.07000093958727514
"Africa",2009,0.0833229417225582
"Africa",2010,0.05877472190848441
"Africa",2011,0.09506252986933919
"Africa",2012,0.09412440671529668
"Africa",2013,0.10080240004001459
"Africa",2014,0.14527124605412947
"Africa",2015,0.14921100361554845
"Africa",2016,0.1348074442553187
"Africa",2017,0.10947991404739377
"Americas",1900,0.841360438878216
"Americas",1901,0.8526212509433582
"Americas",1902,0.8440513877431117
"Americas",1903,0.7530381219794323
"Americas",1904,0.05106094174548992
"Americas",1905,0
"Americas",1906,0.08534779779569096
"Americas",1907,0.05634969542871874
"Americas",1908,0
"Americas",1909,0
"Americas",1910,1.0335933360133278
"Americas",1911,1.0770502653573786
"Americas",1912,1.0667431389971507
"Americas",1913,2.1244654846384328
"Americas",1914,2.10693646383056
"Americas",1915,0.9882199719566047
"Americas",1916,0.9817495925596278
"Americas",1917,1.9787800313558046
"Americas",1918,2.6160848462465616
"Americas",1919,1.011630117614514
"Americas",1920,1.0039799340518438
"Americas",1921,0
"Americas",1922,0
"Americas",1923,0.17377867396367216
"Americas",1924,0.22113611450407583
"Americas",1925,0
"Americas",1926,0.3849673928661167
"Americas",1927,0.38106511509171237
"Americas",1928,0.3772383092464662
"Americas",1929,0.46702215290136345
"Americas",1930,0.3700697388300544
"Americas",1931,0
"Americas",1932,0.7407699315083013
"Americas",1933,0.4149798896859366
"Americas",1934,0.4110348714792507
