id,location,type,xcoord,ycoord
1,Canada,destination,-98.96742158,54.04115542
2,Romania,departure,-28.7030036,55.94968309
3,Turkey,departure,-28.61386384,51.70929413
4,China,departure,-28.61386384,45.81056722
5,Bangladesh,departure,-28.52472408,39.20882677
6,India,departure,-28.41329937,35.5648726
7,Pakistan,departure,-28.5915789,42.3584773
8,Somalia,departure,-28.36872949,31.59330205
9,USA,destination,-99.1457011,39.38198388
10,Mexico,departure,-101.5970446,22.59215535
11,Cuba,departure,-78.8218352,21.72030072
12,Haiti,departure,-74.00828801,18.9035752
13,Guatemala,departure,-90.23172483,15.8224143
14,El Salvador,departure,-88.76091874,13.56661664
15,Honduras,departure,-85.37360776,14.91427102
16,Puerto Rico,destination,-65.71829008,18.22347042
17,Brazil,departure,-63.89092494,-0.975626364
18,Sweden,destination,12.18986255,57.42120158
19,United Kingdom,destination,-0.779972924,51.51505159
20,France,destination,2.250779009,48.2628438
21,Switzerland,destination,7.866584061,46.44583174
22,Spain,destination,-3.632445331,40.27542753
23,Italy,destination,11.8333035,41.59356345
24,Germany,destination,11.87787338,51.95780809
25,Austria,destination,14.9531952,47.69426607
26,Serbia,destination,20.56900025,44.08580308
27,Bulgaria,destination,24.22373052,42.09347021
28,Greece,destination,23.10948349,37.87877145
29,Turkey,departure,34.29652371,38.96568211
30,Morocco,departure,-6.796906909,33.29391595
31,Algeria,departure,1.62680067,31.93600952
32,Libya,departure,13.61609876,30.63465649
33,Senegal,departure,-16.8697001,13.87163213
34,Niger,departure,6.52948762,15.26070169
35,Nigeria,departure,6.484917739,9.258516565
36,Sudan,departure,30.82007297,14.35011975
37,Eritrea,departure,40.26888782,14.21972424
38,Ethiopia,departure,39.86775888,7.97218371
39,Egypt,departure,31.17663202,29.15901678
40,Iraq,departure,43.43334939,33.21902384
41,Syria,departure,37.46098529,33.77913117
42,Central African Republic,departure,22.61921479,6.503462007
43,Sierra Leone,departure,-11.96701315,7.216173937
44,India,departure,81.05032927,22.55076295
45,United Kingdom,destination,63.71264541,22.67490239
46,USA,destination,64.02463458,18.69133778
47,Afghanistan,departure,64.73775269,33.5555273
48,Pakistan,departure,66.52054794,27.7409813
49,Greece,destination,58.85452835,27.70131869
50,Bangladesh,departure,89.65231637,24.27820999
51,USA,destination,77.93043757,27.66164152
52,Turkey,departure,77.75215805,32.54208924
53,Greece,destination,77.84129781,36.70370139
54,Spain,destination,77.93043757,40.41183973
55,Thailand,departure,101.6861843,16.16730366
56,Malaysia,departure,102.2655928,4.225389439
57,Indonesia,departure,114.0766114,-1.244796457
58,Australia,departure,135.1135954,-14.37135297
59,Vietnam,departure,106.4997315,20.33944291
60,China,departure,112.5166655,39.1394431
61,North Korea,departure,127.3138661,39.76140842
62,South Korea,destination,128.5172529,36.30791081
63,Japan,destination,140.9522498,37.94939175
64,USA,destination,77.93043757,48.11382873
65,Poland,destination,78.28699662,44.34224737
66,Germany,destination,54.1746908,45.13638795
67,Greece,destination,54.13012092,40.95470555
