id,from,to,value,color,route_index,distance,angle,xcoord,ycoord
31,SEN,ITA,2100,africa-europe,4,33.26656572,44.43866087,4.492095762,27.78679897
31,SEN,ITA,2100,africa-europe,5,41.45605436,26.00691641,4.441237361,35.97612969
31,SEN,ITA,2100,africa-europe,6,50.70342896,52.36965363,11.76484707,41.62225027
32,SLE,ITA,6000,africa-europe,0,0,87.92029221,-12.03688449,7.180160084
32,SLE,ITA,6000,africa-europe,1,2.799055756,67.04381863,-9.23967245,7.281737197
32,SLE,ITA,6000,africa-europe,2,6.817723559,22.69689964,-6.340743606,10.06488334
32,SLE,ITA,6000,africa-europe,3,21.88630967,44.40876717,-6.544177209,25.13209616
32,SLE,ITA,6000,africa-europe,4,34.85553217,44.65571606,6.424714991,25.2246567
32,SLE,ITA,6000,africa-europe,5,45.27571583,21.24146547,6.373856591,35.64471624
32,SLE,ITA,6000,africa-europe,6,53.36557613,42.76257891,11.86656388,41.58407701
33,MAR,ESP,700,africa-europe,0,0,359.293348,-6.798469213,33.28614247
33,MAR,ESP,700,africa-europe,1,4.123735163,24.17342815,-6.849327613,37.409564
33,MAR,ESP,700,africa-europe,2,8.433073301,49.05350828,-3.594389963,40.23370565
34,SYR,ESP,7000,middle east-europe,0,0,256.9180886,37.44833947,33.83964691
34,SYR,ESP,7000,middle east-europe,1,1.879685002,263.4590443,35.61743704,33.41419185
34,SYR,ESP,7000,middle east-europe,2,38.59945037,315,-1.102328325,33.41419185
34,SYR,ESP,7000,middle east-europe,3,42.67591675,338.755029,-1.102328325,37.49065823
34,SYR,ESP,7000,middle east-europe,4,46.29004705,317.5100581,-3.543531562,40.15570318
35,ETH,LBY,6160,african countries transfer,0,0,215.9609052,39.78782591,7.890699295
35,ETH,LBY,6160,african countries transfer,1,3.897307644,242.864786,37.49919787,4.736148838
35,ETH,LBY,6160,african countries transfer,2,29.17413886,314.5797766,12.22257268,4.634093252
35,ETH,LBY,6160,african countries transfer,3,53.09436244,18.36839983,11.96828068,28.55296512
35,ETH,LBY,6160,african countries transfer,4,55.77718475,37.34591325,13.5957495,30.68577566
36,ETH,ITA,3380,african countries transfer,0,0,88.4138983,39.73696751,7.890699295
36,ETH,ITA,3380,african countries transfer,1,7.326416766,71.18000267,47.06057722,8.093488367
36,ETH,ITA,3380,african countries transfer,2,12.04447619,27.14867954,50.87495728,10.87028318
36,ETH,ITA,3380,african countries transfer,3,20.34048504,334.080087,50.92581568,19.16613614
36,ETH,ITA,3380,african countries transfer,4,25.10407735,288.904461,47.16229402,22.08636155
36,ETH,ITA,3380,african countries transfer,5,49.00752572,315,23.25884565,22.08636155
36,ETH,ITA,3380,african countries transfer,6,61.60532787,330.4742067,23.25884565,34.6841637
36,ETH,ITA,3380,african countries transfer,7,74.94806453,300.9484135,11.81570547,41.545881
37,ERI,Sudan,5230,african countries transfer,0,0,270,40.24555151,14.31649331
37,ERI,Sudan,5230,african countries transfer,1,9.459662546,270,30.78588897,14.31649331
38,SUD,Italy,0,africa-europe,0,0,270.996864,30.83674737,14.36607854
38,SUD,Italy,0,africa-europe,1,11.39400627,315.2820932,19.44446559,14.56430784
38,SUD,Italy,0,africa-europe,2,31.59841823,336.2555082,19.29189039,34.7681437
38,SUD,Italy,0,africa-europe,3,41.60302748,312.9436942,11.96828068,41.58407701
39,TUR,GBR,15000,middle east-europe,0,0,89.81457938,34.29511862,39.01452887
39,TUR,GBR,15000,middle east-europe,1,12.25693877,69.65742322,46.55199321,39.05419471
39,TUR,GBR,15000,middle east-europe,2,16.2699161,24.59373228,49.60349726,41.66040078
39,TUR,GBR,15000,middle east-europe,3,34.90139219,327.8160821,49.50178046,60.29159921
39,TUR,GBR,15000,middle east-europe,4,39.53920438,283.0194087,45.33139159,62.32067749
39,TUR,GBR,15000,middle east-europe,5,82.81976151,258.7723122,2.050892524,62.39157117
39,TUR,GBR,15000,middle east-europe,6,85.9586577,213.7253868,-0.848036321,61.18787651
39,TUR,GBR,15000,middle east-europe,7,95.57397686,180,-0.848036321,51.57255735
40,GRC,GBR,15000,european countries transfer,0,0,270.074616,23.10627045,37.9350895
40,GRC,GBR,15000,european countries transfer,1,30.9219339,290.9561923,-7.815637228,37.97535895
40,GRC,GBR,15000,european countries transfer,2,35.70034167,335.9188843,-11.37572528,41.16267034
40,GRC,GBR,15000,european countries transfer,3,44.2015508,29.45823536,-11.37572528,49.66387947
40,GRC,GBR,15000,european countries transfer,4,47.46773634,73.87688612,-8.57851324,51.35016912
40,GRC,GBR,15000,european countries transfer,5,55.301543,88.83730154,-0.746319519,51.50912899
41,ITA,SWE,880,european countries transfer,0,0,236.9692513,12.22257268,57.42133941
41,ITA,SWE,880,european countries transfer,1,2.669164999,208.2529167,9.984803046,55.96640681
41,ITA,SWE,880,european countries transfer,2,15.24530292,157.7800106,10.08651985,43.39068025
41,ITA,SWE,880,european countries transfer,3,17.80886313,136.023439,11.86656388,41.545881
42,IRQ,DEU,8000,middle east-europe,0,0,359.7139367,42.94104675,33.24341712
42,IRQ,DEU,8000,middle east-europe,1,20.37299778,328.3424362,42.83932995,53.61616097
42,IRQ,DEU,8000,middle east-europe,2,23.96809124,283.4527232,39.6352507,55.24667413
42,IRQ,DEU,8000,middle east-europe,3,49.39730824,255.4700725,14.20605031,55.21760843
42,IRQ,DEU,8000,middle east-europe,4,51.95573181,211.9397453,11.96828068,53.97748012
42,IRQ,DEU,8000,middle east-europe,5,53.9844999,182.8738563,11.86656388,51.95126353
44,NGA,NER,0,african countries transfer,0,0,0,6.475573392,9.232179115
