"year","exports","imports"
1700,31.3,70.7
1701,35.2,71.3
1702,37.9,72.1
1703,39.7,73.1
1704,41,74.2
1705,42.3,75.5
1706,44.1,76.7
1707,47.1,77.8
1708,51.3,79
1709,56.2,80.5
1710,61.3,82.3
1711,66,83.8
1712,70.2,84.8
1713,73.7,85.9
1714,76.3,87.3
1715,77.9,88.6
1716,78.4,89.6
1717,78.3,90.7
1718,77.5,92.4
1719,76.5,94.6
1720,75.4,96.9
1721,74.3,99
1722,73.5,100.5
1723,72.9,101.4
1724,72.3,101.7
1725,71.8,101.5
1726,71,100.8
1727,69.9,99.8
1728,68.2,98.7
1729,66.1,97.5
1730,63.8,96.3
1731,61.8,95.2
1732,60.5,94.3
1733,60.1,93.9
1734,60.3,93.8
1735,60.6,93.7
1736,60.9,93.5
1737,61.6,93.1
1738,62.6,92.9
1739,64.2,92.8
1740,66.1,92.9
1741,68.2,92.9
1742,70.2,92.9
1743,72.1,92.6
1744,73.8,91.8
1745,75.1,90.7
1746,76,90
1747,76.5,89.8
1748,76.7,90
1749,76.9,89.9
1750,77.4,89.1
1751,78.1,87.5
1752,79.1,85.5
1753,80.6,83.5
1754,82.5,81.1
1755,85,78.7
1756,88,77.5
1757,91.8,77.4
1758,97.4,77.4
1759,105.9,77.4
1760,117.9,77.3
1761,129.6,77.5
1762,138.5,78
1763,144.6,78.6
1764,148.9,79.3
1765,151.8,80
1766,153.9,80.7
1767,155.8,81.4
1768,158.1,82.2
1769,160.7,83.2
1770,163.6,84.4
1771,166.9,85.8
1772,170.3,87.4
1773,173.9,88.8
1774,177.3,90.1
1775,180.4,91
1776,183,91.5
1777,185,91.8
1778,186.1,91.8
1779,186.3,91.4
1780,185.3,90.8
