"Year","Product","Value"
"1994","Capital goods",1267918530000
"1994","Chemicals",281924430000
"1994","Consumer goods",1160906400000
"1994","Food Products",137201550000
"1994","Footwear",45051940000
"1994","Fuels",221013170000
"1994","Hides and Skins",38710160000
"1994","Intermediate goods",819036830000
"1994","Mach and Elec",1056520010000
"1994","Metals",253854190000
"1994","Minerals",28149530000
"1994","Miscellaneous",317743660000
"1994","Plastic or Rubber",151740400000
"1994","Raw materials",363703920000
"1994","Stone and Glass",109933570000
"1994","Textiles and Clothing",257912390000
"1994","Transportation",471236480000
"1994","Vegetable",131618480000
"1994","Wood",161370380000
"1995","Animal",112375410000
"1995","Capital goods",1536837830000
"1995","Chemicals",345884940000
"1995","Consumer goods",1332482150000
"1995","Food Products",160605490000
"1995","Footwear",49537570000
"1995","Fuels",244173160000
"1995","Hides and Skins",43758100000
"1995","Intermediate goods",1023841710000
"1995","Mach and Elec",1306902160000
"1995","Metals",330605430000
"1995","Minerals",36609560000
"1995","Miscellaneous",378791100000
"1995","Plastic or Rubber",193277850000
"1995","Raw materials",425430750000
"1995","Stone and Glass",130557350000
"1995","Textiles and Clothing",293204660000
"1995","Transportation",525894630000
"1995","Vegetable",156853870000
"1995","Wood",205019250000
"1996","Animal",114503290000
"1996","Capital goods",1630483570000
"1996","Chemicals",363576710000
"1996","Consumer goods",1451138050000
"1996","Food Products",176150720000
"1996","Footwear",51684910000
"1996","Fuels",351103030000
"1996","Hides and Skins",45810570000
"1996","Intermediate goods",1049808360000
"1996","Mach and Elec",1381992010000
"1996","Metals",335556940000
"1996","Minerals",39066200000
"1996","Miscellaneous",400093270000
"1996","Plastic or Rubber",194573650000
"1996","Raw materials",496293290000
"1996","Stone and Glass",140730450000
"1996","Textiles and Clothing",302645370000
"1996","Transportation",560780890000
"1996","Vegetable",166833190000
"1996","Wood",196998880000
"1997","Animal",112813420000
"1997","Capital goods",1739822060000
"1997","Chemicals",381304570000
"1997","Consumer goods",1512762980000
"1997","Food Products",173211350000
"1997","Footwear",51648650000
"1997","Fuels",323419760000
"1997","Hides and Skins",46039260000
"1997","Intermediate goods",1073708090000
"1997","Mach and Elec",1461683880000
"1997","Metals",349447370000
"1997","Minerals",40551750000
"1997","Miscellaneous",421094790000
"1997","Plastic or Rubber",200254560000
"1997","Raw materials",465374040000
"1997","Stone and Glass",143856630000
"1997","Textiles and Clothing",326735720000
"1997","Transportation",598891390000
"1997","Vegetable",168097130000
"1997","Wood",196245990000
"1998","Animal",108351200000
"1998","Capital goods",1784024690000
"1998","Chemicals",390081580000
"1998","Consumer goods",1518165320000
"1998","Food Products",164747290000
"1998","Footwear",48360280000
"1998","Fuels",272809650000
"1998","Hides and Skins",41724360000
"1998","Intermediate goods",1053071580000
"1998","Mach and Elec",1473112940000
"1998","Metals",338902440000
"1998","Minerals",38882220000
"1998","Miscellaneous",420067770000
"1998","Plastic or Rubber",201307720000
"1998","Raw materials",421378850000
"1998","Stone and Glass",149294930000
"1998","Textiles and Clothing",316131380000
"1998","Transportation",650093590000
"1998","Vegetable",163635170000
"1998","Wood",192164230000
"1999","Animal",113118360000
"1999","Capital goods",1914640490000
"1999","Chemicals",432011360000
"1999","Consumer goods",1637511000000
"1999","Food Products",169049590000
"1999","Footwear",49209740000
"1999","Fuels",358682940000
"1999","Hides and Skins",40985100000
"1999","Intermediate goods",1087105160000
"1999","Mach and Elec",1593224940000
"1999","Metals",339639680000
"1999","Minerals",37436810000
"1999","Miscellaneous",454633780000
"1999","Plastic or Rubber",219081760000
"1999","Raw materials",474840320000
"1999","Stone and Glass",163541460000
"1999","Textiles and Clothing",321361520000
"1999","Transportation",692838490000
"1999","Vegetable",159197070000
"1999","Wood",203396920000
"2000","Animal",117930620000
"2000","Capital goods",2164063510000
"2000","Chemicals",456122230000
"2000","Consumer goods",1793660860000
"2000","Food Products",165902330000
"2000","Footwear",52194880000
"2000","Fuels",607501290000
"2000","Hides and Skins",47867260000
"2000","Intermediate goods",1190607220000
"2000","Mach and Elec",1830964810000
"2000","Metals",377430020000
"2000","Minerals",41122040000
"2000","Miscellaneous",584674420000
"2000","Plastic or Rubber",238675430000
"2000","Raw materials",633084220000
"2000","Stone and Glass",181599260000
"2000","Textiles and Clothing",346251540000
"2000","Transportation",705259550000
"2000","Vegetable",151505830000
"2000","Wood",219100030000
"2001","Animal",122258130000
"2001","Capital goods",2030170170000
"2001","Chemicals",478544170000
"2001","Consumer goods",1808992580000
"2001","Food Products",176377230000
