"cc","count","year"
"AL",13,"2016"
"AT",74,"2016"
"BA",11,"2016"
"BE",36,"2016"
"BG",346,"2016"
"CH",8,"2016"
"CY",5,"2016"
"CZ",11,"2016"
"DE",267,"2016"
"DK",35,"2016"
"EE",7,"2016"
"EL",64,"2016"
"ES",586,"2016"
"FI",5,"2016"
"FR",617,"2016"
"HR",69,"2016"
"HU",13,"2016"
"IE",28,"2016"
"IS",2,"2016"
"IT",45,"2016"
"LT",65,"2016"
"LU",8,"2016"
"LV",3,"2016"
"ME",8,"2016"
"MK",8,"2016"
"NL",5,"2016"
"NO",328,"2016"
"PL",514,"2016"
"PT",26,"2016"
"RO",53,"2016"
"RS",20,"2016"
"SE",8,"2016"
"SI",109,"2016"
"SK",26,"2016"
"TR",155,"2016"
"UK",109,"2016"
"XK",8,"2016"
"AL",13,"2017"
"AT",74,"2017"
"BA",11,"2017"
"BE",36,"2017"
"BG",346,"2017"
"CH",8,"2017"
"CY",5,"2017"
"CZ",11,"2017"
"DE",267,"2017"
"DK",35,"2017"
"EE",7,"2017"
"EL",64,"2017"
"ES",586,"2017"
"FI",5,"2017"
"FR",617,"2017"
"HR",69,"2017"
"HU",13,"2017"
"IE",28,"2017"
"IS",2,"2017"
"IT",45,"2017"
"LT",65,"2017"
"LU",8,"2017"
"LV",3,"2017"
"ME",8,"2017"
"MK",8,"2017"
"NL",5,"2017"
"NO",328,"2017"
"PL",514,"2017"
"PT",26,"2017"
"RO",53,"2017"
"RS",20,"2017"
"SE",8,"2017"
"SI",109,"2017"
"SK",26,"2017"
"TR",155,"2017"
"UK",109,"2017"
"XK",8,"2017"
