Entity,Code,Year,Smallpox_death_rate_in_London
United Kingdom,GBR,1755,9.070584478
United Kingdom,GBR,1756,7.704101188
United Kingdom,GBR,1757,15.46473983
United Kingdom,GBR,1758,7.242831133
United Kingdom,GBR,1759,13.24219547
United Kingdom,GBR,1760,11.02874433
United Kingdom,GBR,1761,7.240184209
United Kingdom,GBR,1762,10.41935729
United Kingdom,GBR,1763,13.69894447
United Kingdom,GBR,1764,10.26635635
United Kingdom,GBR,1765,10.7533362
United Kingdom,GBR,1766,9.761197775
United Kingdom,GBR,1767,9.676278082
United Kingdom,GBR,1768,12.8093405
United Kingdom,GBR,1769,9.008101799
United Kingdom,GBR,1770,8.852634394
United Kingdom,GBR,1771,7.621671258
United Kingdom,GBR,1772,15.3226116
United Kingdom,GBR,1773,4.797746583
United Kingdom,GBR,1774,11.87033135
United Kingdom,GBR,1775,13.01062689
United Kingdom,GBR,1776,9.071818564
United Kingdom,GBR,1777,11.00111425
United Kingdom,GBR,1778,6.985636551
United Kingdom,GBR,1779,12.208619
United Kingdom,GBR,1780,4.245260028
United Kingdom,GBR,1781,16.90086436
United Kingdom,GBR,1782,3.549503293
United Kingdom,GBR,1783,8.145462189
United Kingdom,GBR,1784,9.866502131
United Kingdom,GBR,1785,10.56609757
United Kingdom,GBR,1786,5.915713308
United Kingdom,GBR,1787,12.49676986
United Kingdom,GBR,1788,5.589683708
United Kingdom,GBR,1789,10.01012097
United Kingdom,GBR,1790,8.964408471
United Kingdom,GBR,1791,9.312366738
United Kingdom,GBR,1792,7.757383862
United Kingdom,GBR,1793,10.95222769
United Kingdom,GBR,1794,9.942310691
United Kingdom,GBR,1795,4.910524576
United Kingdom,GBR,1796,18.39485691
United Kingdom,GBR,1797,3.068061596
United Kingdom,GBR,1798,12.87248692
United Kingdom,GBR,1799,6.126612992
United Kingdom,GBR,1800,10.44303797
United Kingdom,GBR,1801,7.541034376
United Kingdom,GBR,1802,8.147995253
United Kingdom,GBR,1803,6.138290267
United Kingdom,GBR,1804,3.651520488
United Kingdom,GBR,1805,9.592940507
United Kingdom,GBR,1806,6.455569183
United Kingdom,GBR,1807,7.074288208
United Kingdom,GBR,1808,5.858474491
United Kingdom,GBR,1809,6.972422062
United Kingdom,GBR,1810,6.022218871
United Kingdom,GBR,1811,4.406501203
United Kingdom,GBR,1812,7.034708937
United Kingdom,GBR,1813,5.184158873
United Kingdom,GBR,1814,3.308613805
United Kingdom,GBR,1815,3.706543967
United Kingdom,GBR,1816,3.214215397
United Kingdom,GBR,1817,5.263421474
United Kingdom,GBR,1818,2.136513575
United Kingdom,GBR,1819,3.702933222
United Kingdom,GBR,1820,4.093446351
United Kingdom,GBR,1821,2.753238307
United Kingdom,GBR,1822,3.201696263
United Kingdom,GBR,1823,3.759654151
United Kingdom,GBR,1824,3.58254682
United Kingdom,GBR,1825,6.178065253
United Kingdom,GBR,1826,2.423162154
United Kingdom,GBR,1827,2.763323165
United Kingdom,GBR,1828,2.7546179
United Kingdom,GBR,1829,3.128719606
United Kingdom,GBR,1830,2.896742897
United Kingdom,GBR,1831,2.222046809
United Kingdom,GBR,1841,2.313929725
United Kingdom,GBR,1842,0.792951542
United Kingdom,GBR,1843,0.899051685
United Kingdom,GBR,1844,3.529641949
United Kingdom,GBR,1845,1.881286477
United Kingdom,GBR,1846,0.519716886
United Kingdom,GBR,1847,1.615058091
United Kingdom,GBR,1848,2.804175105
United Kingdom,GBR,1849,0.757763072
United Kingdom,GBR,1850,1.019407559
United Kingdom,GBR,1851,1.913927336
United Kingdom,GBR,1852,2.121234306
United Kingdom,GBR,1853,0.351262715
United Kingdom,GBR,1854,0.941693692
United Kingdom,GBR,1855,1.677375609
United Kingdom,GBR,1856,0.927122254
United Kingdom,GBR,1857,0.263945993
United Kingdom,GBR,1858,0.377576334
United Kingdom,GBR,1859,1.871968962
United Kingdom,GBR,1860,1.44120432
United Kingdom,GBR,1861,0.332561953
United Kingdom,GBR,1862,0.543260453
United Kingdom,GBR,1863,2.808893892
United Kingdom,GBR,1864,0.699148751
United Kingdom,GBR,1865,0.8703812
United Kingdom,GBR,1866,1.728959765
United Kingdom,GBR,1867,1.896396142
United Kingdom,GBR,1868,0.808965013
United Kingdom,GBR,1869,0.352193847
United Kingdom,GBR,1870,1.253316846
United Kingdom,GBR,1871,9.837125451
United Kingdom,GBR,1872,2.502978067
United Kingdom,GBR,1873,0.149750195
United Kingdom,GBR,1874,0.074206189
United Kingdom,GBR,1875,0.0561222
United Kingdom,GBR,1876,0.947586615
United Kingdom,GBR,1877,3.293780423
United Kingdom,GBR,1878,1.683137739
United Kingdom,GBR,1879,0.536960802
United Kingdom,GBR,1880,0.585494527
United Kingdom,GBR,1881,2.924596958
United Kingdom,GBR,1882,0.519821982
United Kingdom,GBR,1883,0.165442311
United Kingdom,GBR,1884,1.114080365
United Kingdom,GBR,1885,1.12375
United Kingdom,GBR,1886,0.02907505
United Kingdom,GBR,1887,0.01094784
United Kingdom,GBR,1888,0.011414367
United Kingdom,GBR,1889,0
United Kingdom,GBR,1890,0.004480889
United Kingdom,GBR,1891,0.008830509
United Kingdom,GBR,1892,0.046359114
United Kingdom,GBR,1893,0.225008738
United Kingdom,GBR,1894,0.113684809
United Kingdom,GBR,1895,0.063002589
United Kingdom,GBR,1896,0.010923656
United Kingdom,GBR,1897,0.019724109
United Kingdom,GBR,1898,0.001188298
United Kingdom,GBR,1899,0.003344892
United Kingdom,GBR,1900,0.004627594
United Kingdom,GBR,1901,0.301553875
United Kingdom,GBR,1902,1.591955416
