"code_insee","prod_tot","prod_type","prod","X","Y"
"02",5,"noir",1,3.55962303191768,49.5609877227044
"02",5,"rouge",0,3.55962303191768,49.5609877227044
"02",5,"vert",4,3.55962303191768,49.5609877227044
"03",10,"noir",10,3.18752132771126,46.393596612331
"03",10,"rouge",0,3.18752132771126,46.393596612331
"03",10,"vert",0,3.18752132771126,46.393596612331
"08",2,"noir",2,4.64053202778397,49.6163093362492
"08",2,"rouge",0,4.64053202778397,49.6163093362492
"08",2,"vert",0,4.64053202778397,49.6163093362492
"10",10,"noir",0,4.16152914457702,48.3046157823856
"10",10,"rouge",0,4.16152914457702,48.3046157823856
"10",10,"vert",10,4.16152914457702,48.3046157823856
"14",120,"noir",120,-0.363036393717422,49.0995409994513
"14",120,"rouge",0,-0.363036393717422,49.0995409994513
"14",120,"vert",0,-0.363036393717422,49.0995409994513
"15",1,"noir",1,2.66897773786192,45.0513452644973
"15",1,"rouge",0,2.66897773786192,45.0513452644973
"15",1,"vert",0,2.66897773786192,45.0513452644973
"16",60,"noir",60,0.203035300610133,45.7187022058009
"16",60,"rouge",0,0.203035300610133,45.7187022058009
"16",60,"vert",0,0.203035300610133,45.7187022058009
"17",46,"noir",44,-0.676332413595516,45.7821752952537
"17",46,"rouge",0,-0.676332413595516,45.7821752952537
"17",46,"vert",2,-0.676332413595516,45.7821752952537
"18",49,"noir",20,2.49109671006757,47.0657741975789
"18",49,"rouge",0,2.49109671006757,47.0657741975789
"18",49,"vert",29,2.49109671006757,47.0657741975789
"19",50,"noir",50,1.87761704909745,45.3572857415474
"19",50,"rouge",0,1.87761704909745,45.3572857415474
"19",50,"vert",0,1.87761704909745,45.3572857415474
"21",15,"noir",10,4.77168495838387,47.4256080939549
"21",15,"rouge",0,4.77168495838387,47.4256080939549
"21",15,"vert",5,4.77168495838387,47.4256080939549
"22",0.5,"noir",0,-2.86468546324611,48.4409192459038
"22",0.5,"rouge",0,-2.86468546324611,48.4409192459038
"22",0.5,"vert",0.5,-2.86468546324611,48.4409192459038
"23",16,"noir",13,2.01810557586246,46.0905901361543
"23",16,"rouge",0,2.01810557586246,46.0905901361543
"23",16,"vert",3,2.01810557586246,46.0905901361543
"24",52,"noir",47,0.741090441759206,45.1049750994198
"24",52,"rouge",0,0.741090441759206,45.1049750994198
"24",52,"vert",5,0.741090441759206,45.1049750994198
"25",1,"noir",1,6.3628302056117,47.1660341897931
"25",1,"rouge",0,6.3628302056117,47.1660341897931
"25",1,"vert",0,6.3628302056117,47.1660341897931
"27",24,"noir",2.5,0.996281368421522,49.1136351329103
"27",24,"rouge",20,0.996281368421522,49.1136351329103
"27",24,"vert",1.5,0.996281368421522,49.1136351329103
"28",35,"noir",2.5,1.37008004144086,48.3880475892251
"28",35,"rouge",30,1.37008004144086,48.3880475892251
"28",35,"vert",2.5,1.37008004144086,48.3880475892251
"29",4,"noir",0,-4.06091414983581,48.2617896224157
"29",4,"rouge",4,-4.06091414983581,48.2617896224157
"29",4,"vert",0,-4.06091414983581,48.2617896224157
"31",3,"noir",3,1.17485490372423,43.3587055013217
"31",3,"rouge",0,1.17485490372423,43.3587055013217
"31",3,"vert",0,1.17485490372423,43.3587055013217
"33",3,"noir",3,-0.577121930703623,44.8262844691613
"33",3,"rouge",0,-0.577121930703623,44.8262844691613
"33",3,"vert",0,-0.577121930703623,44.8262844691613
