"code_insee","noir","rouge","vert","prod_tot","X","Y"
"02",1,0,4,5,3.55962303191768,49.5609877227044
"03",10,0,0,10,3.18752132771126,46.393596612331
"08",2,0,0,2,4.64053202778397,49.6163093362492
"10",0,0,10,10,4.16152914457702,48.3046157823856
"14",120,0,0,120,-0.363036393717422,49.0995409994513
"15",1,0,0,1,2.66897773786192,45.0513452644973
"16",60,0,0,60,0.203035300610133,45.7187022058009
"17",44,0,2,46,-0.676332413595516,45.7821752952537
"18",20,0,29,49,2.49109671006757,47.0657741975789
"19",50,0,0,50,1.87761704909745,45.3572857415474
"21",10,0,5,15,4.77168495838387,47.4256080939549
"22",0,0,0.5,0.5,-2.86468546324611,48.4409192459038
"23",13,0,3,16,2.01810557586246,46.0905901361543
"24",47,0,5,52,0.741090441759206,45.1049750994198
"25",1,0,0,1,6.3628302056117,47.1660341897931
"27",2.5,20,1.5,24,0.996281368421522,49.1136351329103
"28",2.5,30,2.5,35,1.37008004144086,48.3880475892251
"29",0,4,0,4,-4.06091414983581,48.2617896224157
"31",3,0,0,3,1.17485490372423,43.3587055013217
"33",3,0,0,3,-0.577121930703623,44.8262844691613
"35",0,0,0.5,0.5,-1.63830787920487,48.1553907903648
"36",26,0,25,51,1.57590139855386,46.7783227509812
"37",5,0,0,5,0.691000544273561,47.2585967233169
"40",1,0,0,1,-0.783908281123802,43.9659017924409
"41",3,0,0,3,1.4279595376,47.6169721383516
"43",3,0,0,3,3.80631341032574,45.1281277373632
"44",7,0,0,7,-1.68227997420691,47.3616762831849
"45",2,18,22,42,2.34399874530544,47.9118732629657
"46",3,0,0,3,1.60552640937422,44.6246647620317
"47",3,0,0,3,0.460805046677005,44.3679649998983
"49",100,0,20,120,-0.564220311095504,47.3911858523785
"50",9,0,1,10,-1.33096488084218,49.0822098389862
"51",4,0,15,19,4.23873727281522,48.9495115432991
"52",5,0,0,5,5.22556520911945,48.110458714601
"53",30,0,2,32,-0.657417489134645,48.1473787836853
"54",2,0,0,2,6.16205056762678,48.788703575478
"55",2,0,0,2,5.38125777207616,48.9911509172683
"56",0,2,0,2,-2.81227539769991,47.8458746890313
"57",3,0,0,3,6.66138975445329,49.0375378970186
"58",50,0,2,52,3.50427119715202,47.1158059895625
"59",5,0,20,25,3.21362087214208,50.4486483594532
"60",2,14,10,26,2.42517903372139,49.4099435382152
"61",60,0,0,60,0.127698260837275,48.6230775091875
"62",2,0,10,12,2.28572011461295,50.4939764682819
"65",1,0,0,1,0.163912055378055,43.053786663207
"71",4,0,0,4,4.54274978709148,46.6447944753209
"72",31,0,1,32,0.222473770865573,47.994931688802
"75",22.5,0,2.5,25,2.3427010813383,48.8565865443837
"76",8,0,24,32,1.02708099110132,49.6547015355725
"77",7,20,10,37,2.93404209652128,48.6274245359241
"78",25,30,45,100,1.93465293629614,48.8868400894909
"79",38,0,14,52,-0.317732250001684,46.5569620303756
"80",2,0,10,12,2.27542933413321,49.9583106214122
"85",77,0,3,80,-1.29962080387691,46.6742991702828
"86",17,0,18,35,0.459427715912825,46.5649157352718
"87",50,0,10,60,1.23485904315999,45.8923878113128
"88",1,0,0,1,6.38022826228296,48.1961957123043
"89",5,0,15,20,3.56329248510285,47.8405413723589
