admin2Name,SS2008,SS2009,SS2010,SS2011,SS2012,SS2013,SS2014,SS2015,SS2016,SS2017,SS2018,SS2019,SS2020,
Abiemnhom,17397,18112,18846,19687,20562,21460,22379,23336,24339,25384,26472,27577,28736,
Abyei region,53130,55238,57363,59693,62053,64430,66835,69316,71884,74518,77245,79942,82749,
Akobo,137334,142797,148265,153725,158938,164231,169689,175327,186670,192937,199474,205931,212650,
Aweil Centre,42829,44582,46367,48107,49899,51727,53537,55410,57339,59356,61432,63513,65723,
Aweil East,317527,330521,343754,356658,369938,383492,396916,410799,425100,440055,455442,470782,487253,
Aweil North,132180,137589,143097,148469,153998,159640,165228,171007,176960,183186,189591,196014,202833,
Aweil South,75320,78403,81542,84603,87753,90968,94152,97445,100838,104385,108035,111695,115581,
Aweil West,170579,177559,184668,191600,198734,206016,213227,220685,228368,236402,244667,252957,261757,
Awerial,47991,49698,51413,54168,56941,59767,62603,65521,68510,71616,74788,78009,81333,
Ayod,141454,147080,152713,158336,163706,169158,174779,180587,186670,192937,199474,205931,212650,
Baliet,48601,50346,52111,54424,56784,59193,61587,64068,66618,69274,72001,74717,77542,
Bor South,223854,232758,241672,250571,259068,267696,276593,285783,295409,305328,315672,325891,336524,
Budi,100680,105715,110715,116278,122027,127907,133955,140215,146642,153314,160131,167033,174135,
Canal/Pigi,100254,104242,108234,112219,116025,119888,123873,127989,132300,136742,141375,145951,150713,
Cueibet,119272,123513,127776,134624,141514,148537,155587,162838,170268,177987,185870,193875,202136,
Duk,65920,68542,71167,73788,76290,78831,81451,84157,86992,89912,92959,95968,99099,
Ezo,81625,83834,86088,88708,91414,94101,96799,99545,102361,105228,108159,111032,113977,
Fangak,111240,115665,120095,124517,128740,133027,137448,142015,146799,151727,156868,161946,167230,
Fashoda,36937,38263,39605,41362,43156,44986,46806,48692,50629,52648,54721,56785,58932,
Gogrial East,104293,108430,112601,117175,121808,126475,131195,136064,141106,146276,151629,156925,162433,
Gogrial West,246957,256754,266631,277461,288433,299482,310660,322189,334127,346370,359047,371587,384629,
Guit,33594,34974,36392,38017,39707,41441,43214,45063,46999,49018,51119,53252,55490,
Ibba,42370,43517,44687,46047,47451,48846,50247,51672,53134,54622,56143,57635,59164,
Ikotos,85120,89377,93604,98308,103169,108140,113253,118546,123980,129620,135383,141219,147224,
Juba,373578,386861,400345,417585,435017,452768,470409,488509,506888,525953,545388,564629,584507,
Jur River,129769,134343,139008,144747,150602,156506,162420,168523,174860,181402,188132,194806,201707,
Kajo-keji,199093,206171,213358,222545,231835,241296,250697,260343,270138,280299,290656,300910,311504,
Kapoeta East,165665,173949,182176,191331,200790,210466,220417,230718,241295,252271,263488,274845,286532,
Kapoeta North,104341,109559,114741,120507,126465,132559,138826,145314,151976,158889,165954,173107,180468,
Kapoeta South,80544,84572,88572,93023,97622,102326,107164,112172,117315,122651,128105,133626,139308,
Koch,76786,79942,83181,86895,90758,94721,98774,103002,107425,112040,116843,121718,126835,
Lafon,107087,112442,117760,123678,129793,136047,142480,149138,155975,163071,170321,177662,185217,
Lainya,90598,93820,97090,101271,105498,109803,114081,118471,122928,127552,132265,136931,141752,
Leer,54590,56834,59136,61777,64523,67341,70222,73228,76373,79653,83068,86534,90172,
Longochuk,64154,66457,68787,71839,74955,78134,81295,84570,87935,91442,95042,98627,102356,
Luakpiny/Nasir,211902,219509,227205,237288,247579,258080,268518,279338,290451,302034,313926,325768,338084,
Maban,45685,47325,48985,51158,53377,55641,57892,60224,62620,65117,67681,70234,72890,
Magwi,171156,179716,188215,197673,207446,217442,227724,238366,249293,260634,272222,283956,296030,
Maiwut,79706,82568,85462,89255,93126,97076,101002,105072,109252,113609,118082,122537,127169,
Malakal,127336,131907,136531,142590,148774,155085,161357,167859,174537,181498,188644,195760,203161,
Manyo,37909,39270,40647,42451,44292,46170,48038,49973,51961,54034,56161,58280,60483,
Maridi,82872,85113,87402,90062,92809,95537,98277,101065,103923,106834,109810,112727,115717,
Mayendit,55190,57458,59786,62456,65232,68081,70994,74033,77212,80529,83981,87485,91163,
Mayom,123577,128656,133869,139847,146063,152442,158965,165769,172888,180314,188045,195890,204125,
Melut,49573,51353,53153,55512,57920,60377,62819,65350,67949,70659,73441,76212,79093,
Morobo,105139,108877,112672,117524,122430,127426,132391,137485,142657,148023,153493,158908,164502,
Mundri East,48601,49916,51258,52818,54429,56029,57636,59271,60948,62655,64400,66110,67864,
Mundri West,34270,35197,36144,37244,38380,39508,40641,41794,42976,44197,45410,46616,47853,
Mvolo,48601,49916,51258,52818,54429,56029,57636,59271,60948,62655,64400,66110,67864,
Nagero,9970,10239,10515,10835,11165,11493,11823,12158,12502,12852,13210,13561,13921,
Nyirol,109867,114237,118612,122980,127150,131384,135751,140262,144986,149854,154931,159946,165165,
Nzara,66048,67835,69659,71779,73968,76142,78326,80548,82826,85146,87518,89842,92226,
Panyijiar,52190,54335,56537,59062,61687,64381,67136,70009,73016,76152,79417,82730,86208,
Panyikang,45685,47325,48985,51158,53377,55641,57892,60224,62620,65117,65681,70234,72890,
Pariang,84584,88061,91629,95721,99975,104341,108806,113463,118336,123419,128710,134080,139717,
Pibor,149694,155648,161609,167560,173242,179011,184961,191107,197544,204176,211094,217927,225038,
Pochalla,67294,69970,72650,75325,77879,80473,83148,85910,88804,91786,94895,97967,101164,
Raga,55228,57175,59160,61603,64094,66607,69124,71721,74418,77203,80067,82907,85844,
Renk,139000,143990,149038,155652,162403,169291,176138,183235,190525,198123,205924,213692,221771,
Rubkona,102581,106797,111125,116087,121247,126542,131956,137604,143513,149679,156095,162608,169444,
Rumbek Centre,155972,161517,167091,176046,185057,194241,203461,212943,222658,232752,243061,253528,264331,
Rumbek East,124918,129360,133824,140996,148213,155569,162953,170547,178328,186412,194669,203052,211704,
Rumbek North,43757,45313,46876,49389,51917,54493,57079,59740,62465,65297,68189,71126,74156,
Tambura,55455,56956,58487,60267,62105,63931,65764,67630,69542,71490,73482,75434,77435,
Terekeka,146523,151733,157022,163783,170620,177583,184502,191601,198810,206287,213910,221456,229253,
Tonj East,117083,121728,126411,131545,136747,141986,147285,152751,158411,164215,170225,176171,182354,
Tonj North,167262,173897,180587,187922,195353,202837,210407,218216,226301,234593,243179,251672,260506,
Tonj South,87566,91040,94542,98383,102273,106191,110154,114242,118475,122816,127311,131758,136382,
Torit,100680,105715,110715,116278,122027,127907,133955,140215,146643,153314,160131,167003,174135,
Twic,207601,215837,224140,233244,242467,251756,261152,270844,280880,291171,301828,312370,323333,
Twic East,86520,89962,93407,96847,100131,103465,106904,110456,114177,118010,122008,125958,130068,
Ulang,85538,88609,91716,95786,99940,104179,108393,112760,117246,121922,126722,131503,136474,
Uror,179907,187064,194228,201379,208208,215142,222292,229679,237415,245386,253700,261912,270458,
Wau,153826,159248,164777,171580,178521,185519,192529,199764,207275,215031,223008,230919,239100,
Wulu,40934,42389,43852,46202,48567,50977,53397,55885,58435,61084,63790,66537,69372,
Yambio,153281,157428,161661,166581,171662,176708,181776,186931,192219,197603,203107,208502,214033,
Yei,204685,211963,219351,228797,238348,248074,257739,267656,277726,288172,298821,309363,320254,
Yirol East,68458,70892,73339,77269,81224,85255,89302,93463,97728,102158,106683,111277,116019,
Yirol West,104452,108165,111898,117895,123930,130080,136254,142604,149110,155870,162774,169784,177018,
