T_NAME,T_Status,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADMT_PCOD,POINT_X,POINT_Y
Demboya,Wereda Capital,Damboya,ET070307,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET07030701,37.94837500650,7.34184912066
Daratole,Wereda Capital,Daratole,ET050788,Doolo,ET0507,Somali,ET05,Ethiopia,ET05078801,45.43567226270,7.30108617155
Doyo Gena,Wereda Capital,Doyogena,ET070306,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET07030601,37.78121730240,7.34984404757
Negele,Wereda Capital,Arsi Negele town,ET04179900,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET04179901,38.66990571100,7.35424231806
Jara,Wereda Capital,Gololcha Bale,ET042101,East Bale,ET0421,Oromia,ET04,Ethiopia,ET04210101,40.49724592430,7.36781623916
Gasera,Wereda Capital,Gasera,ET041106,Bale,ET0411,Oromia,ET04,Ethiopia,ET04110601,40.18246668270,7.36548055028
Legehida,Wereda Capital,Lagahida,ET050407,Erer,ET0504,Somali,ET05,Ethiopia,ET04210501,41.76576645270,7.36548267399
Silt'ana,Wereda Capital,Inkolo Wabe,ET040824,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04082401,39.39108739370,7.39977898236
Uffa,Wereda Capital,Gimbo,ET070904,Kefa,ET0709,SNNP,ET07,Ethiopia,ET07090401,36.22423356010,7.39353142025
Golije,Wereda Capital,Heban Arsi,ET041783,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET04178301,38.81646008700,7.42427089303
Shaygosh,Wereda Capital,Shaygosh,ET050501,Korahe,ET0505,Somali,ET05,Ethiopia,ET05050101,43.92485773610,7.40264112523
Micha Biliso,Wereda Capital,Seweyna,ET042105,East Bale,ET0421,Oromia,ET04,Ethiopia,ET04210501,40.97729581310,7.45521420741
Gimbichu,Wereda Capital,Gimbichu town,ET070213,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET07021301,37.62565240550,7.44689543972
Jajura,Wereda Capital,Jajura town,ET070214,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET07021401,37.68966887990,7.45991248836
Goderie Mission,Wereda Capital,Mengesh,ET120308,Majang,ET1203,Gambela,ET12,Ethiopia,ET12030801,35.04689439940,7.45163385761
Shebe,Wereda Capital,Shebe Sambo,ET040414,Jimma,ET0404,Oromia,ET04,Ethiopia,ET04041401,36.51229021610,7.50361658078
Dedo,Wereda Capital,Dedo,ET040410,Jimma,ET0404,Oromia,ET04,Ethiopia,ET04041001,36.87227170650,7.50773234503
Kersa,Wereda Capital,Munessa,ET040817,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04081701,38.98196093540,7.52944327340
Bek'oji,Wereda Capital,Bekoji town,ET040894,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04089401,39.24915361630,7.53215958867
Hosaina,Zonal Capital,Hosaena town,ET070211,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET07021100,37.85361372180,7.54345866549
Alem Gebeya,Wereda Capital,Sankura,ET072006,Siltie,ET0720,SNNP,ET07,Ethiopia,ET07200601,38.17735019670,7.56743486537
Gech'a,Wereda Capital,Masha,ET070802,Sheka,ET0708,SNNP,ET07,Ethiopia,ET07080201,35.40137096690,7.56069786556
Danod,Wereda Capital,Danod,ET050701,Doolo,ET0507,Somali,ET05,Ethiopia,ET05070101,45.28738804910,7.55606684639
Bokh,Wereda Capital,Bokh,ET050702,Doolo,ET0507,Somali,ET05,Ethiopia,ET05070201,46.64680683610,7.43673252451
Deke,Wereda Capital,Gesha,ET070902,Kefa,ET0709,SNNP,ET07,Ethiopia,ET07090201,35.75650199860,7.59115821661
Konda,Wereda Capital,Gewata,ET070903,Kefa,ET0709,SNNP,ET07,Ethiopia,ET07090301,36.00297759780,7.59927524409
Gobesa,Wereda Capital,Shirka,ET040814,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04081401,39.49248598400,7.61745556380
Marsin,Wereda Capital,Marsin,ET050586,Korahe,ET0505,Somali,ET05,Ethiopia,ET05058601,44.93920643140,7.60748461475
Burqod,Wereda Capital,Burqod,ET050394,Jarar,ET0503,Somali,ET05,Ethiopia,ET05039401,43.77538061600,7.59716884663
Fonko,Wereda Capital,Analemmo,ET070208,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET07020801,37.96545163410,7.64635704100
Pugnido,Wereda Capital,Gog,ET120203,Agnewak,ET1202,Gambela,ET12,Ethiopia,ET12020301,34.25073454460,7.63769558937
Seru,Wereda Capital,Seru,ET040811,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04081101,40.19696170920,7.67039437615
Jimma,Zonal Capital,Jimma town,ET040418,Jimma,ET0404,Oromia,ET04,Ethiopia,ET04041800,36.83691357260,7.67335844739
Homecho,Wereda Capital,Gibe,ET070210,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET07021001,37.71711403230,7.68743006555
Sagag,Wereda Capital,Sagag,ET051005,Nogob,ET0510,Somali,ET05,Ethiopia,ET05100501,42.83326171010,7.67776973123
Hamero,Wereda Capital,Hamero,ET050404,Erer,ET0504,Somali,ET05,Ethiopia,ET05040401,42.18529085010,7.68964924340
Bale,Wereda Capital,Bele Gesgar,ET040823,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04082301,39.99666485600,7.73111749180
Wilberg,Wereda Capital,Hulbareg,ET072008,Siltie,ET0720,SNNP,ET07,Ethiopia,ET07200801,38.12073618220,7.73784988506
Lera,Wereda Capital,Mierab Azenet Berbere,ET072004,Siltie,ET0720,SNNP,ET07,Ethiopia,ET07200401,37.89353914170,7.74715239541
Sagure,Wereda Capital,Degeluna Tijo,ET040815,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04081501,39.15429048760,7.75387562987
Masha,Zonal Capital,Anderacha,ET070801,Sheka,ET0708,SNNP,ET07,Ethiopia,ET07080100,35.47464727360,7.74553014687
Chira,Wereda Capital,Gera,ET040408,Jimma,ET0404,Oromia,ET04,Ethiopia,ET04040801,36.24921984150,7.74884011417
Yedi,Wereda Capital,Omo Nada,ET040411,Jimma,ET0404,Oromia,ET04,Ethiopia,ET04041101,37.21869313090,7.75388901649
Adele,Wereda Capital,Amigna,ET040810,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04081001,39.90510895840,7.79129493424
Dalocha,Wereda Capital,Dalocha,ET072005,Siltie,ET0720,SNNP,ET07,Ethiopia,ET07200501,38.24306418150,7.78898529666
Ticho,Wereda Capital,Tena,ET040813,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04081301,39.51259508400,7.80742594648
Shentewa,Wereda Capital,Jore,ET120204,Agnewak,ET1202,Gambela,ET12,Ethiopia,ET12020401,33.93598110850,7.78665366843
Gunagado,Wereda Capital,Gunagado,ET050305,Jarar,ET0503,Somali,ET05,Ethiopia,ET05030501,43.93938691300,7.80269390293
Yadeta,Wereda Capital,Saylem,ET070901,Kefa,ET0709,SNNP,ET07,Ethiopia,ET07090101,35.82350403560,7.82844583160
Dimtu,Wereda Capital,Tiro Afeta,ET040404,Jimma,ET0404,Oromia,ET04,Ethiopia,ET04040401,37.23544733530,7.84879255819
Dinkula,Wereda Capital,Endiguagn,ET070108,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET07010801,37.83287529730,7.84513281683
Werabe,Zonal Capital,Worabe town,ET072010,Siltie,ET0720,SNNP,ET07,Ethiopia,ET07201000,38.18632218870,7.85234202470
Robe,Wereda Capital,Robe,ET040812,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04081201,39.62820490750,7.86174312546
T'ora,Wereda Capital,Tora town,ET072009,Siltie,ET0720,SNNP,ET07,Ethiopia,ET07200901,38.41665088830,7.86063474399
Agaro,Wereda Capital,Agaro town,ET040417,Jimma,ET0404,Oromia,ET04,Ethiopia,ET04041701,36.58642915290,7.85222456791
Belitu,Wereda Capital,Lege Hida,ET042102,East Bale,ET0421,Oromia,ET04,Ethiopia,ET04210201,40.98862424610,7.87278166056
K'osa,Wereda Capital,Enor Ener,ET070120,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET07012001,37.73209460450,7.86723319998
Yahob,Wereda Capital,Yahob,ET050498,Erer,ET0504,Somali,ET05,Ethiopia,ET05049801,42.58386448890,7.89290891152
Abobo,Wereda Capital,Abobo,ET120201,Agnewak,ET1202,Gambela,ET12,Ethiopia,ET12020101,34.54183176730,7.89465264747
Sigmo,Wereda Capital,Sigmo,ET040412,Jimma,ET0404,Oromia,ET04,Ethiopia,ET04041201,36.10147551900,7.90933825952
Deneba,Wereda Capital,Sekoru,ET040403,Jimma,ET0404,Oromia,ET04,Ethiopia,ET04040301,37.41469434490,7.92479182505
Ziway,Wereda Capital,Adama Tulu Jido Kombolcha,ET040708,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET04070801,38.71408843360,7.93337947930
Areket,Wereda Capital,Gumer,ET070109,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET07010901,38.06884376340,7.93409037795
Asela,Zonal Capital,Asela town,ET040825,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04082500,39.13216646050,7.94568696964
Kula,Wereda Capital,Sude,ET040808,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04080801,39.68816226140,7.97280963280
Gatira,Wereda Capital,Setema,ET040413,Jimma,ET0404,Oromia,ET04,Ethiopia,ET04041301,36.20383524480,7.97764020434
Degah Medo,Wereda Capital,Degehamedo,ET050301,Jarar,ET0503,Somali,ET05,Ethiopia,ET05030101,43.02044419180,7.98360277411
Koshe,Wereda Capital,Mareko,ET070107,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET07010701,38.52847706900,8.00498371519
Gunchire,Wereda Capital,Enemor Ener,ET070111,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET07011101,37.83972764110,8.02826497795
Hamda Diksis,Wereda Capital,Diksis,ET040822,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04082201,39.55567028490,8.05704209760
Inseno,Wereda Capital,Misrak Meskan,ET070118,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET07011801,38.47062055770,8.06265564610
Dembi,Wereda Capital,Dedesa,ET041608,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET04160801,36.45913042650,8.07876895780
Limu Genet,Wereda Capital,Limu Kosa,ET040402,Jimma,ET0404,Oromia,ET04,Ethiopia,ET04040201,36.94619450930,8.08723424191
Indibir,Wereda Capital,Emdebir town,ET070116,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET07011601,37.92410712080,8.11944469286
Butajera,Wereda Capital,Butajira town,ET070115,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET07011501,38.37696344710,8.11792011324
Gashamo,Wereda Capital,Gashamo,ET050304,Jarar,ET0503,Somali,ET05,Ethiopia,ET05030401,45.34623835970,8.11629132526
Etaya,Wereda Capital,Hitosa,ET040807,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04080701,39.23175251310,8.12728671787
Arb Gebeya,Wereda Capital,Lude Hitosa,ET040821,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04082101,39.43195724260,8.13133642829
Ch'ole,Wereda Capital,Chole,ET040809,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04080901,39.90106562350,8.13847536873
Agena,Wereda Capital,Ezha,ET070103,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET07010301,38.01071754510,8.13538866342
Fik,Zonal Capital,Fik,ET050402,Erer,ET0504,Somali,ET05,Ethiopia,ET05040200,42.29376796250,8.13881842112
Maki,Wereda Capital,Dugda,ET040707,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET04070701,38.81768108280,8.14463966087
Gore,Wereda Capital,Ale,ET040311,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET04031101,35.53534045350,8.15036876896
Kumbi,Wereda Capital,Kumbi,ET041098,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04109801,41.66710963550,8.12655327190
Abiyu,Wereda Capital,Halu /Huka,ET040319,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET04031901,35.35250668440,8.17749232170
Baccio,Wereda Capital,Becho (Ilu Aba Bora),ET040314,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET04031401,35.68239836450,8.20514959515
Itang,Wereda Capital,Itang,ET120407,Itang Special woreda,ET1204,Gambela,ET12,Ethiopia,ET12040701,34.26600555740,8.19118688689
Degehabur,Zonal Capital,Degahabur town,ET050307,Jarar,ET0503,Somali,ET05,Ethiopia,ET05030700,43.55784149850,8.21605886613
Abole,Wereda Capital,Gambela Zuria,ET120202,Agnewak,ET1202,Gambela,ET12,Ethiopia,ET12020201,34.43490748510,8.22446352992
Yanfa,Wereda Capital,Borecha,ET041607,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET04160701,36.60239557300,8.24312265013
Chancho/ Debre Selam,Wereda Capital,Golocha,ET040803,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04080301,40.13246594290,8.24889209229
Sibo,Wereda Capital,Bure (OR),ET040312,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET04031201,35.23883534430,8.23742124499
Gambela,Regional Capital,Gambela town,ET120206,Agnewak,ET1202,Gambela,ET12,Ethiopia,ET12020600,34.58623095180,8.24776637675
Daror,Wereda Capital,Daror,ET050392,Jarar,ET0503,Somali,ET05,Ethiopia,ET05039201,44.69409414890,8.22620746603
Sire,Wereda Capital,Sire,ET040820,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04082001,39.49241143510,8.27553051048
Welkite,Zonal Capital,Welkite town,ET070114,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET07011400,37.77732176420,8.27993211148
Alem Tena,Wereda Capital,Bora (OR),ET040710,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET04071001,38.94776905400,8.29643584118
Aware,Wereda Capital,Aware,ET050303,Jarar,ET0503,Somali,ET05,Ethiopia,ET05030301,44.15083917960,8.25752398834
Tefe,Wereda Capital,Burqua Dhintu,ET040998,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET04099801,41.08227725120,8.32211706066
Atnago,Wereda Capital,Limu Seka,ET040401,Jimma,ET0404,Oromia,ET04,Ethiopia,ET04040101,36.94669571570,8.30105508499
Metu,Zonal Capital,Metu town,ET040320,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET04032000,35.58076319500,8.29750015092
Bu'i,Wereda Capital,Bui town,ET070117,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET07011701,38.54916738720,8.31556162968
Dera,Wereda Capital,Dodota,ET040805,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04080501,39.31952677070,8.32379109078
Nginngang,Zonal Capital,Makuey,ET120105,Nuwer,ET1201,Gambela,ET12,Ethiopia,ET12010500,33.68039381820,8.29704895470
Gechi,Wereda Capital,Gechi,ET041606,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET04160601,36.41784289220,8.32919150232
Yayo,Wereda Capital,Yayu,ET040309,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET04030901,35.81493688880,8.34018849822
Hurumu,Wereda Capital,Hurumu,ET040316,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET04031601,35.68158937650,8.33446162649
Kowargen,Wereda Capital,Lare,ET120102,Nuwer,ET1201,Gambela,ET12,Ethiopia,ET12010201,33.95267892440,8.32554533094
Kumbabe,Wereda Capital,Chora (Buno Bedele),ET041603,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET04160301,36.11980048760,8.36069867207
Boter Becho,Wereda Capital,Botor Tolay,ET040495,Jimma,ET0404,Oromia,ET04,Ethiopia,ET04049501,37.27378482300,8.36451362337
Metar,Wereda Capital,Wantawo,ET120104,Nuwer,ET1201,Gambela,ET12,Ethiopia,ET12010401,33.44512081860,8.35095958717
Gora,Wereda Capital,Goro (SW Shewa),ET041312,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET04131201,37.86795251290,8.39924100338
Mehal Amba,Wereda Capital,Gedebano Gutazer Welene,ET070104,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET07010401,38.23146127130,8.40555622763
Mayumulke,Wereda Capital,Meyu Muleke,ET041018,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04101801,41.88327572680,8.41488280184
Koka,Wereda Capital,Lome (OR),ET040704,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET04070401,39.02974456760,8.43693121560
Bedele,Zonal Capital,Bedele town,ET041621,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET04162100,36.35038423190,8.45452117558
Arbu Chulule,Wereda Capital,Seden Sodo,ET041310,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET04131001,38.24934004720,8.46029047284
Tinsae Berhan,Wereda Capital,Merti,ET040801,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04080101,39.83151516930,8.48555493358
Aseko,Wereda Capital,Aseko,ET040802,Arsi,ET0408,Oromia,ET04,Ethiopia,ET04080201,40.02337999690,8.50195218488
Weliso,Zonal Capital,Woliso town,ET041311,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET04131100,37.96988640330,8.53698573207
Supe,Wereda Capital,Alge Sachi,ET040302,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET04030201,35.66023072870,8.51457525950
Tere,Wereda Capital,Sodo Daci,ET041314,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET04131401,38.62468338720,8.52901399145
Adulala,Wereda Capital,Liben Chukala,ET040711,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET04071101,38.89915921740,8.53224752610
Silk Amta,Wereda Capital,Nono,ET040508,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04050801,37.42631574700,8.53179235300
Nazareth,Zonal Capital,Adama town,ET040714,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET04071400,39.26581171880,8.53904370413
Dembi Dolo,Zonal Capital,Denbi Dollo town,ET041806,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET04180600,34.79598146590,8.52774772404
Mich'eta,Wereda Capital,Daro Lebu,ET040909,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET04090901,40.31553799130,8.57179707440
Mojo,Wereda Capital,Mojo Town,ET040797,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET04079701,39.12505080400,8.58821996581
Dega,Wereda Capital,Dega,ET041604,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET04160401,36.10922940200,8.57771668917
Duba,Wereda Capital,Darimu,ET040301,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET04030101,35.50936615600,8.58275018253
Gindo,Wereda Capital,Ameya,ET041301,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET04130101,37.75297382090,8.59215272906
Mugi,Wereda Capital,Anfilo,ET041807,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET04180701,34.60130496110,8.57007145934
Lemen,Wereda Capital,Kersana Malima,ET041307,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET04130701,38.60541001630,8.60325968605
Chitu,Wereda Capital,Wenchi,ET041302,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET04130201,37.92286353070,8.60328465998
Bantu,Wereda Capital,Tole,ET041308,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET04130801,38.36403760990,8.61303608279
Tulu Bolo,Wereda Capital,Becho (SW Shewa),ET041309,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET04130901,38.21181306380,8.65932591109
Welench'iti,Wereda Capital,Boset,ET040702,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET04070201,39.42791861720,8.65889291978
Huse,Wereda Capital,Meyu Muleke,ET041018,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04101801,41.84512848770,8.65753067926
Ch'elelek'a,Wereda Capital,Anchar,ET040906,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET04090601,40.23442370820,8.69169895447
Kone,Wereda Capital,Dabo Hana,ET041605,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET04160501,36.28831292140,8.68481519452
Rob Gebeya,Wereda Capital,Hawa Galan,ET041801,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET04180101,34.88005636340,8.68648269802
Boke Tiko,Wereda Capital,Boke,ET040910,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET04091001,40.64271117990,8.72195422964
Shenen,Wereda Capital,Jibat,ET040518,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04051801,37.47139191580,8.72846765179
Debre Zeyt,Zonal Capital,Bishoftu town,ET040709,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET04070900,38.98806973500,8.74574592320
Arjo,Wereda Capital,Jimma Arjo,ET040214,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET04021401,36.49745325440,8.75396193568
Seyo,Wereda Capital,Dano,ET040507,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04050701,37.26263763560,8.76386413966
Nunu,Wereda Capital,Nunu Kumba,ET040215,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET04021501,36.63479711160,8.76009391915
Ararso,Wereda Capital,Ararso,ET050395,Jarar,ET0503,Somali,ET05,Ethiopia,ET05039501,43.37014309590,8.74960422694
Busa,Wereda Capital,Dawo,ET041304,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET04130401,38.14581612990,8.77471227211
Tejo,Wereda Capital,Yama Logi Welel,ET041802,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET04180201,34.82018793760,8.77378940229
Gelemso,Wereda Capital,Habro,ET040908,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET04090801,40.52358365280,8.81556610386
Tikur Inchini,Wereda Capital,Tikur Enchini,ET040509,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04050901,37.65418146060,8.81473916798
Tagi,Wereda Capital,Ilu,ET041305,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET04130501,38.36780971070,8.82787005585
Yirga Dejen,Wereda Capital,Nole Kaba,ET040115,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04011501,35.79749895080,8.83534561345
Debeso,Wereda Capital,Sayo Nole,ET040118,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04011801,35.65113227420,8.83985770717
Mubarek,Wereda Capital,Mubarek,ET051187,Daawa,ET0511,Somali,ET05,Ethiopia,ET05118701,40.00682561910,4.16714313510
Sadi,Wereda Capital,Sedi Chenka,ET041812,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET04181201,35.07208619450,8.86244427122
Matahara,Wereda Capital,Fentale,ET040701,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET04070101,39.91852250460,8.87207791341
Bilo,Wereda Capital,Boneya Boshe,ET040205,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET04020501,36.99234981950,8.88805274006
Getema,Wereda Capital,Leka Dulecha,ET040212,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET04021201,36.48627322810,8.88552044154
Bedesa,Wereda Capital,Bedesa,ET040914,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET04091401,40.77531659920,8.89509089743
Sebeta,Zonal Capital,Sebeta town,ET042009,Finfine Special,ET0420,Oromia,ET04,Ethiopia,ET04200900,38.62458342990,8.90924045329
Alem Teferi,Wereda Capital,Dale Sadi,ET041808,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET04180801,35.22510035110,8.90461719449
Ilu Harer,Wereda Capital,Chwaka,ET041623,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET04162301,36.15552157910,8.91238117170
Arerti,Wereda Capital,Minjar Shenkora,ET030518,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03051801,39.42206436590,8.92579024700
Lalo Kile,Wereda Capital,Lalo Kile,ET041811,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET04181101,35.35350009970,8.91292131898
Guba K'oricha,Wereda Capital,Goba Koricha,ET040907,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET04090701,40.54912234070,8.94895513432
Chaffe Dunsa,Wereda Capital,Gimbichu,ET040705,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET04070501,39.11761307760,8.96542379547
Guder,Wereda Capital,Toke Kutaye,ET040517,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04051701,37.75830730230,8.96596210340
Yubdo,Wereda Capital,Yubdo,ET040112,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04011201,35.44857797370,8.95128086426
Nunu,Wereda Capital,Jimma Horo,ET041810,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET04181001,34.74280384320,8.95134667675
Ambo,Zonal Capital,Ambo town,ET040515,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04051500,37.85024595220,8.97936989816
Awash sebat kilo,Wereda Capital,Awash town,ET020396,Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET02039601,40.16572466450,8.99106092806
Kebe,Wereda Capital,Gawo Kebe,ET041804,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET04180401,34.96767662560,8.97547815089
Guyi,Wereda Capital,Haru,ET040114,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04011401,35.82246776010,8.98643047988
Kuni,Wereda Capital,Gemechis,ET040912,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET04091201,40.88259161620,9.00098968163
Gidam,Wereda Capital,Gidami,ET041809,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET04180901,34.60108111280,8.98941019171
Gedo,Wereda Capital,Cheliya,ET040505,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04050501,37.44836795290,9.01232376368
Baco,Wereda Capital,Bako Tibe,ET040506,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04050601,37.05775084370,9.11832406695
Balemi,Wereda Capital,Mida Kegn,ET040504,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04050401,37.51943053180,9.12828612453
Girawa,Wereda Capital,Girawa,ET041016,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04101601,41.83305426310,9.13488453948
Boko,Wereda Capital,Fedis,ET041005,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04100501,42.07675577600,9.13163424178
Sendata,Wereda Capital,Sendafa town,ET042018,Finfine Special,ET0420,Oromia,ET04,Ethiopia,ET04201801,39.02073759040,9.14950817486
Kidame Gebeya,Wereda Capital,Sasiga,ET040211,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET04021101,36.46466786240,9.16920940316
Inango,Wereda Capital,Lalo Asabi,ET040104,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04010401,35.68163442900,9.16377313108
Guliso,Wereda Capital,Guliso,ET040119,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04011901,35.46318774410,9.16244750657
Gimbi,Zonal Capital,Gimbi town,ET040193,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET04019300,35.83300477200,9.16711812062
Hare Wacha,Wereda Capital,Melka Balo,ET041012,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET04101201,41.33582872180,9.17027814441
Beke,Wereda Capital,Ifata,ET040519,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04051901,37.93591296100,9.19139468067
Alaltu,Wereda Capital,Aleltu,ET040617,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET04061701,39.14942116440,9.19501114342
Meteteh Bila,Wereda Capital,Berehet,ET030517,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET03051701,39.70602220790,9.19511868854
Ejaji,Wereda Capital,Illu Galan,ET040500,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET04050001,37.33075910300,8.99582414957
