T_NAME,T_Status,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADMT_PCOD,POINT_X,POINT_Y
Beto,Wereda Capital,Uba Debre Tsehay,ET071504,Gofa,ET0715,SNNP,ET07,Ethiopia,ET07150401,36.88056697560,6.05703435010
Wib Hamer,Wereda Capital,Wub Ari,ET070711,South Omo,ET0707,SNNP,ET07,Ethiopia,ET07071101,36.58792466810,6.05964290545
Fiseha Genet,Wereda Capital,Kochere,ET070503,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET07050301,38.19976878330,6.07586326916
Haru Wachu,Wereda Capital,Uraga,ET041401,Guji,ET0414,Oromia,ET04,Ethiopia,ET04140101,38.58897687130,6.09330937173
Bor-ano,Wereda Capital,Berocano,ET050608,Shabelle,ET0506,Somali,ET05,Ethiopia,ET05060801,43.21858182640,6.09762525175
Haranfema,Wereda Capital,Girja /Harenfema,ET041410,Guji,ET0414,Oromia,ET04,Ethiopia,ET04141001,39.09382121570,6.11542513017
Shilabe,Wereda Capital,Shilabo,ET050503,Korahe,ET0505,Somali,ET05,Ethiopia,ET05050301,44.76532758900,6.09044075825
Yirga Chefe,Wereda Capital,Yirgachefe town,ET070512,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET07051201,38.20218593970,6.16011615243
Gelela,Wereda Capital,North Ari,ET070703,South Omo,ET0707,SNNP,ET07,Ethiopia,ET07070301,36.66142647810,6.17897035513
Yirba Moda,Wereda Capital,Ana Sora,ET041411,Guji,ET0414,Oromia,ET04,Ethiopia,ET04141101,38.70682836080,6.20888558685
Repe,Wereda Capital,Rape,ET070509,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET07050901,38.31404176810,6.21263456554
Shifete,Wereda Capital,O'yida,ET071506,Gofa,ET0715,SNNP,ET07,Ethiopia,ET07150601,36.84392401270,6.22537962347
Girja,Wereda Capital,Hokko,ET160031,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16003101,38.93377886690,6.24285944411
Raso,Wereda Capital,Raso,ET050809,Afder,ET0508,Somali,ET05,Ethiopia,ET05080901,41.79395082300,6.54268286827
Ezo,Wereda Capital,Ezo /Kogota,ET071007,Gamo,ET0710,SNNP,ET07,Ethiopia,ET07100701,37.59508508410,6.34958820526
Gwangwa,Wereda Capital,Abaya,ET041513,West Guji,ET0415,Oromia,ET04,Ethiopia,ET04151301,38.28273177420,6.35579256777
Bore,Wereda Capital,Bore,ET041402,Guji,ET0414,Oromia,ET04,Ethiopia,ET04140201,38.61943946580,6.36426651106
Mejo,Wereda Capital,Aroresa,ET160009,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16000901,38.95464459520,6.37312107413
Angetu,Wereda Capital,Harena Buluk,ET041111,Bale,ET0411,Oromia,ET04,Ethiopia,ET04111101,39.58631032780,6.40383078109
Dila,Zonal Capital,Dila town,ET070507,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET07050700,38.31097089310,6.40507099256
