Partner,HS Code,Product,2015,2016,2017,2018,2019,2020
Vietnam,808100010,ORG APPLES FRESH,788,697,"1,053",848,547,675
Vietnam,704904025,ORG BROCCOLI FR,0,0,0,0,0,39
Vietnam,810400026,ORG CULT BLUEBER,0,0,15,0,220,294
Vietnam,809290010,ORG CHER N/SR FR,4,22,185,0,41,"1,084"
Vietnam,806100010,ORG GRAPES FRESH,65,597,884,938,"2,253","5,858"
Vietnam,702000015,ORG CHERRY TOMAT,42,0,0,0,0,346
Vietnam,708101000,ORG PEAS FC,0,0,0,0,0,31
Vietnam,709202000,ORG ASPARAGUS FC,0,0,0,0,6,0
Vietnam,709600010,ORG PEPPERS FR/C,0,14,0,0,0,0
Vietnam,805100045,ORG ORANGES FR/D,84,0,0,34,30,0
Vietnam,805502010,ORG LEMONS FR/D,0,0,392,0,0,0
Vietnam,808300010,ORG PEARS,0,0,0,0,5,15
Vietnam,809301000,"ORG PEACH,NCTR",0,0,12,28,0,0
Vietnam,810100010,ORG STRAWBERS FR,0,0,0,0,0,43
Vietnam,810202000,ORG BERRIES,3,0,0,0,0,0
Vietnam,901210010,ORG COFFE RST ND,0,0,36,28,0,0
Vietnam,2005100010,"VEG ORG,NT/FRZ",0,0,3,0,0,0
