"ISO3","country","longitude","latitude"
"ABW","Aruba",-69.97564122076227,12.515627383711797
"AFG","Afghanistan",66.02647066772893,33.838805716206714
"AGO","Angola",17.544675786366334,-12.295285224744545
"AIA","Anguilla",-63.06007691114895,18.22287661796813
"ALB","Albania",20.06838460591879,41.14228482341691
"AND","Andorra",1.576765084335454,42.54865286617894
"ARE","United Arab Emirates",54.34073373155668,23.9031933433165
"ARG","Argentina",-65.16772724090062,-35.37643634090827
"ARM","Armenia",44.94682354396963,40.28661987742082
"ASM","American Samoa",-170.70783196455616,-14.304407205909813
"ATA","Antarctica",21.297686274133827,-80.44603666272684
"ATF","French Southern Territories",68.8619247648032,-49.19179489508387
"ATG","Antigua and Barbuda",-61.79123711747739,17.279817511125948
"AUS","Australia",134.48956247309874,-25.734968241934748
"AUT","Austria",14.140193488795244,47.59290260691518
"AZE","Azerbaijan",48.81987923035787,40.296915659338495
"BDI","Burundi",29.887145470708887,-3.3561748083588867
"BEL","Belgium",4.663989187136796,50.64285116363035
"BEN","Benin",2.343135764193501,9.647320880659056
"BFA","Burkina Faso",-1.740141131898327,12.277929850509192
"BGD","Bangladesh",90.26849814842923,23.843232452391405
"BGR","Bulgaria",25.231506244029564,42.76137671439207
"BHR","Bahrain",50.55964318352661,26.022409517037772
"BHS","Bahamas",-76.54662153239099,24.20112648687146
"BIH","Bosnia Herzegovina",17.786530696807294,44.16811522452028
"BLR","Belarus",28.046787741199477,53.53999776468982
"BLZ","Belize",-88.68476698323005,17.21766625422946
"BMU","Bermuda",-64.73960534243399,32.31608616923679
"BOL","Bolivia",-64.67093179110383,-16.714610094476125
"BRA","Brazil",-53.0898199540132,-10.773108522625629
"BRB","Barbados",-59.56195497759968,13.178715064348594
"BRN","Brunei Darussalam",114.76109927149501,4.521445183161419
"BTN","Bhutan",90.42943482568833,27.415414485262573
"BVT","Bouvet Island",3.4125221846044522,-54.421903319811385
"BWA","Botswana",23.815027616664164,-22.182004075269575
"CAF","Central African Rep.",20.482966920330497,6.571232077104269
"CAN","Canada",-98.26532943367135,61.39201724015727
"CCK","Cocos Isds",96.83688205703784,-12.171249608645304
"CHE","Switzerland",8.234429172288667,46.802569376053356
"CHL","Chile",-71.37398043999183,-37.85248982134252
"CHN","China",103.90405603171992,36.567908702290914
"CIV","Cote d'Ivoire",-5.555619464120099,7.631533614372455
"CMR","Cameroon",12.743594160029042,5.685952200319209
"COD","Congo, Dem. Rep.",23.655005743753378,-2.876234958783136
"COG","Congo, Rep.",15.224293438732722,-0.8402315749041138
"COK","Cook Isds",-158.9088825522056,-20.93403778238319
"COL","Colombia",-73.07336881924755,3.901155840147147
"COM","Comoros",43.675919655010965,-11.892754677494572
"CPV","Cabo Verde",-23.967784574340474,15.978973266800969
"CRI","Costa Rica",-84.18794179526616,9.97020281399917
"CUB","Cuba",-79.03635234345816,21.62116985457323
"CXR","Christmas Isds",105.70369718399493,-10.444114582723875
"CYM","Cayman Isds",-81.23845343137175,19.308663491466188
"CYP","Cyprus",33.22176299478318,35.04588258022155
"CZE","Czech Rep.",15.338412090068118,49.742858889473396
"DEU","Germany",10.393661554752809,51.10659218573434
"DJI","Djibouti",42.5777650580805,11.74967611831593
"DMA","Dominica",-61.35575744837549,15.435595075865715
"DNK","Denmark",10.046298414692632,55.96339824225688
"DOM","Dominican Rep.",-70.48463350234039,18.894446925055853
"DZA","Algeria",2.6323881691928257,28.163239267304558
"ECU","Ecuador",-78.76707226737844,-1.4274197656233802
"EGY","Egypt",29.79019650814422,26.55378045919798
"ERI","Eritrea",38.8412857346155,15.373203130370351
"ESH","Western Sahara",-13.136540655145598,24.66167127948325
"ESP","Spain",-3.6495649604289517,40.22682992875578
"EST","Estonia",25.527616312014416,58.674135907863516
"ETH","Ethiopia",39.61617576325986,8.633290652257871
"FIN","Finland",26.266370864887275,64.50042200031852
"FJI","Fiji",171.98322667934136,-17.45353047659144
"FLK","Falkland Isds (Malvinas)",-59.363297863117914,-51.73711668199259
"FRA","France",2.551955216777798,46.5645020539879
"FRO","Faeroe Isds",-6.884109940389508,62.031067273707876
"FSM","Micronesia",159.4042206803221,6.492380186832999
"GAB","Gabon",11.79723642212725,-0.5909444841771878
"GBR","United Kingdom",-2.89558470050636,54.1553497202996
"GEO","Georgia",43.51744628488152,42.176311720017154
"GHA","Ghana",-1.207301382837505,7.95984841376055
"GIB","Gibraltar",-5.344894624709658,36.138214997396915
"GIN","Guinea",-10.941772059364288,10.438211891180305
"GMB","Gambia",-15.386643121225703,13.452649432760904
"GNB","Guinea-Bissau",-14.965216586726699,12.03030829286497
"GNQ","Equatorial Guinea",10.341982283041126,1.7123385645700862
"GRC","Greece",22.95974634066737,39.068537201230306
"GRD","Grenada",-61.679380329690545,12.112925406141057
"GRL","Greenland",-41.38950131305342,74.72091756040572
"GTM","Guatemala",-90.35624226813954,15.702135122787716
"GUM","Guam",144.77559609548038,13.443566349710713
"GUY","Guyana",-58.974781013776976,4.792017594781354
"HKG","China, Hong Kong SAR",114.11005816189576,22.377361714278617
"HMD","Heard Island and McDonald Isds",73.49837379726881,-53.09133257559054
"HND","Honduras",-86.61914616528377,14.819221744724176
"HRV","Croatia",16.411778212497484,45.05116186966241
"HTI","Haiti",-72.67945774014383,18.94160870334658
"HUN","Hungary",19.41344796118306,47.16650222537329
"IDN","Indonesia",117.30042819464259,-2.230214092735194
"IND","India",79.38600861425813,22.32612228404536
"IOT","British Indian Ocean Territory",72.43402656488144,-7.334266458936674
"IRL","Ireland",-8.15057896021403,53.17638162826434
"IRN","Iran",54.19776609324852,32.73946308870454
"IRQ","Iraq",43.77213543247136,33.04802449780644
"ISL","Iceland",-18.605467191288948,64.99758837371617
"ISR","Israel",34.96581019771593,31.358455855223674
"ITA","Italy",12.07174297035684,42.79578239851085
"JAM","Jamaica",-77.31901136197915,18.151418769110276
"JOR","Jordan",36.786730210621045,31.25331588826587
"JPN","Japan",137.99074452809256,37.56216157098009
"KAZ","Kazakhstan",66.65782485291919,48.01598642864131
"KEN","Kenya",37.858020960080225,0.529561859037324
"KGZ","Kyrgyzstan",74.55559665591906,41.46505454396545
"KHM","Cambodia",104.92398131540142,12.7164322096763
"KIR","Kiribati",-154.45827063056356,1.8345616000504514
"KNA","Saint Kitts and Nevis",-62.753519776881106,17.326191288189765
"KOR","Korea, Rep.",127.83477207666992,36.37508873369245
"KWT","Kuwait",47.59087621282213,29.340791326705347
"LAO","Lao PDR",103.76329077812265,18.50274383223179
"LBN","Lebanon",35.88802723254408,33.92026709335808
"LBR","Liberia",-9.307913832046887,6.448091527343701
"LBY","Libya",18.023286554786495,27.043954186415768
"LCA","Saint Lucia",-60.96871117138652,13.897866017988024
"LKA","Sri Lanka",80.70472658542131,7.608085927014841
"LSO","Lesotho",28.243011268944105,-29.581000352901032
"LTU","Lithuania",23.89812325011703,55.33567048559026
"LUX","Luxembourg",6.087813969032044,49.770629575363884
"LVA","Latvia",24.929423968642535,56.857534437085725
"MAC","China, Macao SAR",113.55012506352243,22.183320473366667
"MAR","Morocco",-6.317845225561024,31.883624954437387
"MDA","Moldova",28.473930867465224,47.193869423090355
"MDG","Madagascar",46.70603866914809,-19.37338306850477
"MDV","Maldives",73.25222658734783,3.216335123203281
"MEX","Mexico",-102.53288549746279,23.950463865568704
"MHL","Marshall Isds",168.62692074653282,7.6432725720383585
"MKD","Macedonia, FYR",21.69747626732899,41.599682312277054
"MLI","Mali",-3.5244225221770105,17.350279190913366
"MLT","Malta",14.441922648934293,35.89052204833109
"MMR","Myanmar",96.50692104674992,21.154319005698028
"MNE","Montenegro",19.25030495955029,42.791593248346096
"MNG","Mongolia",103.08321757782538,46.835290642171884
"MNP","N. Mariana Isds",145.67921950822935,15.088520065932547
"MOZ","Mozambique",35.551421918377756,-17.259323521694824
"MRT","Mauritania",-10.332297950013201,20.2598513104181
"MSR","Montserrat",-62.18693594727529,16.735366242999707
"MUS","Mauritius",57.87073734512803,-20.251869017747172
"MWI","Malawi",34.30715531031018,-13.216021652612449
"MYS","Malaysia",109.70819445952743,3.79236690154722
"NAM","Namibia",17.218277596923276,-22.133246238490916
"NCL","New Caledonia",165.71548797297555,-21.31633710438555
"NER","Niger",9.39764775836971,17.426148962247787
"NFK","Norfolk Isds",167.9525970222567,-29.037657697872586
"NGA","Nigeria",8.105306311132342,9.593959990531566
"NIC","Nicaragua",-85.03478332256003,12.839905878385617
"NIU","Niue",-169.86878139260543,-19.052309558871364
"NLD","Netherlands",5.6034180269466205,52.24926328962551
"NOR","Norway",14.084800836706687,64.44817113990793
"NPL","Nepal",83.9385478076669,28.253007138564424
"NRU","Nauru",166.92312974733693,-0.5287423564231192
"NZL","New Zealand",171.77992738155748,-41.83887435030019
"OMN","Oman",56.1113831082645,20.597694874039348
"PAK","Pakistan",68.79014364623947,29.357903426636728
"PAN","Panama",-80.10266194726974,8.50718634568485
"PCN","Pitcairn",-128.59323185242766,-24.476532393471487
"PER","Peru",-74.37562774311915,-9.163759818255448
"PHL","Philippines",122.87870839365924,11.741832657610422
"PLW","Palau",134.56868687822998,7.501882414132657
"PNG","Papua New Guinea",145.2412167104666,-6.478767972968421
"POL","Poland",19.40088385467417,52.12461008656555
"PRK","Korea, Dem. Rep.",127.18195650688813,40.143063772663055
"PRT","Portugal",-7.962187190752778,39.6919098223161
"PRT","Portugal",-27.303296240532973,38.33239830464354
"PRY","Paraguay",-58.391023526278055,-23.23621116210156
"PYF","French Polynesia",-146.41858386723257,-14.854975666349645
"QAT","Qatar",51.188069104527365,25.297876440594464
"ROU","Romania",24.969258759275046,45.8436147334286
"RUS","Russian Federation",96.56805448782902,61.94942243767453
"RWA","Rwanda",29.917652253500023,-1.9978920524416304
"SAU","Saudi Arabia",44.54571894171098,24.122887819413414
"SDN","Sudan",29.958036241009193,16.01933683155426
"SEN","Senegal",-14.46765362111762,14.366965745226887
"SGP","Singapore",103.8080509453779,1.3516148228449165
"SLB","Solomon Isds",159.63431506050853,-8.918214065358004
