"scalerank","featurecla","name","website","natlscale","latitude","longitude"
8,"Port","Yingkou",,5.0,40.69583333,122.2351001
8,"Port","Moin","www.japdeva.go.cr",5.0,10.00555556,-83.07408716
8,"Port","Banes",,5.0,20.91916667,-75.70335689
8,"Port","Caibarien",,5.0,22.52916667,-79.46931684
8,"Port","Isabela de Sagua",,5.0,22.94027778,-80.00759717
8,"Port","Nuevitas",,5.0,21.56305556,-77.23951708
8,"Port","Famagusta",,5.0,35.12777778,33.94004711
8,"Port","Cuxhaven","www.cuxport.de",5.0,53.86472222,8.707243816
8,"Port","Eckernforde","www.stadtwerke-eckernfoerde.de",5.0,54.47361111,9.835806832
8,"Port","Nordenham",,5.0,53.4875,8.489517079
8,"Port","Papenburg",,5.0,53.09638889,7.368963486
8,"Port","Wismar","www.hafen-wismar.de",5.0,53.90638889,11.43916372
8,"Port","Nyborg","www.adp-as.com",5.0,55.29888889,10.80689046
8,"Port","Helsingor","www.helsingoerhavn.dk",5.0,56.03444444,12.61702002
8,"Port","Odense",,5.0,55.46638889,10.52497055
8,"Port","Nyborg","www.nyborg.dk/Engelsk/Tourism/NyborgsHarbours",5.0,55.30694444,10.78810365
8,"Port","Frederikshavn","www.frederikshavnhavn.dk",5.0,57.43777778,10.54146054
8,"Port","Haderslev",,5.0,55.25111111,9.504416961
8,"Port","Horsens","www.horsenshavn.dk",5.0,55.85416667,9.868433451
8,"Port","Kalundborg","www.portofkalundborg.dk",5.0,55.66944444,11.08598351
8,"Port","Kolding","www.koldingport.dk",5.0,55.49277778,9.493404005
8,"Port","Nakskov",,5.0,54.83222222,11.12108363
8,"Port","Nykobing Falster","www.guldborgsundhavne.dk",5.0,54.77083333,11.85706714
8,"Port","Randers","www.randershavn.dk",5.0,56.46027778,10.05265018
8,"Port","Rudkobing","www.langelandkommune.dk",5.0,54.93972222,10.704947
8,"Port","Svendborg",,5.0,55.05861111,10.61702002
8,"Port","Vejle","www.vejleport.dk",5.0,55.70555556,9.551943463
8,"Port","Skagen","www.skagenhavn.dk",5.0,57.71861111,10.58881037
8,"Port","Puerto Plata","www.apordom.gov.do",5.0,19.80361111,-70.70053004
8,"Port","Rio Haina","www.apordom.gov.do",5.0,18.42027778,-70.01808009
8,"Port","Mostaganem",,5.0,35.93444444,0.071260306
8,"Port","Damietta","www.dam-port.com",5.0,31.46666667,31.75918728
8,"Port","Safaga","www.mts.gov.eg",5.0,26.74222222,33.94128386
8,"Port","Algeciras","www.apba.es",5.0,36.14777778,-5.400353357
8,"Port","Aviles","www.avilesport.com",5.0,43.57861111,-5.920023557
8,"Port","Ferrol","www.apfsc.com",5.0,43.47972222,-8.250883392
8,"Port","Huelva","www.puertohuelva.com",5.0,37.19277778,-6.935806832
8,"Port","Pasajes","www.puertopasajes.net",5.0,43.32333333,-1.918786808
8,"Port","Rota",,5.0,36.61944444,-6.334570082
8,"Port","Cadiz","www.puertocadiz.com",5.0,36.52,-6.258833922
8,"Port","Kotka","www.portofkotka.fi",5.0,60.46111111,26.9418139
8,"Port","Veitsiluoto",,5.0,65.68305556,24.61666667
8,"Port","Arcachon","www.arcachon.com",5.0,44.65916667,-1.142343934
8,"Port","Deauville",,5.0,49.36583333,0.073380448
8,"Port","Fecamp","www.fecamp.cci.fr",5.0,49.76194444,0.369493522
8,"Port","La Pallice","www.larochelle.port.fr",5.0,46.15722222,-1.223910483
8,"Port","Saint-Malo","www.saint-malo.cci.fr",5.0,48.64444444,-2.022850412
8,"Port","Sete","www.sete.port.fr",5.0,43.40472222,3.71024735
8,"Port","Greenock","www.clydeport.co.uk",5.0,55.95472222,-4.756713781
8,"Port","Poole","www.phc.co.uk",5.0,50.71444444,-1.986513545
8,"Port","Falmouth","www.falmouthport.co.uk",5.0,50.15277778,-5.053533569
8,"Port","Leith","www.forthports.co.uk",5.0,55.9825,-3.171790342
8,"Port","Montrose","www.montroseport.co.uk",5.0,56.70444444,-2.467903416
8,"Port","Newport","www.abports.co.uk/custinfo/ports/newport.htm",5.0,51.55888889,-2.984746761
8,"Port","Sunderland","www.portofsunderland.org.uk",5.0,54.90694444,-1.356183746
8,"Port","Teesport","www.pdports.co.uk",5.0,54.60805556,-1.157067138
8,"Port","Poti","www.potiseaport.com",5.0,42.155,41.65282686
8,"Port","Piraeus",,5.0,37.93722222,23.6565371
8,"Port","Piraeus","www.olp.gr",5.0,37.94111111,23.63368669
8,"Port","Piraeus","www.medmarinas.com",5.0,37.93444444,23.64305065
8,"Port","Saint George's","www.grenadacruiseport.com",5.0,12.04722222,-61.75053004
8,"Port","Cayenne","www.guyane.cci.fr",5.0,4.853055556,-52.27196702
8,"Port","Bakar",,5.0,45.29972222,14.54075383
8,"Port","Rovinj",,5.0,45.08055556,13.63492344
8,"Port","Sibenik","www.portauthority-sibenik.hr",5.0,43.72638889,15.89163722
8,"Port","Gonaives","www.apn.gouv.ht",5.0,19.44833333,-72.70371025
8,"Port","Sorong",,5.0,-0.876944444,131.2425206
8,"Port","Alleppey",,5.0,9.491944444,76.31042403
8,"Port","Kakinada","www.kakinadaseaports.in",5.0,16.97777778,82.2746172
