Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1970 [YR1970],1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010],2020 [YR2020]
Population in largest city,EN.URB.LCTY,Afghanistan,AFG,285352,471891,977824,1549320,2401109,3289005,4221532
Population in largest city,EN.URB.LCTY,Albania,ALB,134761,156734,193644,247270,335336,408697,493712
Population in largest city,EN.URB.LCTY,Algeria,DZA,871636,1281127,1621442,1797068,2140577,2432023,2767661
Population in largest city,EN.URB.LCTY,American Samoa,ASM,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Andorra,AND,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Angola,AGO,219427,459225,771349,1473848,2828820,5300466,8329798
Population in largest city,EN.URB.LCTY,Antigua and Barbuda,ATG,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Argentina,ARG,6761837,8416170,9919781,11147566,12503871,14245871,15153729
Population in largest city,EN.URB.LCTY,Armenia,ARM,537759,778158,1041587,1174524,1111301,1065597,1086275
Population in largest city,EN.URB.LCTY,Aruba,ABW,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Australia,AUS,2134673,2892477,3252111,3631940,3779704,4165739,4967733
Population in largest city,EN.URB.LCTY,Austria,AUT,1626724,1620537,1538780,1539106,1549227,1730649,1929944
Population in largest city,EN.URB.LCTY,Azerbaijan,AZE,1005297,1274298,1574287,1733452,1805977,2061843,2341443
Population in largest city,EN.URB.LCTY,"Bahamas, The",BHS,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Bahrain,BHR,64888,88061,112862,125875,141707,292172,634508
Population in largest city,EN.URB.LCTY,Bangladesh,BGD,507921,1373718,3265663,6620697,10284947,14730537,21005860
Population in largest city,EN.URB.LCTY,Barbados,BRB,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Belarus,BLR,550710,931566,1319711,1617544,1700376,1849991,2028104
Population in largest city,EN.URB.LCTY,Belgium,BEL,1484676,1567635,1653780,1695478,1782747,1926348,2080788
Population in largest city,EN.URB.LCTY,Belize,BLZ,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Benin,BEN,73080,163372,337106,503649,642413,675440,1056440
Population in largest city,EN.URB.LCTY,Bermuda,BMU,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Bhutan,BTN,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Bolivia,BOL,440242,606294,821704,1084100,1415108,1636062,1857797
Population in largest city,EN.URB.LCTY,Bosnia and Herzegovina,BIH,169319,237801,312694,339061,341355,342033,343089
Population in largest city,EN.URB.LCTY,Botswana,BWA,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Brazil,BRA,4493182,7620490,12089454,14775840,17014078,19659808,22043028
Population in largest city,EN.URB.LCTY,British Virgin Islands,VGB,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Brunei Darussalam,BRN,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Bulgaria,BGR,708061,888449,1074414,1190742,1128266,1215983,1280968
Population in largest city,EN.URB.LCTY,Burkina Faso,BFA,59126,115374,265200,537441,920808,1742041,2780331
Population in largest city,EN.URB.LCTY,Burundi,BDI,45564,94240,167212,234439,329831,556326,1012996
Population in largest city,EN.URB.LCTY,Cabo Verde,CPV,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Cambodia,KHM,389280,900000,238267,615000,1148703,1522747,2077757
Population in largest city,EN.URB.LCTY,Cameroon,CMR,152612,297687,570741,940489,1490263,2361114,3992411
Population in largest city,EN.URB.LCTY,Canada,CAN,2031108,2684215,3008032,3806957,4607142,5499233,6196731
Population in largest city,EN.URB.LCTY,Cayman Islands,CYM,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Central African Republic,CAF,94350,203770,346672,466876,578530,716845,889231
Population in largest city,EN.URB.LCTY,Chad,TCD,71280,155419,323593,476883,689818,990552,1422547
Population in largest city,EN.URB.LCTY,Channel Islands,CHI,..,..,..,..,..,..,..
Population in largest city,EN.URB.LCTY,Chile,CHL,1979927,2646661,3720640,4615919,5658363,6269330,6767223
Population in largest city,EN.URB.LCTY,China,CHN,6865312,6052468,5927898,8605812,14246541,20314309,27058479
Population in largest city,EN.URB.LCTY,Colombia,COL,1268645,2383425,3525154,4740448,6329384,8417705,10978360
