temp,rh,HI,threshold
120,10,115.58997930000012,2
120,11,116.8526872000001,2
120,12,118.15312556000008,2
120,13,119.49129438000008,2
120,14,120.8671936600001,2
120,15,122.2808234000002,2
120,16,123.73218360000016,2
120,17,125.2212742600001,3
120,18,126.74809538000018,3
120,19,128.31264696000014,3
120,20,129.9149290000002,3
120,21,131.55494150000015,3
120,22,133.23268446000014,3
120,23,134.94815788000022,3
120,24,136.70136176000028,3
120,25,138.49229610000017,3
120,26,140.3209609000002,3
120,27,142.1873561600002,3
120,28,144.0914818800001,3
120,29,146.03333806000018,3
120,30,148.0129247000003,3
120,31,150.03024180000025,3
120,32,152.08528936000022,3
120,33,154.17806738000013,3
120,34,156.30857586000022,3
120,35,158.47681480000037,3
120,36,160.68278420000024,3
120,37,162.92648406000018,3
120,38,165.20791438000023,4
120,39,167.52707516000035,4
120,40,169.88396640000042,4
120,41,172.27858810000026,4
120,42,174.71094026000017,4
120,43,177.1810228800001,4
120,44,179.68883596000043,4
120,45,182.23437950000036,4
120,46,184.81765350000046,4
120,47,187.43865796000034,4
120,48,190.0973928800004,4
120,49,192.79385826000023,4
120,50,195.5280541000003,4
120,51,198.29998040000024,4
120,52,201.10963716000035,4
120,53,203.95702438000046,4
120,54,206.8421420600004,4
120,55,209.7649902000003,4
120,56,212.72556880000027,4
120,57,215.72387786000053,4
120,58,218.75991738000022,4
120,59,221.8336873600004,4
120,60,224.94518780000058,4
120,61,228.09441870000038,4
120,62,231.28138006000052,4
120,63,234.50607188000043,4
120,64,237.76849416000033,4
120,65,241.06864690000054,4
120,66,244.40653010000034,4
120,67,247.78214376000042,4
120,68,251.19548788000012,4
120,69,254.64656246000067,4
120,70,258.1353675000004,4
120,71,261.6619030000005,4
120,72,265.22616896000073,4
120,73,268.8281653800004,4
120,74,272.4678922600003,4
120,75,276.1453496000003,4
120,76,279.8605374000002,4
120,77,283.61345566000057,4
120,78,287.4041043800004,4
120,79,291.23248356000056,4
120,80,295.09859320000055,4
120,81,299.00243330000023,4
