Country Name,Country Code,Series Name,Series Code,1995 [YR1995],2014 [YR2014]
East Asia & Pacific,EAS,Natural capital per capita (constant 2014 US$),NW.NCA.PC,6407.9248258211,14739.2568854824
East Asia & Pacific (low and middle income),EAP,Natural capital per capita (constant 2014 US$),NW.NCA.PC,5721.7698163967,13771.6576431363
Europe & Central Asia,ECS,Natural capital per capita (constant 2014 US$),NW.NCA.PC,13886.7492360395,19376.6694192675
Europe & Central Asia (low and middle income),ECA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,14699.2218388284,19978.2864868216
High income: non-OECD,NOC,Natural capital per capita (constant 2014 US$),NW.NCA.PC,34140.4662966325,80104.4677299263
High income: OECD,OEC,Natural capital per capita (constant 2014 US$),NW.NCA.PC,13535.2926394582,19525.0847811059
Latin America & Caribbean,LCN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,17849.1323854128,25346.9832579748
Latin America & Caribbean (low and middle income),LAC,Natural capital per capita (constant 2014 US$),NW.NCA.PC,17688.2487549347,24340.922456456
Low income,LIC,Natural capital per capita (constant 2014 US$),NW.NCA.PC,6214.36011908346,6420.9399029998
Lower middle income,LMC,Natural capital per capita (constant 2014 US$),NW.NCA.PC,6176.16650712737,6949.44189344902
Middle East & North Africa,MEA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,26707.8708762605,70136.7528376003
Middle East & North Africa (low and middle income),MNA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,6799.89269695243,20758.7847449425
North America,NAC,Natural capital per capita (constant 2014 US$),NW.NCA.PC,19376.0845017066,26513.6008361617
South Asia,SAS,Natural capital per capita (constant 2014 US$),NW.NCA.PC,2875.7963404383,4633.18483068917
Sub-Saharan Africa,SSA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,13679.8896164615,9224.90853036626
Upper middle income,UMC,Natural capital per capita (constant 2014 US$),NW.NCA.PC,9129.04975446561,18959.9976588809
World,WLD,Natural capital per capita (constant 2014 US$),NW.NCA.PC,9802.65871311727,15840.8839641608
Albania,ALB,Natural capital per capita (constant 2014 US$),NW.NCA.PC,10999.0372657497,13375.2778026526
Argentina,ARG,Natural capital per capita (constant 2014 US$),NW.NCA.PC,10196.1236948489,16184.8633321282
Armenia,ARM,Natural capital per capita (constant 2014 US$),NW.NCA.PC,5343.71034639636,12701.9436970444
Australia,AUS,Natural capital per capita (constant 2014 US$),NW.NCA.PC,99546.2001880648,180792.112560397
Austria,AUT,Natural capital per capita (constant 2014 US$),NW.NCA.PC,16777.3269111791,16265.5443498458
Azerbaijan,AZE,Natural capital per capita (constant 2014 US$),NW.NCA.PC,10050.1232026802,45935.1201875731
Bahrain,BHR,Natural capital per capita (constant 2014 US$),NW.NCA.PC,13214.5023891817,14027.0034617262
Bangladesh,BGD,Natural capital per capita (constant 2014 US$),NW.NCA.PC,1384.30238436513,2234.05057673825
Belarus,BLR,Natural capital per capita (constant 2014 US$),NW.NCA.PC,15931.3867015931,21881.7484194833
Belgium,BEL,Natural capital per capita (constant 2014 US$),NW.NCA.PC,6034.03310834797,5012.84158779445
Belize,BLZ,Natural capital per capita (constant 2014 US$),NW.NCA.PC,33021.4833375467,29835.1773848653
Bolivia,BOL,Natural capital per capita (constant 2014 US$),NW.NCA.PC,13128.7111748886,17527.3188480575
Bosnia and Herzegovina,BIH,Natural capital per capita (constant 2014 US$),NW.NCA.PC,4188.28148800606,8992.38452485866
Botswana,BWA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,22203.557001859,26140.0486118302
Brazil,BRA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,23455.4365512081,36978.3251485718
Bulgaria,BGR,Natural capital per capita (constant 2014 US$),NW.NCA.PC,9358.7023343633,16683.4535935726
Burkina Faso,BFA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,4963.53428298294,5754.93235226822
Burundi,BDI,Natural capital per capita (constant 2014 US$),NW.NCA.PC,5063.43842826549,2703.82000594817
Cambodia,KHM,Natural capital per capita (constant 2014 US$),NW.NCA.PC,2869.52633274165,7700.29987833863
Cameroon,CMR,Natural capital per capita (constant 2014 US$),NW.NCA.PC,7840.64836930792,13557.3166072095
Canada,CAN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,28587.5351068089,52438.4865514362
Central African Republic,CAF,Natural capital per capita (constant 2014 US$),NW.NCA.PC,12641.1893426982,17978.457722466
Chad,TCD,Natural capital per capita (constant 2014 US$),NW.NCA.PC,8172.32515752475,9973.2259434998
Chile,CHL,Natural capital per capita (constant 2014 US$),NW.NCA.PC,21593.9714133496,55112.6304047579
China,CHN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,5108.3055838423,15133.1697714633
Colombia,COL,Natural capital per capita (constant 2014 US$),NW.NCA.PC,17394.051107413,15932.476727211
Comoros,COM,Natural capital per capita (constant 2014 US$),NW.NCA.PC,2770.93734016911,2898.0690924581
"Congo, Dem. Rep.",COD,Natural capital per capita (constant 2014 US$),NW.NCA.PC,11607.8501840996,6704.9078649283
"Congo, Rep.",COG,Natural capital per capita (constant 2014 US$),NW.NCA.PC,16764.398739108,32842.904383069
Costa Rica,CRI,Natural capital per capita (constant 2014 US$),NW.NCA.PC,24410.7882219219,24160.1014167395
Cote d'Ivoire,CIV,Natural capital per capita (constant 2014 US$),NW.NCA.PC,14961.7102492454,11015.5310016145
Croatia,HRV,Natural capital per capita (constant 2014 US$),NW.NCA.PC,5941.45218346212,9398.81102205285
Denmark,DNK,Natural capital per capita (constant 2014 US$),NW.NCA.PC,13495.6865990859,16261.3368907547
Djibouti,DJI,Natural capital per capita (constant 2014 US$),NW.NCA.PC,4107.28476713959,5437.05106528157
Dominican Republic,DOM,Natural capital per capita (constant 2014 US$),NW.NCA.PC,5871.02812507292,6218.66611517344
Ecuador,ECU,Natural capital per capita (constant 2014 US$),NW.NCA.PC,9739.98927553427,30006.5262276121
"Egypt, Arab Rep.",EGY,Natural capital per capita (constant 2014 US$),NW.NCA.PC,7275.24273479259,11228.8814483352
El Salvador,SLV,Natural capital per capita (constant 2014 US$),NW.NCA.PC,4493.31913242185,4554.35985714127
Estonia,EST,Natural capital per capita (constant 2014 US$),NW.NCA.PC,15414.7154588941,20092.8472695558
Ethiopia,ETH,Natural capital per capita (constant 2014 US$),NW.NCA.PC,3463.79903083035,5283.59330715977
Finland,FIN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,17140.2691258953,18036.995491394
France,FRA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,10913.8370795398,11108.5504761089
Gabon,GAB,Natural capital per capita (constant 2014 US$),NW.NCA.PC,87476.4518395688,95460.8732642326
"Gambia, The",GMB,Natural capital per capita (constant 2014 US$),NW.NCA.PC,804.368791655072,1413.38545785929
Georgia,GEO,Natural capital per capita (constant 2014 US$),NW.NCA.PC,6256.25111315954,7344.22837977527
Germany,DEU,Natural capital per capita (constant 2014 US$),NW.NCA.PC,6417.12498442171,7700.56941772509
Ghana,GHA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,7410.11792157319,8418.09770710446
Greece,GRC,Natural capital per capita (constant 2014 US$),NW.NCA.PC,15468.6036759573,12546.1627835876
Guatemala,GTM,Natural capital per capita (constant 2014 US$),NW.NCA.PC,7830.40252790459,8997.17820430816
Guinea,GIN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,3351.79772259015,7294.25018599466
Guyana,GUY,Natural capital per capita (constant 2014 US$),NW.NCA.PC,37748.550146685,39619.6864528158
Haiti,HTI,Natural capital per capita (constant 2014 US$),NW.NCA.PC,2339.052131893,3018.01035680332
Honduras,HND,Natural capital per capita (constant 2014 US$),NW.NCA.PC,14895.9138798319,10598.7886969196
Hungary,HUN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,6456.53904194438,6622.60470820118
Iceland,ISL,Natural capital per capita (constant 2014 US$),NW.NCA.PC,8386.18316721256,8979.92427881454
India,IND,Natural capital per capita (constant 2014 US$),NW.NCA.PC,2619.46406156065,4738.80843367556
Indonesia,IDN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,6933.7759256184,9442.74573571808
Iraq,IRQ,Natural capital per capita (constant 2014 US$),NW.NCA.PC,4806.87660975031,71520.3143619831
Ireland,IRL,Natural capital per capita (constant 2014 US$),NW.NCA.PC,24265.3692518326,15912.045525158
Italy,ITA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,10493.3846596688,8619.30870382645
Jamaica,JAM,Natural capital per capita (constant 2014 US$),NW.NCA.PC,16507.7392221308,6804.43148898814
Japan,JPN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,3417.62384331498,3741.3540197467
Jordan,JOR,Natural capital per capita (constant 2014 US$),NW.NCA.PC,17229.0760186236,8875.6511390616
Kazakhstan,KAZ,Natural capital per capita (constant 2014 US$),NW.NCA.PC,29604.3858882964,66605.7192101335
Kenya,KEN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,9277.1003811347,6770.63440264115
"Korea, Rep.",KOR,Natural capital per capita (constant 2014 US$),NW.NCA.PC,2951.55867205695,4012.89834275245
Kuwait,KWT,Natural capital per capita (constant 2014 US$),NW.NCA.PC,275777.339273694,591228.676052389
Kyrgyz Republic,KGZ,Natural capital per capita (constant 2014 US$),NW.NCA.PC,6971.4460842305,12570.190035548
Lao PDR,LAO,Natural capital per capita (constant 2014 US$),NW.NCA.PC,8570.00190482762,22590.0006816352
Latvia,LVA,Natural capital per capita (constant 2014 US$),NW.NCA.PC,13766.9853750634,18738.4591307617
Lebanon,LBN,Natural capital per capita (constant 2014 US$),NW.NCA.PC,9381.96228543829,4130.81969637218
