Month,data science: (Worldwide)
2004-01,6
2004-02,13
2004-03,15
2004-04,8
2004-05,8
2004-06,14
2004-07,11
2004-08,5
2004-09,13
2004-10,14
2004-11,7
2004-12,8
2005-01,9
2005-02,9
2005-03,6
2005-04,10
2005-05,8
2005-06,8
2005-07,5
2005-08,11
2005-09,8
2005-10,7
2005-11,8
2005-12,6
2006-01,8
2006-02,9
2006-03,10
2006-04,6
2006-05,5
2006-06,6
2006-07,4
2006-08,6
2006-09,8
2006-10,5
2006-11,7
2006-12,5
2007-01,5
2007-02,7
2007-03,5
2007-04,5
2007-05,5
2007-06,6
2007-07,4
2007-08,4
2007-09,7
2007-10,7
2007-11,5
2007-12,5
2008-01,7
2008-02,5
2008-03,5
2008-04,6
2008-05,5
2008-06,5
2008-07,5
2008-08,4
2008-09,6
2008-10,6
2008-11,6
2008-12,7
2009-01,6
2009-02,5
2009-03,6
2009-04,5
2009-05,5
2009-06,6
2009-07,4
2009-08,6
2009-09,8
2009-10,6
2009-11,6
2009-12,5
2010-01,7
2010-02,7
2010-03,5
2010-04,6
2010-05,6
2010-06,5
2010-07,5
2010-08,4
2010-09,8
2010-10,6
2010-11,5
2010-12,6
2011-01,6
2011-02,6
2011-03,6
2011-04,6
2011-05,5
2011-06,5
2011-07,4
2011-08,6
2011-09,7
2011-10,6
2011-11,8
2011-12,5
2012-01,7
2012-02,8
2012-03,7
2012-04,5
2012-05,6
2012-06,5
2012-07,5
2012-08,7
2012-09,10
2012-10,8
2012-11,8
2012-12,7
2013-01,9
2013-02,8
2013-03,9
2013-04,9
2013-05,9
2013-06,7
2013-07,7
2013-08,10
2013-09,12
2013-10,12
2013-11,12
2013-12,9
2014-01,13
2014-02,13
2014-03,13
2014-04,12
2014-05,12
2014-06,13
2014-07,13
2014-08,15
2014-09,18
2014-10,17
2014-11,16
2014-12,16
2015-01,18
2015-02,19
2015-03,17
2015-04,18
2015-05,21
2015-06,20
2015-07,19
2015-08,22
2015-09,28
2015-10,25
2015-11,24
2015-12,22
2016-01,27
2016-02,26
2016-03,27
2016-04,25
2016-05,28
2016-06,27
2016-07,27
2016-08,30
2016-09,35
2016-10,34
2016-11,35
2016-12,30
2017-01,40
2017-02,42
2017-03,45
2017-04,41
2017-05,44
2017-06,43
2017-07,43
2017-08,45
2017-09,52
2017-10,51
2017-11,53
2017-12,46
2018-01,58
2018-02,55
2018-03,59
2018-04,59
2018-05,59
2018-06,57
2018-07,57
2018-08,63
2018-09,65
2018-10,68
2018-11,67
2018-12,63
2019-01,77
2019-02,77
2019-03,77
2019-04,76
2019-05,77
2019-06,78
2019-07,80
2019-08,91
2019-09,95
2019-10,88
2019-11,88
2019-12,83
2020-01,94
2020-02,99
2020-03,82
2020-04,87
2020-05,87
2020-06,90
2020-07,97
2020-08,95
2020-09,100
2020-10,87
2020-11,79
2020-12,76
2021-01,83
2021-02,79
2021-03,79
2021-04,73
