"country","Life_expectancy","Fertility"
"Austria",80.6,1.44
"Belarus",70.4,1.54
"Belgium",80.1,1.81
"Bhutan",71.6,2.38
"Botswana",60.2,2.88
"Chad",56.4,6.59
"Congo, Dem. Rep.",57.9,6.47
"Costa Rica",79.4,1.92
"Ecuador",74.7,2.66
"Egypt",69.4,3.19
"Equatorial Guinea",62.2,5.21
"Eswatini",46,3.53
"Gabon",62.8,4.08
"Gambia",63.6,5.71
"Georgia",72.8,1.92
