"state","year","month","drought_lvl","area_pct","drought_fill"
"California",2001,7,"D4",0,"#DB595C"
"California",2001,7,"D3",9.69,"#E6863C"
"California",2001,7,"D2",10.1,"#EAAF2B"
"California",2001,7,"D1",7.41,"#E5D75E"
"California",2001,7,"D0",17.99,"#E2E6BD"
"California",2001,8,"D4",0,"#DB595C"
"California",2001,8,"D3",18.6,"#E6863C"
"California",2001,8,"D2",9.66,"#EAAF2B"
"California",2001,8,"D1",7.61,"#E5D75E"
"California",2001,8,"D0",13.85,"#E2E6BD"
"California",2001,9,"D4",0,"#DB595C"
"California",2001,9,"D3",18.95,"#E6863C"
"California",2001,9,"D2",14.64,"#EAAF2B"
"California",2001,9,"D1",13.95,"#E5D75E"
"California",2001,9,"D0",18.47,"#E2E6BD"
"California",2001,10,"D4",0,"#DB595C"
"California",2001,10,"D3",18.22,"#E6863C"
"California",2001,10,"D2",14.47,"#EAAF2B"
"California",2001,10,"D1",14.84,"#E5D75E"
"California",2001,10,"D0",22.84,"#E2E6BD"
"California",2001,11,"D4",0,"#DB595C"
"California",2001,11,"D3",17.59,"#E6863C"
"California",2001,11,"D2",13.06,"#EAAF2B"
"California",2001,11,"D1",14.46,"#E5D75E"
"California",2001,11,"D0",13.97,"#E2E6BD"
"California",2001,12,"D4",0,"#DB595C"
"California",2001,12,"D3",0,"#E6863C"
"California",2001,12,"D2",9.92,"#EAAF2B"
"California",2001,12,"D1",8.9,"#E5D75E"
"California",2001,12,"D0",14.66,"#E2E6BD"
"California",2002,1,"D4",0,"#DB595C"
"California",2002,1,"D3",0,"#E6863C"
"California",2002,1,"D2",0,"#EAAF2B"
"California",2002,1,"D1",0.15,"#E5D75E"
"California",2002,1,"D0",12.06,"#E2E6BD"
"California",2002,2,"D4",0,"#DB595C"
"California",2002,2,"D3",0,"#E6863C"
"California",2002,2,"D2",0,"#EAAF2B"
"California",2002,2,"D1",0.17,"#E5D75E"
"California",2002,2,"D0",45.32,"#E2E6BD"
"California",2002,3,"D4",0,"#DB595C"
"California",2002,3,"D3",0,"#E6863C"
"California",2002,3,"D2",1.56,"#EAAF2B"
"California",2002,3,"D1",20.76,"#E5D75E"
"California",2002,3,"D0",22.85,"#E2E6BD"
"California",2002,4,"D4",0,"#DB595C"
"California",2002,4,"D3",0.45,"#E6863C"
"California",2002,4,"D2",25.95,"#EAAF2B"
"California",2002,4,"D1",11.49,"#E5D75E"
"California",2002,4,"D0",8.86,"#E2E6BD"
"California",2002,5,"D4",0,"#DB595C"
"California",2002,5,"D3",3.87,"#E6863C"
"California",2002,5,"D2",23.31,"#EAAF2B"
"California",2002,5,"D1",14.61,"#E5D75E"
"California",2002,5,"D0",38.31,"#E2E6BD"
"California",2002,6,"D4",0,"#DB595C"
"California",2002,6,"D3",13.46,"#E6863C"
"California",2002,6,"D2",22.03,"#EAAF2B"
"California",2002,6,"D1",17.5,"#E5D75E"
"California",2002,6,"D0",39.45,"#E2E6BD"
"California",2002,7,"D4",0,"#DB595C"
"California",2002,7,"D3",24.45,"#E6863C"
"California",2002,7,"D2",15.25,"#EAAF2B"
"California",2002,7,"D1",15.65,"#E5D75E"
"California",2002,7,"D0",39.66,"#E2E6BD"
"California",2002,8,"D4",0,"#DB595C"
"California",2002,8,"D3",24.21,"#E6863C"
"California",2002,8,"D2",15.78,"#EAAF2B"
"California",2002,8,"D1",16.24,"#E5D75E"
"California",2002,8,"D0",38.87,"#E2E6BD"
"California",2002,9,"D4",0,"#DB595C"
"California",2002,9,"D3",23.98,"#E6863C"
"California",2002,9,"D2",15.66,"#EAAF2B"
"California",2002,9,"D1",16.5,"#E5D75E"
"California",2002,9,"D0",38.36,"#E2E6BD"
"California",2002,10,"D4",0,"#DB595C"
"California",2002,10,"D3",24.28,"#E6863C"
"California",2002,10,"D2",15.13,"#EAAF2B"
"California",2002,10,"D1",32.82,"#E5D75E"
"California",2002,10,"D0",27.77,"#E2E6BD"
"California",2002,11,"D4",0,"#DB595C"
"California",2002,11,"D3",20.81,"#E6863C"
"California",2002,11,"D2",7.78,"#EAAF2B"
"California",2002,11,"D1",7.56,"#E5D75E"
"California",2002,11,"D0",58.89,"#E2E6BD"
"California",2002,12,"D4",0,"#DB595C"
"California",2002,12,"D3",17.19,"#E6863C"
"California",2002,12,"D2",8.87,"#EAAF2B"
