age	country	percent
<15	TOTAL	4.342988562904028
15-24	TOTAL	35.97401790154152
25-34	TOTAL	26.55395325708603
35-44	TOTAL	15.547613127797117
45-54	TOTAL	9.633888612630532
55-64	TOTAL	5.25360517155644
>65	TOTAL	2.5745897563401297
<15	AFG	18.269230769230766
<15	ALB	11.330049261083744
<15	DZA	3.7815126050420167
<15	AND	2.1505376344086025
<15	AGO	8.333333333333332
<15	AIA	6.521739130434782
<15	ATG	8.108108108108109
<15	ARG	0.8333333333333334
<15	ARM	2.7777777777777777
<15	ABW	0.6359300476947536
<15	AUS	15.637189264714443
<15	AUT	11.738002594033722
<15	AZE	4.285714285714286
<15	BHS	11.39240506329114
<15	BHR	4.395604395604396
<15	BGD	4.545454545454546
<15	BRB	3.225806451612903
<15	BLR	1.3953488372093024
<15	BEL	1.2177985948477752
<15	BLZ	5.88235294117647
<15	BTN	4.166666666666666
<15	BOL	1.2658227848101267
<15	BIH	2.5974025974025974
<15	BWA	11.11111111111111
<15	BRA	1.3167013167013166
<15	BRN	10.0
<15	BGR	1.7543859649122806
<15	BFA	20.0
<15	BDI	16.666666666666664
<15	CAN	13.084479371316307
<15	CHL	1.8716577540106951
<15	CHN	2.7902790279027903
<15	COL	0.728744939271255
<15	COG	14.285714285714285
<15	COK	12.5
<15	CRI	1.0526315789473684
<15	HRV	1.8656716417910446
<15	CUB	4.761904761904762
<15	CZE	1.4705882352941175
<15	PRK	31.25
<15	DNK	4.374364191251272
<15	ECU	1.5463917525773196
<15	EGY	3.2085561497326207
<15	SLV	2.5
<15	EST	1.2605042016806722
<15	ETH	10.256410256410255
<15	EU	3.0
<15	FJI	4.3478260869565215
<15	FIN	0.6764374295377678
<15	MKD	2.941176470588235
<15	FRA	0.6905561776782382
<15	GEO	3.1746031746031744
<15	DEU	0.7956785166800496
<15	GHA	8.823529411764707
<15	GIB	11.11111111111111
<15	GRC	0.5719733079122974
<15	GRL	20.0
<15	GTM	2.8846153846153846
<15	GUY	11.11111111111111
<15	HND	1.639344262295082
<15	HKG	8.695652173913043
<15	HUN	0.48465266558966075
<15	ISL	0.5494505494505495
<15	IND	1.670297748729121
<15	IDN	3.3653846153846154
<15	IRQ	5.405405405405405
<15	IRL	0.6702412868632708
<15	IRN	1.2376237623762376
<15	IMN	6.666666666666667
<15	ISR	1.4227642276422763
<15	ITA	0.45994633959371406
<15	JPN	5.585913782635094
<15	KAZ	2.013422818791946
<15	KEN	2.127659574468085
<15	KIR	20.0
<15	KOR	3.2287822878228782
<15	LAO	12.5
<15	LBN	1.7699115044247788
<15	LBY	11.11111111111111
<15	LTU	0.48543689320388345
<15	MDG	5.263157894736842
<15	MWI	20.0
<15	MYS	0.8356545961002786
<15	MDV	20.0
<15	MLI	12.5
<15	MLT	6.451612903225806
<15	MRT	14.285714285714285
<15	MUS	2.7027027027027026
<15	MEX	6.192178301093356
<15	FSM	10.0
<15	MDA	2.4390243902439024
<15	MAR	2.0491803278688523
<15	MMR	10.526315789473683
<15	NPL	2.7027027027027026
<15	NLD	1.5691868758915835
<15	ANT	5.0
<15	NZL	2.892960462873674
<15	NER	8.333333333333332
<15	NOR	0.5678591709256104
<15	OMN	11.11111111111111
<15	PAK	3.3816425120772946
<15	PAN	1.2987012987012987
<15	PNG	8.333333333333332
<15	PRY	2.3255813953488373
<15	PER	1.1363636363636365
<15	PHL	3.8461538461538463
<15	POL	0.7384615384615384
<15	PRT	2.746693794506612
<15	PRI	1.5873015873015872
<15	ROU	0.6681514476614699
<15	RUS	1.1848341232227488
<15	RWA	11.11111111111111
<15	SHN	16.666666666666664
<15	SAU	1.3513513513513513
<15	SEN	3.3333333333333335
<15	SRB	3.723404255319149
<15	SGP	2.9565217391304346
<15	SOM	25.0
<15	ZAF	17.454545454545457
<15	ESP	0.96487842531841
<15	LKA	3.614457831325301
<15	SUR	25.0
<15	SWE	1.7624521072796935
<15	CHE	1.7916390179163904
<15	SYR	6.349206349206349
<15	TWN	1.282051282051282
<15	THA	3.2846715328467155
<15	TGO	5.88235294117647
<15	TKL	100.0
<15	TON	14.285714285714285
<15	TUN	3.10077519379845
<15	TUR	0.6919006919006919
<15	TKM	14.285714285714285
<15	UGA	6.451612903225806
<15	UKR	2.8846153846153846
<15	ARE	3.278688524590164
<15	GBR	3.000171438367907
<15	USA	2.908152290815229
<15	VIR	3.4482758620689653
<15	URY	1.1904761904761905
<15	VUT	12.5
<15	VEN	1.1583011583011582
<15	VNM	4.678362573099415
<15	VGB	11.11111111111111
<15	WLF	42.857142857142854
<15	YEM	12.5
<15	ZMB	12.5
<15	ZWE	4.761904761904762
15-24	AFG	29.086538461538463
15-24	ALB	38.42364532019704
15-24	DZA	27.310924369747898
15-24	AND	30.107526881720432
15-24	AGO	16.666666666666664
15-24	AIA	17.391304347826086
15-24	ATG	24.324324324324326
15-24	ARG	16.893939393939394
15-24	ARM	32.407407407407405
15-24	ABW	3.815580286168521
15-24	AUS	62.3857483844676
15-24	AUT	30.35019455252918
15-24	AZE	31.428571428571427
15-24	BHS	29.11392405063291
15-24	BHR	40.65934065934066
15-24	BGD	30.303030303030305
15-24	BRB	25.806451612903224
15-24	BLR	51.162790697674424
15-24	BEL	30.070257611241217
15-24	BLZ	29.411764705882355
15-24	BEN	21.73913043478261
15-24	BMU	6.25
15-24	BTN	29.166666666666668
15-24	BOL	26.582278481012654
15-24	BIH	35.064935064935064
15-24	BWA	27.77777777777778
15-24	BRA	26.022176022176026
15-24	BRN	40.0
15-24	BGR	29.82456140350877
15-24	BFA	13.333333333333334
15-24	BDI	33.33333333333333
15-24	KHM	52.38095238095239
15-24	CMR	25.806451612903224
15-24	CAN	25.48788474132285
15-24	CPV	15.384615384615385
15-24	CYM	12.5
