"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Trade Value"
1,"Animal Products",101,"Live animals",10106,"Other Animals",1010600,"Animals, live, except farm animals",505
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",1020130,"Bovine cuts boneless, fresh or chilled",60
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",1020220,"Bovine cuts bone in, frozen",3418263
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",1020230,"Bovine cuts boneless, frozen",3063.9999999999995
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",1020319,"Swine cuts, fresh or chilled, nes",264
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",1020329,"Swine cuts, frozen nes",35381
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",1020430,"Lamb carcasses and half carcasses, frozen",476.00000000000006
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",1020442,"Sheep cuts, bone in, frozen",1686
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",1020450,"Goat meat, fresh, chilled or frozen",148821
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020721,"Fowls, domestic, whole, frozen",1619214
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020722,"Turkeys, domestic, whole, frozen",689
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020723,"Ducks, geese and guinea fowls, domestic, whole, froze",89.00000000000001
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020739,"Poultry cuts & offal, except livers, fresh or chilled",637
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020741,"Fowl cuts & offal, domestic, except livers, frozen",165561
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020742,"Turkey cuts & offal, except livers, frozen",1972
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020743,"Duck, goose, guinea fowl cuts, offal not liver, froze",2005
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",1021011,"Hams and shoulders, swine, salted, dried or smoked",669
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",1021019,"Swine meat, salted/dried/smoked not ham/shoulder/bell",33143
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",1021020,"Bovine meat salted, dried or smoked",245
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",1030199,"Fish live, except trout, eel or carp",198.99999999999997
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",1030269,"Fish nes, fresh or chilled, whole",115017.00000000001
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1030379,"Fish nes, frozen, whole",431222
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",1030410,"Fish fillet or meat, fresh or chilled, not liver, roe",445
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",1030420,"Fish fillets, frozen",268017
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",1030541,"Salmon, smoked, including fillets",1158
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",1030612,"Lobsters (Homarus) frozen",5590
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",1030614,"Crabs, frozen",311
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",1030619,"Crustaceans nes, frozen,",16660
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",1030622,"Lobsters (Homarus), not frozen",33913.00000000001
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",1030729,"Scallops other than live, fresh or chilled",1420
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",1030749,"Cuttle fish, squid, frozen, dried, salted or in brine",1507
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",1030799,"Aquatic invertebrates nes, frozen or preserved",117377
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",1040110,"Milk not concentrated nor sweetened < 1% fat",238456
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",1040120,"Milk not concentrated nor sweetened 1-6% fat",818371
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",1040130,"Milk and cream not concentrated nor sweetened < 6% fa",39817
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",1040210,"Milk powder < 1.5% fat",8689
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",1040221,"Milk and cream powder unsweetened < 1.5% fat",23477
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",1040229,"Milk and cream powder sweetened < 1.5% fat",4543
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",1040291,"Milk and cream unsweetened, concentrated",72409
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",1040299,"Milk and cream nes sweetened or concentrated",266868
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",1040310,"Yogurt",159039
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",1040390,"Buttermilk, curdled milk, cream, kephir, etc.",430521.00000000006
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",1040410,"Whey",536
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",1040490,"Natural milk products nes",206.00000000000003
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",1040500,"Butter and other fats and oils derived from milk",11438
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",1040620,"Cheese, grated or powdered, of all kinds",1716
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",1040630,"Cheese processed, not grated or powdered",150059
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",1040640,"Cheese, blue-veined",342
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",1040690,"Cheese except fresh, grated, processed or blue-veined",143521
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",1040700,"Birds eggs, in shell, fresh, preserved or cooked",165
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",1040819,"Egg yolks except dried",13.999999999999998
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",1040899,"Eggs, bird, not in shell not dried",1
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",1040900,"Honey, natural",8716
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10410,"Other Edible Animal Products",1041000,"Edible products of animal origin nes",14069
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",1050400,"Guts, bladders and stomachs of animals except fish",6625
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",2060299,"Plants, live (including their roots),nes",912
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",2060310,"Cut flowers and flower buds for bouquets, etc., fresh",5040
