@Trim Country,B2P Fiscal Year,Back,Bridge Name,Bridge Type,Country,Level 1 Government,Level 2 Government,Project Code,Project Type,Stage,Year,Individuals Directly Served,Latitude,Longitude,Number of Records,Span (m)
Nicaragua,1/1/2017,Back,Quililon,Suspension Bridge,Nicaragua,Matagalpa,El Tuma-La Dalia,NI131,B2P Built,Complete,1/1/2017,"2,000",13.083617,-85.582783,1,87.1
Nicaragua,1/1/2017,Back,Monte Verde,Suspension Bridge,Nicaragua,Madriz,Palacagüina,NI129,B2P Built,Complete,1/1/2017,167,13.4262,-86.3864,1,97
Panama,1/1/2017,Back,Bajo Cobre,Suspension Bridge,Panama,Veraguas,Cañazas District,PA118,B2P Built,Complete,1/1/2017,400,8.356306,-81.481472,1,63
Rwanda,1/1/2017,Back,Kumusenyi,Suspended Bridge,RWA,Southern Province,Muhanga,RW119,B2P Built,Complete,1/1/2017,"8,500",-1.827389,29.67125,1,62
Rwanda,1/1/2017,Back,Nyirakibehe,Suspension Bridge,RWA,Kigali,Gasabo,RW124,B2P Built,Complete,1/1/2017,"10,000",-1.848167,30.097,1,60
Rwanda,1/1/2017,Back,Rutaka,Suspended Bridge,RWA,Southern Province,Muhanga,RW118,B2P Built,Complete,1/1/2017,"10,000",-2.041333,29.69886,1,40
Rwanda,1/1/2017,Back,Uwimpfizi,Suspended Bridge,RWA,Southern Province,Nyaruguru,RW123,B2P Built,Complete,1/1/2017,"2,000",-2.621,29.4405,1,64
Nicaragua,1/1/2014,Back,Cinta Verde,Suspended Bridge,Nicaragua,Matagalpa,Esquipulas,NI104,B2P Built,Complete,1/1/2014,300,12.664636,-85.759522,1,50
Nicaragua,1/1/2014,Back,Las Papayas,Suspended Bridge,Nicaragua,Madriz,Somoto,NI101,B2P Built,Complete,1/1/2014,"5,000",13.458166,-86.719899,1,90
Nicaragua,1/1/2014,Back,El Limon,Suspension Bridge,Nicaragua,Matagalpa,Esquipulas,1002567,B2P Built,Complete,1/1/2014,300,12.663856,-85.758397,1,35
Nicaragua,1/1/2014,Back,Paso Real,Suspension Bridge,Nicaragua,Estelí,Condega,NI107,B2P Built,Complete,1/1/2014,"19,000",13.381258,-86.38179,1,105.1
Nicaragua,1/1/2015,Back,Mata Palo,Suspended Bridge,Nicaragua,Estelí,Pueblo Nuevo,NI115,B2P Built,Complete,1/1/2015,600,13.376861,-86.525694,1,36
Nicaragua,1/1/2015,Back,Amayito,Suspended Bridge,Nicaragua,Carazo,,NI119,B2P Built,Complete,1/1/2015,"1,000",11.718618,-86.32842,1,42
Nicaragua,1/1/2015,Back,Oyanca,Suspended Bridge,Nicaragua,Estelí,La Trinidad,NI113,B2P Built,Complete,1/1/2015,"1,650",12.928833333,-86.2613,1,57
Nicaragua,1/1/2015,Back,El Pueblito,Suspended Bridge,Nicaragua,Boaco,Boaco,NI111,B2P Built,Complete,1/1/2015,850,12.606944,-85.549444,1,100
