@Trim Country,B2P Fiscal Year,Back,Bridge Name,Bridge Type,Country,Level 1 Government,Level 2 Government,Project Code,Project Type,Stage,Year,Individuals Directly Served,Latitude,Longitude,Number of Records,Span (m)
Bolivia,1/1/2018,Back,Chavarría,Suspended Bridge,BOL,Chuquisaca,Tomina,1010470,B2P Built,Complete,1/1/2018,450,-19.36176389,-64.59399167,1,39
Uganda,1/1/2020,Back,Sanzara,Suspended Bridge,UGA,Eastern Region,Kapchorwa,1010460,B2P Built,Under Construction,1/1/2020,"1,730",1.373657,34.3343225,1,60
Bolivia,1/1/2019,Back,Mojocoya,Suspended Bridge,BOL,Chuquisaca,Jaime Zudáñez,1015713,B2P Built,Complete,1/1/2019,656,-18.763449,-64.617235,1,75
Uganda,1/1/2020,Back,Kawuswo,Suspension Bridge,UGA,Eastern Region,Bukwa,1011085,B2P Built,Complete,1/1/2020,"1,374",1.419135,34.72236,1,42
Uganda,1/1/2020,Back,Tuyobei,Suspension Bridge,UGA,Eastern Region,Bukwa,1011084,B2P Built,Complete,1/1/2020,"1,709",1.439188,34.726114,1,48
Uganda,1/1/2021,Back,Posha,Suspension Bridge,UGA,Eastern Region,Kween,1011154,B2P Built,Confirmed,1/1/2021,"3,380",1.372294,34.566279,1,48
Uganda,1/1/2020,Back,Mbigi,Suspension Bridge,UGA,Eastern Region,Bulambuli,1011582,B2P Built,Confirmed,1/1/2020,"2,700",1.314375,34.312385,1,38
Rwanda,1/1/2019,Back,Mugeri,Suspended Bridge,RWA,Western Province,Rutsiro,1012457,B2P Built,Complete,1/1/2019,"2,890",-2.02408333,29.41472222,1,63
Bolivia,1/1/2019,Back,Mallkuchusi,Suspended Bridge,BOL,La Paz,Pacajes,1012377,B2P Supported,Complete,1/1/2019,63,-17.683972,-68.764886,1,93
Rwanda,1/1/2019,Back,Gahororo,Suspended Bridge,RWA,Southern Province,Huye,1012501,B2P Built,Complete,1/1/2019,"7,000",-2.62148611,29.64888889,1,72.3
Bolivia,1/1/2019,Back,Puka Mayu,Suspended Bridge,BOL,Chuquisaca,Tarvita,1012507,B2P Built,Complete,1/1/2019,600,-19.92729167,-64.48491944,1,30
Rwanda,1/1/2019,Back,Serugeme,Suspended Bridge,RWA,Southern Province,Ruhango,1012480,B2P Built,Complete,1/1/2019,"4,111",-2.228055556,29.573333333,1,87
Rwanda,1/1/2020,Back,Kagogo,Suspension Bridge,RWA,Western Province,Rutsiro,1013662,B2P Built,Under Construction,1/1/2020,"1,468",-1.903292,29.369892,1,49
Rwanda,1/1/2020,Back,Rweru,Suspension Bridge,RWA,Southern Province,Nyamagabe,1013218,B2P Built,Under Construction,1/1/2020,"2,670",-2.52613,29.56947,1,46
Rwanda,1/1/2020,Back,Kiruri,Suspended Bridge,RWA,Western Province,Rutsiro,1012813,B2P Built,Under Construction,1/1/2020,"3,290",-1.986389,29.409167,1,50
Bolivia,1/1/2019,Back,Chaupi Mayu,Suspended Bridge,BOL,Cochabamba,Quillacollo,1012694,B2P Built,Complete,1/1/2019,"7,025",-17.373129,-66.333433,1,65
Bolivia,1/1/2019,Back,Miguelito,Suspended Bridge,BOL,Cochabamba,Chapare,1012692,B2P Built,Complete,1/1/2019,725,-17.15314,-65.768406,1,45
Bolivia,1/1/2019,Back,Uchu Uchu,Suspended Bridge,BOL,Cochabamba,Quillacollo,1012693,B2P Built,Complete,1/1/2019,"2,000",-17.37605278,-66.46990556,1,67
Rwanda,1/1/2020,Back,Gitikirema-kigarama,Suspended Bridge,RWA,Southern Province,Nyamagabe,1012817,B2P Built,Under Construction,1/1/2020,"2,805",-2.304674,29.472585,1,68
Uganda,1/1/2019,Back,Aryowet,Suspension Bridge,UGA,Eastern Region,Bukwo,1021288,B2P Built,Confirmed,1/1/2019,"1,666",1.390363,34.700049,1,
Uganda,1/1/2019,Back,Chemuron,,UGA,Eastern Region,Bukwo,1021307,B2P Built,Confirmed,1/1/2019,"1,211",1.416775,34.748919,1,
Rwanda,1/1/2018,Back,Tugogo,Suspended Bridge,RWA,Southern Province,Nyaruguru,1007901,B2P Built,Complete,1/1/2018,"3,500",-2.554167,29.507278,1,56
Rwanda,1/1/2020,Back,Kivugiza,Suspended Bridge,RWA,Western Province,Ngororero,1013457,B2P Built,Under Construction,1/1/2020,"2,656",-1.9496,29.568055,1,53
Rwanda,1/1/2020,Back,Buhito,Suspended Bridge,RWA,Western Province,Ngororero,1013541,B2P Built,Under Construction,1/1/2020,"2,335",-1.817908,29.544044,1,33
Rwanda,1/1/2020,Back,Nkora,Suspended Bridge,RWA,Western Province,Rutsiro,1013658,B2P Built,Under Construction,1/1/2020,"1,348",-1.8675,29.324166,1,40
Bolivia,1/1/2019,Back,Challwiri,Suspended Bridge,BOL,Potosí,Charcas,1014453,B2P Built,Complete,1/1/2019,"5,000",-18.268516,-65.979936,1,90
Rwanda,1/1/2020,Back,Kirumbi,Suspension Bridge,RWA,Western Province,Rutsiro,1012986,B2P Built,Under Construction,1/1/2020,"3,294",-1.940958,29.514561,1,56
Rwanda,1/1/2019,Back,Kivomo,Suspension Bridge,RWA,Western Province,Ngororero,1013353,B2P Built,Complete,1/1/2019,"1,768",-2.026616,29.57632,1,86
Rwanda,1/1/2020,Back,Gashyushya,Suspension Bridge,RWA,Southern Province,Muhanga,1012953,B2P Built,Under Construction,1/1/2020,"2,200",-2.01211492,29.76212259,1,42
Rwanda,1/1/2020,Back,Rwinyoni,Suspended Bridge,RWA,Western Province,Rutsiro,1013641,B2P Built,Under Construction,1/1/2020,"1,641",-1.80169,29.29776,1,45
Uganda,1/1/2020,Back,Tabagon,Suspended Bridge,UGA,Eastern Region,Kween,1017617,B2P Built,Under Construction,1/1/2020,"1,245",1.421969,34.546568,1,55.5
Bolivia,1/1/2020,Back,Kuñuri Pampa,Suspended Bridge,BOL,Chuquisaca,Azurduy,1018541,B2P Built,Confirmed,1/1/2020,296,-19.755422,-64.471566,1,50
Bolivia,1/1/2020,Back,Río San Pedro,Suspended Bridge,BOL,Potosí,Charcas,1017675,B2P Built,Under Construction,1/1/2020,970,-18.292978,-65.972312,1,130
Uganda,1/1/2019,Back,Rwanda,Suspension Bridge,UGA,Eastern Region,Bukwo,1015528,B2P Built,Complete,1/1/2019,"1,742",1.283832,34.726981,1,49
Bolivia,1/1/2020,Back,Quioma,Suspended Bridge,BOL,Potosí,Charcas,1016673,B2P Built,Under Construction,1/1/2020,285,-18.210034,-65.585277,1,138
Rwanda,1/1/2020,Back,Rufuha,Suspension Bridge,RWA,Southern Province,Muhanga,1017673,B2P Built,Under Construction,1/1/2020,"1,000",-2.012167,29.763889,1,33.7
Bolivia,1/1/2020,Back,Ñacamiri,Suspended Bridge,BOL,Chuquisaca,Hernando Siles,1018652,B2P Built,Confirmed,1/1/2020,560,-20.71548,-64.027244,1,82
