country,rural_access_year_varies_index,rural_of_total_population_2018,total_rural_population_2018,rural_population_without_access_2018_population_varying_rai_year,human_development_index_2019
Cuba,81%,0.22962999999999995,2603577,494679.6299999999,0.7777145085775056
Cyprus,89%,0.3319,394717,43418.869999999995,0.872955393887627
Czechia,97%,0.26208,2784782,83543.45999999996,0.8907546579335381
Denmark,99%,0.12126000000000005,702998,7029.979999999981,0.9299461150555088
Djibouti,81%,0.22222999999999998,213101,40489.19,0.4954332595479523
Dominica,88%,0.29516999999999993,21142,2537.040000000001,0.7237880287558943
Dominican Republic,62%,0.18926,2011297,764292.8600000001,0.7446407423080836
Ecuador,73%,0.36179,6180950,1668856.5,0.757916350872878
"Egypt, Arab Rep.",77%,0.57296,56392783,12970340.089999996,0.699726797920563
El Salvador,64%,0.27977,1796332,646679.52,0.6666810183016703
Equatorial Guinea,53%,0.27857,364641,171381.27,0.5884216446867686
Eritrea,29%,0,0,0,0.4335796204231948
Estonia,86%,0.31120000000000003,411059,57548.26000000001,0.8815422978950281
Ethiopia,0.216,0.7923699999999999,86546264,67852270.976,0.4698496253405611
Faeroe Islands,not available,not available,not available,not available,not available
Fiji,76%,0.43752,386541,92769.84000000003,0.7236988694200227
Finland,82%,0.14617999999999995,806629,145193.2200000001,0.9251917244683008
France,99%,0.19555999999999998,13100025,131000.25,0.8910567777248105
French Polynesia,not available,0.38165999999999994,105979,not available,not available
Gabon,45%,0.1063,225279,123903.45,0.7016252661477533
"Gambia, The",77%,0.3873,883084,203109.31999999995,0.4657249013527874
Georgia,82%,0.41368000000000005,1543440,277819.2000000002,0.7863590918977229
Germany,89%,0.22688000000000003,18814687,2069615.5700000003,0.9387847060566997
Ghana,61%,0.43939999999999996,13079667,5101070.13,0.5956697164751565
Greece,90%,0.20941999999999994,2246588,224658.80000000005,0.8719521259263978
Greenland,not available,0.13183999999999998,7386,not available,not available
Grenada,98%,0.6372800000000001,71027,1420.5400000000081,0.763383380917163
Guam,not available,0.052199999999999996,8653,not available,not available
Guatemala,55%,0.48946,8442112,3798950.3999999994,0.6510353371839624
Guinea,22%,0.6386,7927783,6183670.74,0.46551500062169854
Guinea-Bissau,52%,0.5664,1061609,509572.31999999995,0.46140600072244514
Guyana,46%,0.73394,571742,308740.68,0.6702960964531388
Haiti,28%,0.44722,4974507,3581645.04,0.5027313745517944
Honduras,40%,0.42904000000000003,4113430,2468058,0.6229814710609647
"Hong Kong, China",n.a.,not available,not available,not available,0.9388091495938403
Hungary,98%,0.28649,2798659,55973.18000000017,0.8446999355453134
Iceland,81%,0.061869999999999974,21876,4156.439999999999,0.9384738750453867
India,61%,0.6597,892321651,348005443.89,0.6469010999226564
Indonesia,94%,0.44675,119578640,7174718.400000006,0.706857949708208
"Iran, Islamic Rep.",66%,0.25102,20533504,6981391.359999999,not available
Iraq,0.634,0.29527000000000003,11348289,4153473.774,0.6887840736628051
Ireland,93%,0.36829999999999996,1787546,125128.21999999997,0.9424728207975246
Isle of Man,not available,0.47412,39863,not available,not available
Israel,88%,0.07581999999999994,673570,80828.40000000002,0.9062349434905423
Italy,98%,0.29562,17864696,357293.9200000018,0.882583978567803
Jamaica,93%,0.44326,1300904,91063.28000000003,0.7256793639847112
Japan,99%,0.08384,10608200,106082,0.9146963762009753
Jordan,0.714,0.09021000000000001,898132,256865.75199999998,0.7234451203910152
Kazakhstan,77%,0.42572000000000004,7780671,1789554.33,0.8172438488404485
