"code","name","year","gdp_pc"
"AT","Austria",2004,126
"AT","Austria",2005,127
"AT","Austria",2006,126
"AT","Austria",2007,124
"AT","Austria",2008,124
"AT","Austria",2009,126
"AT","Austria",2010,126
"AT","Austria",2011,128
"AT","Austria",2012,131
"AT","Austria",2013,131
"AT","Austria",2014,130
"AT","Austria",2015,128
"BE","Belgium",2004,121
"BE","Belgium",2005,121
"BE","Belgium",2006,119
"BE","Belgium",2007,117
"BE","Belgium",2008,116
"BE","Belgium",2009,118
"BE","Belgium",2010,121
"BE","Belgium",2011,120
"BE","Belgium",2012,121
"BE","Belgium",2013,120
"BE","Belgium",2014,120
"BE","Belgium",2015,119
"BG","Bulgaria",2004,34
"BG","Bulgaria",2005,37
"BG","Bulgaria",2006,38
"BG","Bulgaria",2007,41
"BG","Bulgaria",2008,43
"BG","Bulgaria",2009,44
"BG","Bulgaria",2010,45
"BG","Bulgaria",2011,45
"BG","Bulgaria",2012,46
"BG","Bulgaria",2013,46
"BG","Bulgaria",2014,46
"BG","Bulgaria",2015,47
"CY","Cyprus",2004,97
"CY","Cyprus",2005,101
"CY","Cyprus",2006,101
"CY","Cyprus",2007,104
"CY","Cyprus",2008,106
"CY","Cyprus",2009,105
"CY","Cyprus",2010,100
"CY","Cyprus",2011,96
"CY","Cyprus",2012,91
"CY","Cyprus",2013,84
"CY","Cyprus",2014,81
"CY","Cyprus",2015,82
"CZ","Czech Republic",2004,78
"CZ","Czech Republic",2005,79
"CZ","Czech Republic",2006,79
"CZ","Czech Republic",2007,82
"CZ","Czech Republic",2008,84
"CZ","Czech Republic",2009,85
"CZ","Czech Republic",2010,83
"CZ","Czech Republic",2011,83
"CZ","Czech Republic",2012,83
"CZ","Czech Republic",2013,84
"CZ","Czech Republic",2014,86
"CZ","Czech Republic",2015,87
"DE","Germany",2004,120
"DE","Germany",2005,118
"DE","Germany",2006,117
"DE","Germany",2007,117
"DE","Germany",2008,117
"DE","Germany",2009,117
"DE","Germany",2010,120
"DE","Germany",2011,123
"DE","Germany",2012,124
"DE","Germany",2013,124
"DE","Germany",2014,125
"DE","Germany",2015,124
"DK","Denmark",2004,124
"DK","Denmark",2005,124
"DK","Denmark",2006,125
"DK","Denmark",2007,123
"DK","Denmark",2008,125
"DK","Denmark",2009,125
"DK","Denmark",2010,129
"DK","Denmark",2011,128
"DK","Denmark",2012,127
"DK","Denmark",2013,128
"DK","Denmark",2014,127
"DK","Denmark",2015,127
"EE","Estonia",2004,54
"EE","Estonia",2005,60
"EE","Estonia",2006,64
"EE","Estonia",2007,69
"EE","Estonia",2008,69
"EE","Estonia",2009,64
"EE","Estonia",2010,65
"EE","Estonia",2011,71
"EE","Estonia",2012,74
"EE","Estonia",2013,75
"EE","Estonia",2014,76
"EE","Estonia",2015,75
"EL","Greece",2004,96
"EL","Greece",2005,93
"EL","Greece",2006,96
"EL","Greece",2007,93
"EL","Greece",2008,93
"EL","Greece",2009,94
"EL","Greece",2010,85
"EL","Greece",2011,75
"EL","Greece",2012,72
"EL","Greece",2013,72
"EL","Greece",2014,70
"EL","Greece",2015,68
"ES","Spain",2004,98
"ES","Spain",2005,100
"ES","Spain",2006,103
"ES","Spain",2007,103
"ES","Spain",2008,101
"ES","Spain",2009,101
"ES","Spain",2010,96
"ES","Spain",2011,93
"ES","Spain",2012,91
"ES","Spain",2013,90
"ES","Spain",2014,90
"ES","Spain",2015,90
"FI","Finland",2004,117
"FI","Finland",2005,116
"FI","Finland",2006,115
"FI","Finland",2007,119
"FI","Finland",2008,121
"FI","Finland",2009,117
"FI","Finland",2010,116
"FI","Finland",2011,117
"FI","Finland",2012,115
"FI","Finland",2013,113
"FI","Finland",2014,111
"FI","Finland",2015,109
"FR","France",2004,110
"FR","France",2005,111
"FR","France",2006,109
"FR","France",2007,108
"FR","France",2008,107
"FR","France",2009,108
"FR","France",2010,108
"FR","France",2011,108
"FR","France",2012,107
"FR","France",2013,109
"FR","France",2014,107
"FR","France",2015,106
"HR","Croatia",2004,55
"HR","Croatia",2005,56
"HR","Croatia",2006,58
"HR","Croatia",2007,61
"HR","Croatia",2008,63
"HR","Croatia",2009,62
"HR","Croatia",2010,59
"HR","Croatia",2011,60
"HR","Croatia",2012,60
"HR","Croatia",2013,59
"HR","Croatia",2014,59
