Country ,% of UK's Exports to the EU,% of UK Imports from the EU
 Germany,18.90%,20.90%
 Netherlands,14.20%,13.80%
 France,13.70%,12.10%
 Ireland,13.60%,8.00%
 Italy,6.90%,6.80%
 Spain,6.80%,8.60%
 Belgium,6.10%,7.70%
 Sweden,3.40%,3.30%
 Poland,2.60%,3.90%
 Denmark,2.20%,2.20%
 Luxembourg,1.80%,1.00%
 Austria,1.10%,1.40%
 Czech Repbulic,1.10%,1.80%
 Finland ,1.10%,0.80%
 Portugal,1.10%,1.50%
 Greece,0.90%,1.00%
 Romania,0.90%,1.10%
 Hungary,0.70%,1.30%
 Malta,0.70%,0.20%
 Cyprus,0.60%,0.30%
 Total EU 28,100%,100%
