"country","country_code","gdp","life_expectancy","pop"
"Afghanistan","afg",1947,59,37209007
"Albania","alb",12958,78.16,2938428
"Algeria","dza",13711,78.07,42679018
"Angola","ago",5761,65.46,31787566
"Antigua and Barbuda","atg",21165,77.76,104084
"Argentina","arg",19288,77.13,45101781
"Armenia","arm",8930,76.14,2936706
"Aruba","abw",39928,76.28,106053
"Australia","aus",46423,83.04,25088636
"Austria","aut",44851,82.02,8766201
"Azerbaijan","aze",16874,72.4,10014575
"Bahamas","bhs",22063,74.24,403095
"Bahrain","bhr",44385,77.32,1637896
"Bangladesh","bgd",3942,73.71,168065920
"Barbados","brb",16194,76.99,287010
"Belarus","blr",17612,73.91,9433874
"Belgium","bel",43196,81.4,11562784
"Belize","blz",7635,72.65,390231
"Benin","ben",2260,65.24,11801595
"Bhutan","btn",10596,75.18,826229
"Bolivia","bol",7105,74.31,11379861
"Bosnia and Herzegovina","bih",12542,78.11,3501774
"Botswana","bwa",16976,67.46,2374636
"Brazil","bra",14530,75.91,212392717
"Brunei","brn",83077,77.53,439336
"Bulgaria","bgr",19433,75.45,6988739
"Burkina Faso","bfa",1773,61.99,20321560
"Burundi","bdi",678,61.53,11575964
"Cambodia","khm",4022,69.68,16482646
"Cameroon","cmr",3247,61.74,25312993
"Canada","can",44076,82.33,37279811
"Cape Verde","cpv",6599,74.26,560349
"Central African Republic","caf",713,52.17,4825711
"Chad","tcd",1875,60.86,15814345
"Chile","chl",23793,80.87,18336653
"China","chn",16864,77.08,1420062022
"Colombia","col",14042,78.81,49849818
"Comoros","com",1453,68.21,850910
"Congo, Dem. Rep.","cod",759,62.84,86727573
"Congo, Rep.","cog",5661,64.25,5542197
"Costa Rica","cri",16667,81.62,4999384
"Cote d'Ivoire","civ",3926,61.71,25531083
"Croatia","hrv",23156,77.82,4140148
"Cuba","cub",20562,79.52,11492046
"Cyprus","cyp",32666,80.95,1198427
"Czech Republic","cze",32962,79.52,10630589
"Denmark","dnk",47099,81.24,5775224
"Djibouti","dji",3649,67.29,985690
"Dominican Republic","dom",15824,76.3,10996774
"Ecuador","ecu",10189,78.53,17100444
"Egypt","egy",11219,72.74,101168745
"El Salvador","slv",8433,75.99,6445405
"Equatorial Guinea","gnq",19315,66.49,1360104
"Eritrea","eri",1258,64.97,5309659
"Estonia","est",30379,77.81,1303798
"Ethiopia","eth",1904,66.8,110135635
"Fiji","fji",9700,65.89,918757
"Finland","fin",40765,82.24,5561389
"France","fra",39526,82.77,65480710
"Gabon","gab",18035,67.65,2109099
"Gambia","gmb",1580,68.08,2228075
