Region,RPK,Growth
Within South Asia,488,9.5
Within Southeast Asia,848,7.7
Middle East-South Asia,486,7.5
Within China,1897,6.2
Within South America,510,6
Europe-Middle East,690,5.4
Central America-North America,478,5.3
Within Europe,1482,3.2
Europe-North America,840,2.9
Within North America,1809,2.6
