id,label,xcoord,ycoord
,SOHO SQR,-0.132193625105034,51.5153031286417
,WORK HOUSE,-0.137615961006954,51.5141645868411
,REGENT CIRCUS,-0.142026979401208,51.5152635451243
,GOLDEN SQR,-0.137185929920988,51.5116474036626
,BREWERY,-0.13554278012104,51.5133354278003
,BROAD ST,-0.137451115016965,51.5131135636369
,REGENTS QUADRANT,-0.136781027219791,51.5099003888288
,PICCADILLY CIRCUS,-0.134710080889906,51.509713166596
,KING ST,-0.139360858055471,51.5126871563403
,SILVER ST,-0.137721709275611,51.5123362059805
