NODE_ID,NODE_NAME,NODE_TYPE
AG05002,CDR ROBOT,AGENT
EVT02265,KIDNAPPING OF NUNS JULIA FORESTER AND FATIMA URIBAREN,EVENT
LOC00888,PATIKUL | SULU | PHILIPPINES,LOCATION
19930117,1/17/1993,DATE
EVT02266,KIDNAPPING OF FR. CLARENCE BERTELSMAN,EVENT
LOC01149,JOLO ISLAND | SULU | PHILIPPINES,LOCATION
19940731,7/31/1994,DATE
EVT01963,KIDNAPPING OF LAND SURVEYORS IN THE PHILIPPINES,EVENT
LOC00969,SUMISIP | BASILAN | PHILIPPINES,LOCATION
19941118,11/18/1994,DATE
EVT03005,ZAMBOANGA ZIZMORD COSMETIC FIRM; 4 SALES REPS KIDNAPPED,EVENT
LOC00352,ZAMBOANGA PENINSULA | PHILIPPINES,LOCATION
19950225,2/25/1995,DATE
EVT03010,THREE FOREIGNERS KIDNAPPED,EVENT
LOC01106,SITANGKAI | TAWI-TAWI | PHILIPPINES,LOCATION
19980908,9/8/1998,DATE
EVT00696,SIDIPAN KIDNAPPING OF 20 ASIAN AND EUROPEAN HOSTAGES,EVENT
LOC00957,SIPADAN ISLAND | SABAH | MALAYSIA,LOCATION
20000423,2000-0-423,DATE
EVT01980,KIDNAPPING OF WILDE ALMEDA AND FOLLOWERS (JESUS MIRACLE CRUSADE),EVENT
20000701,7/1/2000,DATE
EVT01981,KIDNAPPING OF FRENCH TV CREW,EVENT
LOC00345,JOLO CITY | SULU | PHILIPPINES,LOCATION
20000709,7/9/2000,DATE
EVT03022,SEPARATISTS ABDUCT THREE PEOPLE IN MALAYSIA,EVENT
LOC00895,PANADAN ISLAND | MALAYSIA,LOCATION
20000911,9/11/2000,DATE
ASG,ASG,ORG
MILF,MILF,ORG
MNLF,MNLF,ORG
PG,PG,ORG
OTHER,OTHER,ORG
UNKNOWN,UNKNOWN,ORG
AG05004,JULHUNIR JILANG,AGENT
EVT03142,KIDNAPPING OF FR GERALD FRASZCZACK,EVENT
19920815,8/15/1992,DATE
EVT03141,DR BARANDINO AND FAMILY KIDNAPPED,EVENT
19921129,11/29/1992,DATE
EVT03138,KIDNAPPING OF FR. BERNARDO BLANCO,EVENT
19930608,6/8/1993,DATE
EVT02267,KIDNAPPING OF FR. CIRILO NACORDA AND FIFTEEN CHRISTIANS,EVENT
19940608,6/8/1994,DATE
AG05122,USMAN LIDJAL,AGENT
EVT03012,TWO BELGIANS KIDNAPPED,EVENT
19990613,6/13/1999,DATE
EVT03024, FOUR GUNMEN KIDNAP 6 YEAR OLD APRIL GRANT,EVENT
20010110,1/10/2001,DATE
EVT03121,ITALIAN PRIEST CARLO BOSSI (GIANCARLO BOSSI) KIDNAPPED,EVENT
20070610,6/10/2007,DATE
EVT03056,FEMALE NURSE KIDNAPPED,EVENT
20080707,7/7/2008,DATE
EVT03061,FIVE HUMANITARIAN WORKERS KIDNAPPED,EVENT
20080915,9/15/2008,DATE
EVT03070,3 TEACHERS KIDNAPPED FROM A BOAT BY SUSPECTED ASG NEAR ZAMBOANGA,EVENT
20090123,1/23/2009,DATE
EVT03073,NGO WORKER KIDNAPPED BY SUSPECTED ASG IN LAMITAN,EVENT
20090213,2/13/2009,DATE
EVT03074,LENT KIDNAPPING OF EIGHT HOSTAGES IN ARCO VILLAGE,EVENT
20090410,4/10/2009,DATE
EVT03075,FARM OWNER KIDNAPPED BY SUSPECTED ASG IN ZAMBOANGA,EVENT
20090425,4/25/2009,DATE
AG05243,ABUGAO BAYALI,AGENT
EVT03076,MICROFINANCIER LEAH LAPING-PATRIS KIDNAPPED,EVENT
20090203,2/3/2009,DATE
