,Oil Spills 1970-2019,,
*data exclude spills under 7 tonnes,total quantity spilt (tonnes),source,URL
2000,"14,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2001,"9,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2002,"66,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2003,"43,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2004,"17,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2005,"15,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2006,"12,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2007,"15,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2008,"2,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2009,"3,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2010,"12,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2011,"2,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2012,"1,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2013,"7,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2014,"5,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2015,"7,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2016,"6,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2017,"7,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2018,"116,000",International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
2019,1000,International Tanker Owners Pollution Federation Limited,https://www.itopf.org/fileadmin/data/Documents/Company_Lit/Oil_Spill_Stats_brochure_2020_for_web.pdf
