GSI Country,GDP_per_capita (US$),Government Response Score
Albania,11840,59.88095238
Algeria,15026,36.25
Angola,6844,29.46428571
Argentina,20047,62.61904762
Australia,48899,63.75
Bahrain,50704,32.55952381
Bangladesh,3891,44.4047619
Barbados,17100,39.4047619
Belgium,45047,68.33333333
Benin,2119,37.73809524
Brazil,15242,55.5952381
Brunei Darussalam,76884,20.5952381
Bulgaria,20327,55.83333333
Burundi,282.19,10.7
Cambodia,3737,37.55952381
Cameroon,3249,25.41666667
Canada,46437,58.63095238
Cape Verde,6662,22.91666667
Central African Republic,402.19,2.5
Chile,24113,62.32142857
China,15399,27.38095238
Colombia,14130,41.07142857
Costa Rica,16436,50
Croatia,22795,68.1547619
Cuba,7617.801047,20.77380952
Cyprus,23324.2,63.39285714
Denmark,47985,58.57142857
Djibouti,3370,35.29761905
Dominican Republic,16049,58.03571429
Ecuador,11109,46.42857143
Egypt,12554,40.05952381
El Salvador,8909,37.38095238
Equatorial Guinea,8639,8.571428571
Eritrea,1410,-2.023809524
Estonia,29313,48.80952381
Finland,42165,57.91666667
France,42314,61.54761905
Gabon,19056,24.22619048
Gambia,1667,33.86904762
Georgia,10044,62.79761905
Germany,48111,57.14285714
Ghana,4412,27.61904762
Greece,26669,55.05952381
Guatemala,7899,45.23809524
Guinea,1265,19.3452381
Guyana,7873,31.48809524
Haiti,1784,39.70238095
Honduras,5271,36.96428571
"Hong Kong, China",43731,21.36904762
Iceland,49136,46.36904762
India,6616,45.6547619
Indonesia,11720,50.83333333
Iran,18077,6.785714286
Iraq,17944,
Ireland,69231,57.73809524
Israel,35179,52.14285714
Italy,36833,61.96428571
Ivory Coast,3609,42.44047619
Japan,41275,36.60714286
Kenya,3361,36.48809524
Kuwait,71887,27.79761905
Latvia,25710,60.89285714
Lebanon,18525,31.30952381
Liberia,855,31.66666667
Libya,8678,-2.5
Lithuania,29972,59.10714286
Madagascar,1505,31.78571429
Malaysia,27267,38.39285714
Mauritania,4328,15.47619048
Mauritius,20422,34.88095238
Mexico,18938,52.44047619
Moldova,2880.44,55.7
Montenegro,16643,63.98809524
Morocco,8330,36.54761905
Mozambique,1215,40.71428571
Myanmar,5832,32.38095238
Namibia,11290,33.27380952
Netherlands,51049,75.23809524
New Zealand,37294,57.55952381
Nicaragua,5452,46.30952381
Nigeria,5942,45.83333333
North Korea,583,-5.595238095
Norway,69249,66.8452381
Oman,46698,31.96428571
Pakistan,4906,18.57142857
Panama,23024,43.86904762
Papua New Guinea,3541,18.92857143
Peru,12903,52.5
Philippines,7728,55.83333333
Poland,27764,53.86904762
Portugal,28933,66.25
Qatar,127660,35.41666667
Republic of the Congo,6676,14.82142857
Romania,22348,43.92857143
Russia,26490,20.71428571
Saudi Arabia,55158,27.91666667
Senegal,2577,47.08333333
Sierra Leone,1672,46.2
Singapore,87855,32.79761905
Slovenia,32085,59.58333333
Somalia,434.1,15.95238095
South Africa,13225,47.44047619
South Korea,37740,27.61904762
Spain,36416,66.9047619
Sri Lanka,12262,37.38095238
Sudan,4447,14.94047619
Suriname,13988,27.14285714
Sweden,49836,68.69047619
Syria,2900,
Taiwan,48095,38.20987654
Tanzania,3080,32.79761905
Thailand,16888,48.86904762
Timor-Leste,4187,28.51190476
Togo,1550,23.57142857
Trinidad and Tobago,31870,49.88095238
Tunisia,11634,44.3452381
Turkey,24912,47.38095238
Ukraine,8305,53.03571429
United Arab Emirates,67871,47.79761905
United Kingdom,42481,71.5
United States,57436,71.72619048
Uruguay,21527,50.41666667
Venezuela,13761,28.21428571
Vietnam,6429,48.0952381
Yemen,2375,
