"date","year","location","locality","magnitude","x_missing","x_of_deaths","x_of_injuries","damage_in_millions","damages_dollars","houses_damaged","houses_destroyed","latitude","longitude"
"1/4/1918",1918,"GUATEMALA","GUATEMALA CITY",NA,NA,NA,NA,NA,NA,NA,NA,14,-90
"1/30/1918",1918,"RUSSIA","E COAST OF",7.7,NA,NA,NA,NA,NA,NA,NA,45.4,136.5
"2/7/1918",1918,"PHILIPPINES","MINDANAO",7.5,NA,NA,NA,NA,NA,NA,NA,6.5,126.5
"2/13/1918",1918,"CHINA","GUANGDONG PROVINCE",7.3,NA,2000,NA,NA,NA,NA,NA,23.5,117.2
"4/21/1918",1918,"CALIFORNIA","",6.8,NA,NA,NA,NA,NA,NA,NA,33.7,-117
"5/20/1918",1918,"CHILE","NORTHERN",7.9,NA,NA,NA,NA,NA,NA,NA,-28.5,-71.5
"7/3/1918",1918,"PAPUA NEW GUINEA","N COAST",7.5,NA,NA,NA,NA,NA,NA,NA,-3.5,142.5
"7/8/1918",1918,"BANGLADESH","SRIMANGAL",7.6,NA,NA,NA,NA,NA,NA,NA,24.5,91
"8/14/1918",1918,"CHINA","YUNNAN PROVINCE",5.5,NA,NA,NA,NA,NA,NA,NA,26.9,103
"8/15/1918",1918,"PHILIPPINES","MINDANAO",8.3,NA,52,NA,NA,NA,NA,NA,5.5,123
"9/7/1918",1918,"RUSSIA","KURIL ISLANDS",8.3,NA,23,7,NA,NA,19,NA,45.5,151.5
"9/13/1918",1918,"PHILIPPINES","BATANES",NA,NA,NA,NA,NA,NA,NA,NA,20.4,121.95
"10/11/1918",1918,"PUERTO RICO","MONA PASSAGE",7.3,100,144,NA,4,4000000,NA,NA,18.5,-67.5
"10/25/1918",1918,"PUERTO RICO","",NA,NA,NA,NA,NA,NA,NA,NA,18.5,-67.5
"11/8/1918",1918,"RUSSIA","KURIL ISLANDS",7.8,NA,NA,NA,NA,NA,NA,NA,44.5,151.5
"11/12/1918",1918,"PUERTO RICO","",NA,NA,NA,NA,NA,NA,NA,NA,18.2,-68.2
"11/18/1918",1918,"INDONESIA","BANDA SEA",8.1,NA,NA,NA,NA,NA,NA,NA,-7,129
"12/4/1918",1918,"CHILE","COPIAPO",7.8,NA,NA,NA,NA,NA,NA,NA,-26,-71
"1/1/1918",1918,"IRAN","BAJESTAN",NA,NA,NA,NA,NA,NA,NA,NA,34.5,58.2
"1/1/1919",1919,"PHILIPPINES","MINDANAO ISLAND",7.4,NA,NA,NA,NA,NA,NA,NA,8,126
"1/1/1919",1919,"FIJI ISLANDS","",8.3,NA,NA,NA,NA,NA,NA,NA,-19.5,-176.5
"4/27/1919",1919,"PHILIPPINES","NW PANAY, SW TABLAS, CARABAO I",NA,NA,NA,NA,NA,NA,NA,NA,12,122
"4/28/1919",1919,"EL SALVADOR","SAN SALVADOR",5.9,NA,NA,NA,NA,NA,NA,NA,13.69,-89.19
"4/30/1919",1919,"TONGA ISLANDS","",8.1,NA,NA,NA,NA,NA,NA,NA,-18.352,-172.515
"5/3/1919",1919,"JAPAN","OFF EAST COAST HONSHU",7.6,NA,NA,NA,NA,NA,NA,NA,40.5,145.5
"5/6/1919",1919,"PAPUA NEW GUINEA","SOLOMON ISLANDS",7.8,NA,NA,NA,NA,NA,NA,NA,-4.852,153.714
"6/29/1919",1919,"ITALY","N",6.2,NA,NA,NA,NA,NA,NA,NA,44,11.5
"6/29/1919",1919,"NICARAGUA","GULF OF FONSECA",6.6,NA,NA,NA,NA,NA,NA,NA,12.33,-88.291
"8/19/1919",1919,"LARA","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10/3/1919",1919,"FIJI ISLANDS","RABI,TUNULOA MISSION,SUVASAVU",6.9,NA,NA,NA,NA,NA,NA,NA,-16.5,180
"10/22/1919",1919,"ITALY","TYRRHENIAN SEA",5.6,NA,NA,NA,NA,NA,NA,NA,41.4,12.6
"10/31/1919",1919,"ITALY","CENTRAL",NA,NA,NA,NA,NA,NA,NA,NA,43.5,12.1
"11/21/1919",1919,"INDONESIA","IRIAN JAYA REGION",NA,NA,NA,NA,NA,NA,NA,NA,-2.55,140.75
"11/29/1919",1919,"ITALY","S",NA,NA,NA,NA,NA,NA,NA,NA,41.6,14.2
"12/22/1919",1919,"GREECE-ALBANIA","IOANNINA,KONITSA",NA,NA,NA,NA,NA,NA,NA,NA,39.4,20.5
"1/3/1920",1920,"MEXICO","VERACRUZ",7.8,NA,648,167,NA,NA,NA,NA,19.26,-96.97
"1/29/1920",1920,"INDONESIA","N. MOLUCCAS ISLANDS",NA,NA,NA,NA,NA,NA,NA,NA,0.87,122.92
"2/2/1920",1920,"PAPUA NEW GUINEA","NEW BRITAIN",7.7,NA,NA,NA,NA,NA,NA,NA,-6.5,150
"2/20/1920",1920,"GEORGIA","CAUCASUS",6.2,NA,NA,NA,NA,NA,NA,NA,42,44.1
"6/5/1920",1920,"TAIWAN","",8,NA,5,20,NA,NA,NA,273,23.5,122.7
"8/20/1920",1920,"CHILE","OFF COAST CENTRAL",7,NA,NA,NA,NA,NA,NA,NA,-38,-73.5
"9/7/1920",1920,"ITALY","CARRARA,GARFAGNANA",5.8,NA,1400,NA,NA,NA,NA,NA,44.3,10.3
"9/20/1920",1920,"NEW CALEDONIA","LOYALTY ISLANDS",7.8,NA,NA,NA,NA,NA,NA,NA,-19.919,168.53
"11/26/1920",1920,"ALBANIA","TEPELENE, DRAGOTI, PESHTANI, MARICAJ",6.2,NA,200,NA,NA,NA,NA,NA,40.2,20
"12/16/1920",1920,"CHINA","GANSU PROVINCE, SHANXI PROVINCE",8.3,NA,200000,NA,25,25000000,NA,NA,36.601,105.317
"12/17/1920",1920,"ARGENTINA","MENDOZA",6,NA,400,NA,NA,NA,NA,NA,-32.7,-68.4
"12/18/1920",1920,"ALBANIA","ELBASAN, PEQIN",5.6,NA,NA,NA,NA,NA,NA,NA,40.5,19.5
"1/13/1921",1921,"ITALY","N",NA,NA,NA,NA,NA,NA,NA,NA,44.3,11.9
"2/4/1921",1921,"GUATEMALA","",7.5,NA,NA,NA,NA,NA,NA,NA,15,-91
"4/30/1921",1921,"MEXICO","NEAR COAST OF JALISCO",7.7,NA,NA,NA,NA,NA,NA,NA,19.7,-104.3
"5/14/1921",1921,"INDONESIA","SANGKULIRANG,RENDING,KARIORANG,SEKURAN",6.2,NA,NA,NA,NA,NA,NA,NA,0.7,117.9
"8/4/1921",1921,"CHINA","LIAONING PROVINCE",NA,NA,NA,NA,NA,NA,NA,NA,40.13,124.38
"8/14/1921",1921,"ETHIOPIA","MESEWA (MASSAUA)",5.9,NA,NA,NA,NA,NA,NA,NA,15.6,39.6
"9/11/1921",1921,"INDONESIA","S OF JAVA",7.5,NA,NA,NA,NA,NA,NA,NA,-11,111
"9/16/1921",1921,"CENTRAL AFRICAN REPUBLIC","NOLA",4.8,NA,NA,NA,NA,NA,NA,NA,3.8,16.3
"9/24/1921",1921,"ITALY","CENTRAL",NA,NA,NA,NA,NA,NA,NA,NA,43.2,13.2
"10/10/1921",1921,"INDONESIA","NEW GUINEA",NA,NA,NA,NA,NA,NA,NA,NA,-2.3,138.8
"11/7/1921",1921,"PHILIPPINES","E MINDANAO",NA,NA,NA,NA,NA,NA,NA,NA,7,126
"11/11/1921",1921,"PHILIPPINES","MINDANAO",7.5,NA,NA,NA,NA,NA,NA,NA,8,127
"11/15/1921",1921,"AFGHANISTAN","HINDU KUSH",7.8,NA,NA,NA,NA,NA,NA,NA,36.5,70.5
"12/1/1921",1921,"ITALY","CENTRAL",NA,NA,NA,NA,NA,NA,NA,NA,42.7,12
"12/18/1921",1921,"PERU","",7.6,NA,NA,NA,NA,NA,NA,NA,-2.5,-71
"1/6/1922",1922,"PERU","",7.2,NA,NA,NA,NA,NA,NA,NA,-16.5,-73
"1/16/1922",1922,"COLOMBIA","CAQUETA, PUTUMAYO",7.6,NA,NA,NA,NA,NA,NA,NA,2.5,-71
"1/17/1922",1922,"PERU","",7.6,NA,NA,NA,NA,NA,NA,NA,-2.5,-71
"1/19/1922",1922,"PAPUA NEW GUINEA","BISMARCK SEA",7.5,NA,NA,NA,NA,NA,NA,NA,-7,143
"1/27/1922",1922,"PHILIPPINES","CEBU I",NA,NA,NA,NA,NA,NA,NA,NA,10.2,123.5
"1/31/1922",1922,"CALIFORNIA","NORTHERN",7.6,NA,NA,NA,NA,NA,NA,NA,41,-125.5
"2/16/1922",1922,"NICARAGUA","",6.4,NA,NA,NA,NA,NA,NA,NA,11.7,-70.85
"2/22/1922",1922,"INDONESIA","BANDA",NA,NA,NA,NA,NA,NA,NA,NA,-3.3,128.9
"2/27/1922",1922,"PHILIPPINES","CEBU ISLAND, MACTAN ISLAND",6.3,NA,5,NA,NA,NA,NA,NA,10.2,124.1
"3/1/1922",1922,"PHILIPPINES","SIATON,ZAMBOANGUITA",6,NA,NA,NA,NA,NA,NA,NA,9,123.25
"3/24/1922",1922,"BALKANS NW","SERBIA",6,NA,NA,NA,NA,NA,NA,NA,44.4,20.4
"4/10/1922",1922,"SW. SUMATRA","",NA,NA,NA,NA,NA,NA,NA,NA,-1,100.35
"5/27/1922",1922,"ITALY","N",NA,NA,NA,NA,NA,NA,NA,NA,45.2,12.7
"7/8/1922",1922,"LHOKNGA, ACEH","",NA,NA,NA,NA,NA,NA,NA,NA,5.5,95.2
"8/25/1922",1922,"ALGERIA","BORDJ ABOU EL HASEN, DAHRA",5.1,NA,NA,NA,NA,NA,NA,NA,36.3,1.3
"9/1/1922",1922,"TAIWAN","",7.6,NA,5,7,NA,NA,NA,139,24.5,122
"10/11/1922",1922,"PERU","CARAVELI",7.4,NA,NA,NA,NA,NA,NA,NA,-16,-72.5
"10/24/1922",1922,"RUSSIA","KURIL ISLANDS",7.5,NA,NA,NA,NA,NA,NA,NA,47,151.8
"11/7/1922",1922,"CHILE","NORTHERN",NA,NA,NA,NA,NA,NA,NA,NA,-28,-72
"11/11/1922",1922,"CHILE","ATACAMA",8.7,NA,700,NA,NA,NA,NA,NA,-28.553,-70.755
"12/6/1922",1922,"AFGHANISTAN","HINDU KUSH",7.5,NA,NA,NA,NA,NA,NA,NA,36.5,70.5
"12/7/1922",1922,"JAPAN","KYUSHU",NA,NA,NA,NA,NA,NA,NA,NA,32.7,130.3
"12/25/1922",1922,"SE. NEW ZEALAND","",6.3,NA,NA,NA,NA,NA,NA,NA,-43,173
"1/22/1923",1923,"CALIFORNIA","NORTHERN",7.2,NA,NA,NA,NA,NA,NA,NA,40.8,-124.5
"2/3/1923",1923,"RUSSIA","KAMCHATKA",8.3,NA,3,NA,1.5,1500000,NA,NA,54,161
"2/4/1923",1923,"IRAN","BODZHNURD",5.5,NA,NA,NA,NA,NA,NA,NA,37.6,57.3
"2/24/1923",1923,"ECUADOR","",6.8,NA,NA,NA,NA,NA,NA,NA,-0.4,-78.3
"2/24/1923",1923,"RUSSIA","KAMCHATKA PENINSULA",7.7,NA,NA,NA,NA,NA,NA,NA,55,162.4
"3/2/1923",1923,"PHILIPPINES","MINDANAO ISLAND",7.2,NA,NA,NA,NA,NA,NA,NA,6.5,124
"3/15/1923",1923,"BALKANS NW","CROATIA",NA,NA,NA,NA,NA,NA,NA,NA,43.2,17.1
"3/24/1923",1923,"CHINA","SICHUAN PROVINCE",7.3,NA,4800,NA,NA,NA,NA,NA,31.5,101
"4/13/1923",1923,"RUSSIA","NEAR KAMCHATKA",7.2,NA,18,NA,NA,NA,NA,NA,56.5,162.5
"5/4/1923",1923,"CHILE","VALLENAR",7,NA,NA,NA,NA,NA,NA,NA,-28.75,-71.75
"5/9/1923",1923,"ITALY","CENTRAL",NA,NA,NA,NA,NA,NA,NA,NA,43.7,12
"5/15/1923",1923,"INDONESIA","JAVA",NA,NA,NA,NA,NA,NA,NA,NA,-7.7,109.2
"5/25/1923",1923,"IRAN","TURBAT-HAKLARI",5.7,NA,NA,NA,NA,NA,NA,NA,35.2,59.2
"6/1/1923",1923,"KASHIMA, JAPAN","",NA,NA,NA,NA,NA,NA,NA,NA,35.4,141.8
"7/18/1923",1923,"PHILIPPINES","BUTUAN, CAMIGUIN ISLAND",5.5,NA,NA,NA,NA,NA,NA,NA,9.3,125
"8/12/1923",1923,"CHILE","NORTHERN",NA,NA,NA,NA,NA,NA,NA,NA,-18.5,-70.3
"9/1/1923",1923,"JAPAN","TOKYO, YOKOHAMA",7.9,43476,142807,47000,600,600000000,NA,695000,35.1,139.5
"9/2/1923",1923,"JAPAN","NEAR S COAST HONSHU",7.7,NA,NA,NA,NA,NA,NA,NA,34.9,140.2
"9/17/1923",1923,"IRAN","QALEH JAQ KMEN",6.4,NA,157,NA,NA,NA,NA,NA,37.2,57.7
"9/22/1923",1923,"IRAN","SIRJAN",6.9,NA,290,NA,NA,NA,NA,NA,29.2,56.9
"10/7/1923",1923,"INDONESIA","DJAILOLO GILOLO",7.5,NA,NA,NA,NA,NA,NA,NA,-1.75,128.75
"11/2/1923",1923,"PAPUA NEW GUINEA","BISMARCK ARCHIPELAGO",7.2,NA,NA,NA,NA,NA,NA,NA,-4.5,151.5
"11/4/1923",1923,"PAPUA NEW GUINEA","BISMARCK ARCHIPELAGO",7.2,NA,NA,NA,NA,NA,NA,NA,-5,152
"12/14/1923",1923,"COLOMBIA","IPIALES",5.3,NA,NA,NA,NA,NA,NA,NA,1,-77.5
"12/15/1923",1923,"ITALY","S",NA,NA,NA,NA,NA,NA,NA,NA,41.7,13.5
"12/22/1923",1923,"COLOMBIA","GACHALA,GACHETA,UBALA,MEDINA",NA,NA,NA,NA,NA,NA,NA,NA,5.2,-73.2
"1/15/1924",1924,"JAPAN","SAGAMI",NA,NA,NA,NA,NA,NA,NA,NA,35.5,139.5
"3/3/1924",1924,"ECUADOR","",6.9,NA,NA,NA,NA,NA,NA,NA,-1.6,-78.6
"3/15/1924",1924,"RUSSIA","SAKHALIN ISLAND",6.8,NA,NA,NA,NA,NA,NA,NA,49.179,142.436
"3/16/1924",1924,"ALGERIA","BATNA",5.6,NA,NA,NA,NA,NA,NA,NA,35.1,5.2
"4/14/1924",1924,"PHILIPPINES","E MINDANAO",8.3,NA,NA,NA,NA,NA,NA,NA,6.5,126.5
"5/6/1924",1924,"PHILIPPINES","AGNO",6.5,NA,NA,NA,NA,NA,NA,NA,16,118
"5/13/1924",1924,"TURKEY","ERZURUM",5.3,NA,50,NA,NA,NA,NA,NA,39.7,42.8
"6/26/1924",1924,"AUSTRALIA","MACQUARIE ISLAND",7.8,NA,NA,NA,NA,NA,NA,NA,-56,157.5
"6/30/1924",1924,"RUSSIA","KURIL ISLANDS",7.6,NA,NA,NA,NA,NA,NA,NA,44.737,147.416
"7/3/1924",1924,"CHINA","XINJIANG",7.3,NA,100,NA,NA,NA,NA,NA,36.8,83.8
"7/24/1924",1924,"AUSTRALIA","MACQUARIE ISLAND",7.5,NA,NA,NA,NA,NA,NA,NA,-49.5,159
"8/28/1924",1924,"ICELAND","REYKJAVIK",NA,NA,NA,NA,NA,NA,NA,NA,64.15,-21.95
"8/30/1924",1924,"PHILIPPINES","MINDANAO",7.3,NA,NA,NA,NA,NA,NA,NA,8.5,126.5
"9/13/1924",1924,"TURKEY","ERZURUM",6.8,NA,60,NA,NA,NA,NA,380,40,42
"10/24/1924",1924,"ITALY","CENTRAL",NA,NA,NA,NA,NA,NA,NA,NA,43.8,13.2
"11/12/1924",1924,"INDONESIA","JAVA",NA,NA,NA,NA,NA,NA,NA,NA,-7.3,109.8
"11/28/1924",1924,"ITALY","CENTRAL",NA,NA,NA,NA,NA,NA,NA,NA,42.5,12.7
"12/2/1924",1924,"INDONESIA","JAVA",NA,NA,NA,NA,NA,NA,NA,NA,-7.3,109.9
"1/8/1925",1925,"INDONESIA","BANDA SEA",NA,NA,NA,NA,NA,NA,NA,NA,-8,115
"1/9/1925",1925,"TURKEY","ARDAHAN",5.8,NA,200,NA,NA,NA,NA,NA,41.2,42.8
"2/23/1925",1925,"ALASKA","GULF OF ALASKA",6.8,NA,NA,NA,NA,NA,NA,NA,60,-146
"3/1/1925",1925,"ITALY","N",NA,NA,NA,NA,NA,NA,NA,NA,46.1,12.2
"3/16/1925",1925,"CHINA","YUNNAN PROVINCE",7,NA,5000,NA,NA,NA,NA,NA,25.7,100.4
"3/20/1925",1925,"ITALY","CENTRAL",NA,NA,NA,NA,NA,NA,NA,NA,43.2,10.9
"3/22/1925",1925,"VANUATU ISLANDS","",7.6,NA,NA,NA,NA,NA,NA,NA,-18.5,168.5
"5/5/1925",1925,"W. LUZON ISLAND, PHILIPPINES","",6.8,NA,17,NA,NA,NA,NA,NA,9.3,122.7
"5/7/1925",1925,"ITALY","CENTRAL",NA,NA,NA,NA,NA,NA,NA,NA,43.2,10.8
"5/15/1925",1925,"CHILE","NORTHERN",7.1,NA,NA,NA,NA,NA,NA,NA,-26,-71.5
"5/23/1925",1925,"JAPAN","HONSHU",6.8,NA,395,NA,NA,NA,NA,3333,35.75,134.75
"5/25/1925",1925,"PHILIPPINES","LUZON",6.3,NA,NA,NA,NA,NA,NA,NA,12.2,122.1
"6/28/1925",1925,"MONTANA","CLARKSTON VALLEY",6.7,NA,NA,NA,0.15,150000,NA,NA,46.4,-111.24
"6/29/1925",1925,"CALIFORNIA","SANTA BARBARA",6.8,NA,13,NA,8,8000000,NA,NA,34.418,-120.196
"7/19/1925",1925,"ITALY","S",NA,NA,NA,NA,NA,NA,NA,NA,40.2,16.1
