Country_Name,Country_Code,Indicator_Name,2017,2018,2019,2020
Denmark,DNK,"GDP per capita, PPP (constant 2017 international $)",55356.68078,56281.28887,57678.09889,55938.21281
Dominican Republic,DOM,"GDP per capita, PPP (constant 2017 international $)",16735.36442,17711.79553,18412.89999,17003.01302
Algeria,DZA,"GDP per capita, PPP (constant 2017 international $)",11737.41616,11642.19835,11510.55709,10681.6793
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (constant 2017 international $)",12986.3291,13726.16124,14415.51916,14441.04673
Early-demographic dividend,EAR,"GDP per capita, PPP (constant 2017 international $)",9159.47676,9412.410736,9534.210635,8964.690917
East Asia & Pacific,EAS,"GDP per capita, PPP (constant 2017 international $)",16337.58304,17056.62665,17705.04677,17682.22053
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (constant 2017 international $)",21100.9306,21673.72681,22085.86371,21613.6564
Europe & Central Asia,ECS,"GDP per capita, PPP (constant 2017 international $)",33998.14613,34684.50279,35200.21133,33278.39844
Ecuador,ECU,"GDP per capita, PPP (constant 2017 international $)",11617.91222,11561.74785,11370.6033,10329.19875
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (constant 2017 international $)",11014.48648,11366.33552,11763.25328,11951.44753
Euro area,EMU,"GDP per capita, PPP (constant 2017 international $)",45589.71215,46349.21517,46913.55002,43681.03717
Eritrea,ERI,"GDP per capita, PPP (constant 2017 international $)",,,,
Spain,ESP,"GDP per capita, PPP (constant 2017 international $)",39528.92539,40312.54759,40805.91697,36215.44759
Estonia,EST,"GDP per capita, PPP (constant 2017 international $)",33856.18111,35208.02396,36830.07479,35638.42135
Ethiopia,ETH,"GDP per capita, PPP (constant 2017 international $)",2021.562908,2103.515858,2221.404665,2296.827352
European Union,EUU,"GDP per capita, PPP (constant 2017 international $)",42656.11762,43555.48671,44275.57164,41504.15915
Fragile and conflict affected situations,FCS,"GDP per capita, PPP (constant 2017 international $)",,,,
Finland,FIN,"GDP per capita, PPP (constant 2017 international $)",47570.13358,48130.29239,48689.23415,47260.80046
Fiji,FJI,"GDP per capita, PPP (constant 2017 international $)",13429.30062,13846.15884,13684.36082,10997.47349
France,FRA,"GDP per capita, PPP (constant 2017 international $)",44577.06457,45251.90541,45834.16691,42025.61737
Faroe Islands,FRO,"GDP per capita, PPP (constant 2017 international $)",,,,
"Micronesia, Fed. Sts.",FSM,"GDP per capita, PPP (constant 2017 international $)",3490.130487,3460.909048,3466.413293,
Gabon,GAB,"GDP per capita, PPP (constant 2017 international $)",15006.84404,14744.43433,14950.07708,14399.86881
United Kingdom,GBR,"GDP per capita, PPP (constant 2017 international $)",45744.71049,46037.90054,46406.46175,41627.12927
Georgia,GEO,"GDP per capita, PPP (constant 2017 international $)",13589.70739,14253.40899,14989.25816,14089.30233
Ghana,GHA,"GDP per capita, PPP (constant 2017 international $)",4983.688856,5177.883989,5396.866088,5304.983525
Gibraltar,GIB,"GDP per capita, PPP (constant 2017 international $)",,,,
Guinea,GIN,"GDP per capita, PPP (constant 2017 international $)",2417.803795,2499.707266,2567.033987,2670.823355
"Gambia, The",GMB,"GDP per capita, PPP (constant 2017 international $)",2072.646833,2158.077558,2222.87959,2159.441909
Guinea-Bissau,GNB,"GDP per capita, PPP (constant 2017 international $)",1925.237737,1901.931739,1939.28951,1847.465824
Equatorial Guinea,GNQ,"GDP per capita, PPP (constant 2017 international $)",22550.95816,20386.01387,18502.56396,17007.62478
Greece,GRC,"GDP per capita, PPP (constant 2017 international $)",28645.04362,29150.69449,29723.22196,27287.0834
Grenada,GRD,"GDP per capita, PPP (constant 2017 international $)",16217.49985,16801.95524,17050.29304,15065.87195
Greenland,GRL,"GDP per capita, PPP (constant 2017 international $)",,,,
