Country_Name,Country_Code,Indicator_Name,2017,2018,2019,2020
United States,USA,"GDP per capita, PPP (constant 2017 international $)",60109.65573,61585.75604,62630.87328,60235.72849
Uzbekistan,UZB,"GDP per capita, PPP (constant 2017 international $)",6518.804687,6755.480974,7014.324699,6994.169412
St. Vincent and the Grenadines,VCT,"GDP per capita, PPP (constant 2017 international $)",12245.12634,12466.41614,12484.72871,12105.38136
"Venezuela, RB",VEN,"GDP per capita, PPP (constant 2017 international $)",,,,
British Virgin Islands,VGB,"GDP per capita, PPP (constant 2017 international $)",,,,
Virgin Islands (U.S.),VIR,"GDP per capita, PPP (constant 2017 international $)",,,,
Vietnam,VNM,"GDP per capita, PPP (constant 2017 international $)",7155.443187,7585.943155,8041.178384,8200.331867
Vanuatu,VUT,"GDP per capita, PPP (constant 2017 international $)",3081.835198,3093.461547,3117.678832,2762.791388
World,WLD,"GDP per capita, PPP (constant 2017 international $)",16242.88461,16636.84801,16915.28785,16194.04031
Samoa,WSM,"GDP per capita, PPP (constant 2017 international $)",6480.845407,6322.208997,6516.520678,6295.731841
Kosovo,XKX,"GDP per capita, PPP (constant 2017 international $)",10530.48166,10895.044,11485.92401,10776.09525
"Yemen, Rep.",YEM,"GDP per capita, PPP (constant 2017 international $)",,,,
South Africa,ZAF,"GDP per capita, PPP (constant 2017 international $)",12701.34893,12627.92858,12481.81351,11466.18967
Zambia,ZMB,"GDP per capita, PPP (constant 2017 international $)",3485.02178,3521.542063,3470.448024,3270.035112
Zimbabwe,ZWE,"GDP per capita, PPP (constant 2017 international $)",3274.611198,3341.665418,3027.656038,2744.690758
