"","Destination_continet","Destination_country","Student_Num","Source_country"
"1","North America","United States",2215,"Ethiopia"
"2","Asia","India",870,"Ethiopia"
"3","Asia","Turkey",506,"Ethiopia"
"4","Asia","Saudi Arabia",431,"Ethiopia"
"5","Europe","Italy",375,"Ethiopia"
"6","Europe","Germany",347,"Ethiopia"
"7","Asia","Korea, Rep.",251,"Ethiopia"
"8","Africa","South Africa",234,"Ethiopia"
"9","North America","Canada",216,"Ethiopia"
"10","Europe","Sweden",206,"Ethiopia"
"11","Oceania","Australia",200,"Ethiopia"
"12","Europe","Norway",190,"Ethiopia"
"13","Europe","France",184,"Ethiopia"
"14","Europe","Finland",178,"Ethiopia"
"15","Europe","United Kingdom",155,"Ethiopia"
"16","Asia","Malaysia",147,"Ethiopia"
"17","Africa","Kenya",144,"Ethiopia"
"18","Asia","Japan",90,"Ethiopia"
"19","Europe","Netherlands",77,"Ethiopia"
"20","Europe","Belgium",74,"Ethiopia"
"21","Europe","Greece",54,"Ethiopia"
"22","Europe","Hungary",54,"Ethiopia"
"23","Europe","Austria",47,"Ethiopia"
"24","Europe","Switzerland",47,"Ethiopia"
"25","Europe","Poland",47,"Ethiopia"
"26","Europe","Denmark",41,"Ethiopia"
"27","Europe","Czechia",38,"Ethiopia"
"28","Europe","Spain",24,"Ethiopia"
"29","Asia","Iran",23,"Ethiopia"
"30","Asia","Hong Kong",22,"Ethiopia"
"31","Africa","Mauritius",22,"Ethiopia"
"32","Asia","Qatar",21,"Ethiopia"
"33","Africa","Rwanda",16,"Ethiopia"
"34","Europe","Portugal",14,"Ethiopia"
"35","Europe","Ukraine",14,"Ethiopia"
"36","Europe","Ireland",13,"Ethiopia"
"37","Oceania","New Zealand",11,"Ethiopia"
"38","Africa","Namibia",7,"Ethiopia"
"39","Europe","Estonia",6,"Ethiopia"
"40","Africa","Ghana",6,"Ethiopia"
"41","Europe","Luxembourg",6,"Ethiopia"
