Country,Navy,Commissioned,In reserve,Undergoing trials,Under construction,Ordered,Planned
Australia, Royal Australian Navy,2,0,0,0,0,0
Brazil, Brazilian Navy,1[2],0,0,0,0,1
China, People's Liberation Army Navy,3[3][4],0,1[5],2[6][7][8],0,6[5]
Egypt, Egyptian Navy,2[9],0,0,0,0,0
France, French Navy,4[10],0,0,0,0,1
India, Indian Navy,1[11],0,1[12],0,0,3
Italy, Italian Navy,2[13],0,1[14],0,0,3
Japan, Japan Maritime Self-Defense Force,4,0,0,0,0,0
Russia, Russian Navy,1[15],0,0,2,0,1
Singapore, Republic of Singapore Navy,0,0,0,0,0,1
South Korea, Republic of Korea Navy,2,0,0,0,0,1[16][17]
Spain, Spanish Navy,1,0,0,0,0,0
Thailand, Royal Thai Navy,1[18],0,0,0,0,0
Turkey, Turkish Naval Forces,0,0,1,0,0,3[19]
United Kingdom, Royal Navy,2[20][21][22],0,0,0[23],0,0
United States, United States Navy,20,2,1,2[24],2,13
