ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,date,validOn,validTo,POINT_X,POINT_Y
Ethiopia,ET,Tigray,ET01,South Eastern,ET0106,Adigudom,ET010607,,<Null>,,2019/08/19,2020/10/08,,39.50334660200,13.24433995900
Ethiopia,ET,SNNP,ET07,Kembata Tibaro,ET0703,Adilo,ET070309,,<Null>,,2019/08/19,2020/10/08,,37.97728308400,7.23900159200
Ethiopia,ET,Amhara,ET03,South Gondar,ET0302,Adisezemen town,ET030299,,<Null>,,2019/08/19,2020/10/08,,37.77777056300,12.12314021200
Ethiopia,ET,SNNP,ET07,Kefa,ET0709,Adiyio,ET070905,,<Null>,,2019/08/19,2020/10/08,,36.55247894200,7.26206090900
Ethiopia,ET,Oromia,ET04,Guji,ET0414,Adola,ET041403,,<Null>,,2019/08/19,2020/10/08,,39.10235461900,5.91284533100
Ethiopia,ET,Oromia,ET04,Guji,ET0414,Adola town,ET041492,,<Null>,,2019/08/19,2020/10/08,,38.98363430400,5.88324908900
Ethiopia,ET,Tigray,ET01,Central,ET0102,Adwa,ET010204,,Wereda Adwa,,2019/08/19,2020/10/08,,39.00147374300,14.17517981500
Ethiopia,ET,Tigray,ET01,Central,ET0102,Adwa town,ET010212,,<Null>,,2019/08/19,2020/10/08,,38.88374905200,14.16665118500
Ethiopia,ET,Afar,ET02,Awsi /Zone 1,ET0201,Afambo,ET020104,,<Null>,,2019/08/19,2020/10/08,,41.68442472600,11.30075339900
Ethiopia,ET,Somali,ET05,Siti,ET0501,Afdem,ET050105,,<Null>,,2019/08/19,2020/10/08,,41.04879216600,10.04413202100
Ethiopia,ET,Afar,ET02,Kilbati /Zone2,ET0202,Afdera,ET020207,,<Null>,,2019/08/19,2020/10/08,,40.71579908200,13.54665367500
Ethiopia,ET,Oromia,ET04,Guji,ET0414,Aga Wayu,ET041482,,<Null>,,2019/08/19,2020/10/08,,38.78377908400,5.48853292900
Ethiopia,ET,Oromia,ET04,Bale,ET0411,Agarfa,ET041104,,<Null>,,2019/08/19,2020/10/08,,39.78439601100,7.31926741300
Ethiopia,ET,Oromia,ET04,Jimma,ET0404,Agaro town,ET040417,,<Null>,,2019/08/19,2020/10/08,,36.58452977900,7.85536515200
Ethiopia,ET,Tigray,ET01,Eastern,ET0103,Agulae,ET010316,,Tsira Wenberta,,2019/08/19,2020/10/08,,39.67749485100,13.67741500800
Ethiopia,ET,Tigray,ET01,Central,ET0102,Aheferom,ET010202,,<Null>,,2019/08/19,2020/10/08,,39.07818278000,14.32121377300
Ethiopia,ET,Tigray,ET01,Central,ET0102,Ahsea,ET010215,,<Null>,,2019/08/19,2020/10/08,,38.94029126500,14.40126287300
Ethiopia,ET,Oromia,ET04,Finfine Special,ET0420,Akaki,ET042012,,<Null>,,2019/08/19,2020/10/08,,38.83411940400,8.75053227400
Ethiopia,ET,Addis Ababa,ET14,Region 14,ET1401,Akaki - Kalit,ET140101,,<Null>,,2019/08/19,2020/10/08,,38.80463556100,8.89720936300
Ethiopia,ET,Gambela,ET12,Nuwer,ET1201,Akobo,ET120101,,<Null>,,2019/08/19,2020/10/08,,33.27162452700,7.96437809300
Ethiopia,ET,Tigray,ET01,Southern,ET0104,Alamata town,ET010411,,<Null>,,2019/08/19,2020/10/08,,39.56392346500,12.41762429400
Ethiopia,ET,Amhara,ET03,South Wello,ET0304,Albuko,ET030408,,<Null>,,2019/08/19,2020/10/08,,39.61299790100,10.81427218400
Ethiopia,ET,Oromia,ET04,Ilu Aba Bora,ET0403,Ale,ET040311,,<Null>,,2019/08/19,2020/10/08,,35.51822734100,8.12167211200
Ethiopia,ET,Oromia,ET04,North Shewa (OR),ET0406,Aleltu,ET040617,,<Null>,,2019/08/19,2020/10/08,,39.11888906200,9.20747667700
Ethiopia,ET,Amhara,ET03,North Shewa (AM),ET0305,Aleme Ketma,ET030599,,<Null>,,2019/08/19,2020/10/08,,38.99751477100,10.05735493400
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Aleta Chuko,ET160016,,<Null>,,2019/08/19,2020/10/08,,38.30272814400,6.56567470100
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Aleta Wendo,ET160005,,<Null>,,2019/08/19,2020/10/08,,38.44149234700,6.60230442400
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Aleta Wondo town,ET160021,,<Null>,,2019/08/19,2020/10/08,,38.41986963300,6.60585814000
Ethiopia,ET,Amhara,ET03,Central Gondar,ET0311,Alfa,ET031115,,<Null>,,2019/08/19,2020/10/08,,36.74158911500,11.93612083900
Ethiopia,ET,Oromia,ET04,Ilu Aba Bora,ET0403,Alge Sachi,ET040302,,<Null>,,2019/08/19,2020/10/08,,35.78013665700,8.59430862200
Ethiopia,ET,SNNP,ET07,Siltie,ET0720,Alicho Woriro,ET072001,,<Null>,,2019/08/19,2020/10/08,,38.17949701800,7.99393512900
Ethiopia,ET,SNNP,ET07,Alle,ET0712,Alle Special,ET071205,,<Null>,,2019/08/19,2020/10/08,,37.15991236200,5.57341811400
Ethiopia,ET,SNNP,ET07,Amaro,ET0721,Amaro,ET072102,,<Null>,,2019/08/19,2020/10/08,,37.81518282300,5.78761997700
Ethiopia,ET,Amhara,ET03,South Wello,ET0304,Ambasel,ET030404,,<Null>,,2019/08/19,2020/10/08,,39.49509657000,11.50201806800
Ethiopia,ET,Oromia,ET04,West Shewa,ET0405,Ambo town,ET040515,,<Null>,,2019/08/19,2020/10/08,,37.85345656900,8.97659517900
Ethiopia,ET,Oromia,ET04,West Shewa,ET0405,Ambo Zuria,ET040503,,<Null>,,2019/08/19,2020/10/08,,37.85736765900,9.04164626900
Ethiopia,ET,SNNP,ET07,Hadiya,ET0702,Ameka,ET070215,,<Null>,,2019/08/19,2020/10/08,,37.78795537600,7.78930440500
Ethiopia,ET,Oromia,ET04,South West Shewa,ET0413,Ameya,ET041301,,<Null>,,2019/08/19,2020/10/08,,37.69502444400,8.55779927900
Ethiopia,ET,Afar,ET02,Gabi /Zone 3,ET0203,Amibara,ET020301,,<Null>,,2019/08/19,2020/10/08,,40.21341137000,9.19911502300
Ethiopia,ET,Oromia,ET04,Arsi,ET0408,Amigna,ET040810,,<Null>,,2019/08/19,2020/10/08,,40.18714653500,7.95802690400
Ethiopia,ET,Harari,ET13,Harari,ET1301,Amir Nur,ET130107,,<Null>,,2019/08/19,2020/10/08,,42.17588036000,9.30816835000
Ethiopia,ET,Oromia,ET04,Horo Gudru Wellega,ET0419,Amuru,ET041909,,<Null>,,2019/08/19,2020/10/08,,37.00786380200,10.12098634100
Ethiopia,ET,Oromia,ET04,Guji,ET0414,Ana Sora,ET041411,,<Null>,,2019/08/19,2020/10/08,,38.78242152000,6.17854917600
Ethiopia,ET,SNNP,ET07,Hadiya,ET0702,Analemmo,ET070208,,<Null>,,2019/08/19,2020/10/08,,37.98524488400,7.63669115300
Ethiopia,ET,Oromia,ET04,West Hararge,ET0409,Anchar,ET040906,,<Null>,,2019/08/19,2020/10/08,,40.20201351700,8.71351160600
Ethiopia,ET,SNNP,ET07,Sheka,ET0708,Anderacha,ET070801,,<Null>,,2019/08/19,2020/10/08,,35.52378218800,7.72613940800
Ethiopia,ET,Amhara,ET03,East Gojam,ET0306,Aneded,ET030617,,<Null>,,2019/08/19,2020/10/08,,37.88300730700,10.18205901600
Ethiopia,ET,Oromia,ET04,Kelem Wellega,ET0418,Anfilo,ET041807,,<Null>,,2019/08/19,2020/10/08,,34.52627839100,8.60348600300
Ethiopia,ET,SNNP,ET07,Kembata Tibaro,ET0703,Angacha,ET070302,,<Null>,,2019/08/19,2020/10/08,,37.86122423500,7.35944207100
Ethiopia,ET,Amhara,ET03,North Shewa (AM),ET0305,Angolelana Tera,ET030513,,<Null>,,2019/08/19,2020/10/08,,39.54491776000,9.48798706900
Ethiopia,ET,Amhara,ET03,North Wello,ET0303,Angot,ET030313,,<Null>,,2019/08/19,2020/10/08,,39.03814922600,11.82182348100
Ethiopia,ET,Amhara,ET03,Awi,ET0309,Ankasha,ET030903,,<Null>,,2019/08/19,2020/10/08,,36.75180200400,10.68101074500
Ethiopia,ET,Amhara,ET03,North Shewa (AM),ET0305,Ankober,ET030515,,<Null>,,2019/08/19,2020/10/08,,39.77663303400,9.55813293800
Ethiopia,ET,Amhara,ET03,North Shewa (AM),ET0305,Antsokiya,ET030507,,<Null>,,2019/08/19,2020/10/08,,39.80354757600,10.60168852200
Ethiopia,ET,Addis Ababa,ET14,Region 14,ET1401,Arada,ET140109,,<Null>,,2019/08/19,2020/10/08,,38.75683717900,9.03655062400
Ethiopia,ET,Somali,ET05,Jarar,ET0503,Ararso,ET050395,,<Null>,,2019/08/19,2020/10/08,,43.37844853300,8.70026713000
Ethiopia,ET,SNNP,ET07,Gamo,ET0710,Arba Minch town,ET071021,,<Null>,,2019/08/19,2020/10/08,,37.56442460000,6.05068060200
Ethiopia,ET,SNNP,ET07,Gamo,ET0710,Arba Minch Zuria,ET071015,,<Null>,,2019/08/19,2020/10/08,,37.55219428400,5.91335490400
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Arbegona,ET160003,,<Null>,,2019/08/19,2020/10/08,,38.73275491700,6.65038942200
Ethiopia,ET,SNNP,ET07,Wolayita,ET0706,Areka town,ET070614,,<Null>,,2019/08/19,2020/10/08,,37.70624974700,7.06637125000
Ethiopia,ET,Oromia,ET04,Borena,ET0412,Arero,ET041208,,<Null>,,2019/08/19,2020/10/08,,38.86673973900,4.84768650900
Ethiopia,ET,Amhara,ET03,South Wello,ET0304,Argoba,ET030401,,<Null>,,2019/08/19,2020/10/08,,39.96998714700,10.94147905000
Ethiopia,ET,Afar,ET02,Gabi /Zone 3,ET0203,Arguba,ET020306,,<Null>,,2019/08/19,2020/10/08,,39.90528411900,9.45498905200
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Aroresa,ET160009,,<Null>,,2019/08/19,2020/10/08,,39.01184630900,6.35535082400
Ethiopia,ET,Oromia,ET04,West Arsi,ET0417,Arsi Negele,ET041703,,<Null>,,2019/08/19,2020/10/08,,38.65281651600,7.45102907900
Ethiopia,ET,Oromia,ET04,West Arsi,ET0417,Arsi Negele town,ET041799,,<Null>,,2019/08/19,2020/10/08,,38.66756284800,7.33582722500
Ethiopia,ET,Amhara,ET03,Oromia,ET0310,Artuma Fursi,ET031004,,<Null>,,2019/08/19,2020/10/08,,40.01113657400,10.54487342500
Ethiopia,ET,Afar,ET02,Awsi /Zone 1,ET0201,Asayita,ET020103,,<Null>,,2019/08/19,2020/10/08,,41.35296873300,11.70880467500
Ethiopia,ET,Afar,ET02,Awsi /Zone 1,ET0201,Asayita town,ET020111,,<Null>,,2019/08/19,2020/10/08,,41.41609051400,11.61249788400
Ethiopia,ET,Oromia,ET04,Arsi,ET0408,Aseko,ET040802,,<Null>,,2019/08/19,2020/10/08,,40.06005655900,8.53108728600
