ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,date,validOn,validTo,POINT_X,POINT_Y
Ethiopia,ET,Oromia,ET04,West Guji,ET0415,Birbirsa Kojowa,ET041596,,<Null>,,2019/08/19,2020/10/08,,38.56969097000,5.73416431400
Ethiopia,ET,Oromia,ET04,West Arsi,ET0417,Bishan Guracha,ET041798,,<Null>,,2019/08/19,2020/10/08,,38.45563040200,7.13559554700
Ethiopia,ET,Oromia,ET04,East Shewa,ET0407,Bishoftu town,ET040709,,<Null>,,2019/08/19,2020/10/08,,38.97125059000,8.74898811900
Ethiopia,ET,SNNP,ET07,Kefa,ET0709,Bita,ET070910,,<Null>,,2019/08/19,2020/10/08,,35.67350150600,7.37204938900
Ethiopia,ET,Dire Dawa,ET15,Dire Dawa rural,ET1502,Biyoawale,ET150208,,<Null>,,2019/08/19,2020/10/08,,41.99968284600,9.57575733500
Ethiopia,ET,Tigray,ET01,Eastern,ET0103,Bizet,ET010310,,<Null>,,2019/08/19,2020/10/08,,39.28954906500,14.26912461900
Ethiopia,ET,Somali,ET05,Korahe,ET0505,Bodaley,ET050599,,<Null>,,2019/08/19,2020/10/08,,43.92812040500,7.02321811600
Ethiopia,ET,SNNP,ET07,Wolayita,ET0706,Boditi town,ET070615,,<Null>,,2019/08/19,2020/10/08,,37.86171415600,6.95294328100
Ethiopia,ET,Oromia,ET04,West Wellega,ET0401,Boji Chekorsa,ET040110,,<Null>,,2019/08/19,2020/10/08,,35.50582436500,9.28545616400
Ethiopia,ET,Oromia,ET04,West Wellega,ET0401,Boji Dirmeji,ET040106,,<Null>,,2019/08/19,2020/10/08,,35.63352431400,9.40116662400
Ethiopia,ET,Oromia,ET04,West Hararge,ET0409,Boke,ET040910,,<Null>,,2019/08/19,2020/10/08,,40.74787361700,8.61331697500
Ethiopia,ET,Somali,ET05,Doolo,ET0507,Bokh,ET050702,,<Null>,,2019/08/19,2020/10/08,,46.65093371700,7.64505434700
Ethiopia,ET,SNNP,ET07,South Omo,ET0707,Boko Dawula,ET070710,,<Null>,,2019/08/19,2020/10/08,,36.62753682100,5.77562451500
Ethiopia,ET,Somali,ET05,Liban,ET0509,Bokolmayo,ET050999,,<Null>,,2019/08/19,2020/10/08,,41.30106749300,4.41628891300
Ethiopia,ET,Addis Ababa,ET14,Region 14,ET1401,Bole,ET140104,,<Null>,,2019/08/19,2020/10/08,,38.83906631900,8.98027715400
Ethiopia,ET,SNNP,ET07,Wolayita,ET0706,Boloso Bombe,ET070608,,<Null>,,2019/08/19,2020/10/08,,37.55273881200,7.10783662000
Ethiopia,ET,SNNP,ET07,Wolayita,ET0706,Boloso Sore,ET070601,,<Null>,,2019/08/19,2020/10/08,,37.67294755500,7.09048974700
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Bona Zuria,ET160017,,<Null>,,2019/08/19,2020/10/08,,38.71180727600,6.50187931200
Ethiopia,ET,Oromia,ET04,East Wellega,ET0402,Boneya Boshe,ET040205,,<Null>,,2019/08/19,2020/10/08,,37.03853271600,8.91587174200
Ethiopia,ET,SNNP,ET07,Kefa,ET0709,Bonga town,ET070911,,<Null>,,2019/08/19,2020/10/08,,36.24459056500,7.26338901600
Ethiopia,ET,SNNP,ET07,Gamo,ET0710,Bonke,ET071014,,<Null>,,2019/08/19,2020/10/08,,37.33403269500,6.08135049700
Ethiopia,ET,Oromia,ET04,East Shewa,ET0407,Bora (OR),ET040710,,<Null>,,2019/08/19,2020/10/08,,38.93013817000,8.31652437200
Ethiopia,ET,Tigray,ET01,Southern,ET0104,Bora (TG),ET010402,,<Null>,,2019/08/19,2020/10/08,,39.34054681900,12.88255823400
Ethiopia,ET,Oromia,ET04,Guji,ET0414,Bore,ET041402,,<Null>,,2019/08/19,2020/10/08,,38.61850353400,6.36545956900
Ethiopia,ET,Oromia,ET04,Buno Bedele,ET0416,Borecha,ET041607,,<Null>,,2019/08/19,2020/10/08,,36.65196271300,8.30701396800
Ethiopia,ET,SNNP,ET07,Gamo,ET0710,Boreda,ET071004,,<Null>,,2019/08/19,2020/10/08,,37.65664339100,6.52935986900
Ethiopia,ET,Amhara,ET03,South Wello,ET0304,Borena /Debresina,ET030412,,<Null>,,2019/08/19,2020/10/08,,38.69601843200,10.74968688200
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Boricha,ET160010,,<Null>,,2019/08/19,2020/10/08,,38.33805864200,6.91915226600
Ethiopia,ET,Oromia,ET04,East Shewa,ET0407,Boset,ET040702,,<Null>,,2019/08/19,2020/10/08,,39.54088129300,8.63981167200
Ethiopia,ET,Oromia,ET04,Jimma,ET0404,Botor Tolay,ET040495,,<Null>,,2019/08/19,2020/10/08,,37.32663681200,8.28070027900
Ethiopia,ET,Amhara,ET03,North Wello,ET0303,Bugna,ET030301,,<Null>,,2019/08/19,2020/10/08,,38.71741250000,12.17137559800
Ethiopia,ET,SNNP,ET07,Guraghe,ET0701,Bui town,ET070117,,<Null>,,2019/08/19,2020/10/08,,38.55234075900,8.32241100000
Ethiopia,ET,SNNP,ET07,Gedeo,ET0705,Bule,ET070504,,<Null>,,2019/08/19,2020/10/08,,38.39391274100,6.28423704100
Ethiopia,ET,Oromia,ET04,West Guji,ET0415,Bule Hora,ET041501,,<Null>,,2019/08/19,2020/10/08,,38.31171941800,5.64857560400
Ethiopia,ET,Oromia,ET04,West Guji,ET0415,Bule Hora town,ET041587,,<Null>,,2019/08/19,2020/10/08,,38.23860596700,5.64524856600
Ethiopia,ET,Benishangul Gumz,ET06,Metekel,ET0602,Bulen,ET060207,,<Null>,,2019/08/19,2020/10/08,,35.95723346500,10.60827181700
Ethiopia,ET,SNNP,ET07,Gofa,ET0715,Bulike town,ET071508,,<Null>,,2019/08/19,2020/10/08,,36.81163792700,6.27562463900
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Bura,ET160024,,<Null>,,2019/08/19,2020/10/08,,38.85385419600,6.62664953900
Ethiopia,ET,Oromia,ET04,Finfine Special,ET0420,Burayu,ET042001,,<Null>,,2019/08/19,2020/10/08,,38.63965448900,9.05381708700
Ethiopia,ET,Amhara,ET03,West Gojam,ET0307,Bure (AM),ET030710,,<Null>,,2019/08/19,2020/10/08,,37.04860478700,10.54039104000
Ethiopia,ET,Oromia,ET04,Ilu Aba Bora,ET0403,Bure (OR),ET040312,,<Null>,,2019/08/19,2020/10/08,,35.12835294700,8.32826224800
Ethiopia,ET,Amhara,ET03,West Gojam,ET0307,Bure town,ET030798,,<Null>,,2019/08/19,2020/10/08,,37.06476306500,10.70576154700
Ethiopia,ET,SNNP,ET07,Burji,ET0722,Burji Special,ET072203,,<Null>,,2019/08/19,2020/10/08,,37.77680689000,5.48153816200
Ethiopia,ET,Somali,ET05,Jarar,ET0503,Burqod,ET050394,,<Null>,,2019/08/19,2020/10/08,,43.61669424900,7.60385099700
Ethiopia,ET,Oromia,ET04,West Hararge,ET0409,Burqua Dhintu,ET040998,,<Null>,,2019/08/19,2020/10/08,,41.14008118000,8.30621611600
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Bursa,ET160015,,<Null>,,2019/08/19,2020/10/08,,38.58982859700,6.62732347300
Ethiopia,ET,SNNP,ET07,Guraghe,ET0701,Butajira town,ET070115,,<Null>,,2019/08/19,2020/10/08,,38.38468446500,8.11942657900
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Chabe Gambeltu,ET160029,,<Null>,,2019/08/19,2020/10/08,,38.85505672600,6.42812521600
Ethiopia,ET,Amhara,ET03,Awi,ET0309,Chagni town,ET030999,,<Null>,,2019/08/19,2020/10/08,,36.50743994700,10.95776607900
Ethiopia,ET,Somali,ET05,Afder,ET0508,Charati,ET050802,,<Null>,,2019/08/19,2020/10/08,,41.67756186400,5.29813858200
Ethiopia,ET,SNNP,ET07,Guraghe,ET0701,Cheha,ET070110,,<Null>,,2019/08/19,2020/10/08,,37.71655497900,8.18564172500
Ethiopia,ET,SNNP,ET07,Gedeo,ET0705,Chelelektu town,ET070508,,<Null>,,2019/08/19,2020/10/08,,38.15406727400,6.00623821300
Ethiopia,ET,Oromia,ET04,West Shewa,ET0405,Cheliya,ET040505,,<Null>,,2019/08/19,2020/10/08,,37.45842726400,9.02348149400
Ethiopia,ET,SNNP,ET07,Kefa,ET0709,Chena,ET070909,,<Null>,,2019/08/19,2020/10/08,,35.82060144700,7.11020498100
Ethiopia,ET,SNNP,ET07,Gamo,ET0710,Chencha,ET071010,,<Null>,,2019/08/19,2020/10/08,,37.57768642300,6.24383884400
Ethiopia,ET,SNNP,ET07,Gamo,ET0710,Chencha Zuriya,ET071006,,<Null>,,2019/08/19,2020/10/08,,37.50915871300,6.22232652000
Ethiopia,ET,Tigray,ET01,Southern,ET0104,Chercher,ET010414,,Raya Chercher,,2019/08/19,2020/10/08,,39.75372908800,12.48401838700
Ethiopia,ET,SNNP,ET07,Kefa,ET0709,Cheta,ET070907,,<Null>,,2019/08/19,2020/10/08,,36.36719333800,6.91091092800
Ethiopia,ET,Afar,ET02,Awsi /Zone 1,ET0201,Chifra,ET020106,,<Null>,,2019/08/19,2020/10/08,,40.22717926300,11.58456454700
Ethiopia,ET,Tigray,ET01,Central,ET0102,Chila,ET010201,,<Null>,,2019/08/19,2020/10/08,,38.57416790300,14.30964152800
Ethiopia,ET,Amhara,ET03,Central Gondar,ET0311,Chilga 1,ET031106,,<Null>,,2019/08/19,2020/10/08,,37.04163282200,12.61813595000
Ethiopia,ET,Amhara,ET03,Central Gondar,ET0311,Chilga 2,ET031112,,<Null>,,2019/08/19,2020/10/08,,36.89230659700,12.45221240600
Ethiopia,ET,Oromia,ET04,East Hararge,ET0410,Chinaksen,ET041015,,<Null>,,2019/08/19,2020/10/08,,42.62361462800,9.60077149700
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Chire,ET160014,,<Null>,,2019/08/19,2020/10/08,,39.06043364900,6.49162443900
Ethiopia,ET,Oromia,ET04,West Hararge,ET0409,Chiro town,ET040905,,<Null>,,2019/08/19,2020/10/08,,40.86707570500,9.07896552800
Ethiopia,ET,Oromia,ET04,West Hararge,ET0409,Chiro Zuria,ET040913,,<Null>,,2019/08/19,2020/10/08,,40.73935177200,9.05730674000
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Chirone,ET160027,,<Null>,,2019/08/19,2020/10/08,,38.65248782300,6.45408422900
Ethiopia,ET,Oromia,ET04,Arsi,ET0408,Chole,ET040809,,<Null>,,2019/08/19,2020/10/08,,39.90091139500,8.13340363600
Ethiopia,ET,Oromia,ET04,Horo Gudru Wellega,ET0419,Choman Guduru,ET041911,,<Null>,,2019/08/19,2020/10/08,,37.25766485400,9.37812735100
Ethiopia,ET,Oromia,ET04,Buno Bedele,ET0416,Chora (Buno Bedele),ET041603,,<Null>,,2019/08/19,2020/10/08,,36.13873147800,8.39084891600
Ethiopia,ET,Oromia,ET04,Jimma,ET0404,Chora (Jimma),ET040415,,<Null>,,2019/08/19,2020/10/08,,37.08163575500,8.27718784600
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Chuko town,ET160035,,<Null>,,2019/08/19,2020/10/08,,38.33598676500,6.58661818200
Ethiopia,ET,SNNP,ET07,Gedeo,ET0705,Churso,ET070510,,<Null>,,2019/08/19,2020/10/08,,38.26851265400,6.06375469800
Ethiopia,ET,Oromia,ET04,Buno Bedele,ET0416,Chwaka,ET041623,,<Null>,,2019/08/19,2020/10/08,,36.13249622800,8.89658925700
Ethiopia,ET,Oromia,ET04,West Shewa,ET0405,Cobi,ET040592,,<Null>,,2019/08/19,2020/10/08,,37.86173455100,9.36183963200
Ethiopia,ET,Amhara,ET03,North Gondar,ET0301,Dabat,ET030105,,<Null>,,2019/08/19,2020/10/08,,37.68738312400,13.02446709400
Ethiopia,ET,Amhara,ET03,North Gondar,ET0301,Dabat town,ET030106,,<Null>,,2019/08/19,2020/10/08,,37.76262264700,12.98084602900
Ethiopia,ET,Oromia,ET04,Buno Bedele,ET0416,Dabo Hana,ET041605,,<Null>,,2019/08/19,2020/10/08,,36.28866701100,8.70618364600
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Daella,ET160034,,<Null>,,2019/08/19,2020/10/08,,38.97598828800,6.51412018500
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Dale,ET160004,,<Null>,,2019/08/19,2020/10/08,,38.41323651700,6.70577034600
Ethiopia,ET,Oromia,ET04,Kelem Wellega,ET0418,Dale Sadi,ET041808,,<Null>,,2019/08/19,2020/10/08,,35.20097493600,8.93080609800
Ethiopia,ET,Oromia,ET04,Kelem Wellega,ET0418,Dale Wabera,ET041803,,<Null>,,2019/08/19,2020/10/08,,35.06064030600,9.02504508900
Ethiopia,ET,Afar,ET02,Hari /Zone 5,ET0205,Dalefage,ET020504,,<Null>,,2019/08/19,2020/10/08,,40.45856219800,10.47628714300
Ethiopia,ET,SNNP,ET07,Siltie,ET0720,Dalocha,ET072005,,<Null>,,2019/08/19,2020/10/08,,38.28049013200,7.76481067700
Ethiopia,ET,Afar,ET02,Kilbati /Zone2,ET0202,Dalol,ET020206,,<Null>,,2019/08/19,2020/10/08,,40.13897529500,14.30851930000
Ethiopia,ET,Oromia,ET04,Guji,ET0414,Dama,ET041408,,<Null>,,2019/08/19,2020/10/08,,38.52315711700,6.26083500300
Ethiopia,ET,SNNP,ET07,Kembata Tibaro,ET0703,Damboya,ET070307,,<Null>,,2019/08/19,2020/10/08,,37.95706821200,7.35761371900
Ethiopia,ET,SNNP,ET07,Wolayita,ET0706,Damot Gale,ET070602,,<Null>,,2019/08/19,2020/10/08,,37.93440170700,7.01486836600
Ethiopia,ET,SNNP,ET07,Wolayita,ET0706,Damot Pullasa,ET070611,,<Null>,,2019/08/19,2020/10/08,,37.85987396700,7.04709952200
Ethiopia,ET,SNNP,ET07,Wolayita,ET0706,Damot Sore,ET070609,,<Null>,,2019/08/19,2020/10/08,,37.65190113400,6.88536460800
Ethiopia,ET,SNNP,ET07,Wolayita,ET0706,Damot Woide,ET070603,,<Null>,,2019/08/19,2020/10/08,,37.92991623200,6.89172151200
Ethiopia,ET,Somali,ET05,Shabelle,ET0506,Danan,ET050603,,<Null>,,2019/08/19,2020/10/08,,43.48770804000,6.58446980000
Ethiopia,ET,Amhara,ET03,Awi,ET0309,Dangila,ET030901,,<Null>,,2019/08/19,2020/10/08,,36.77136006800,11.22727135400
Ethiopia,ET,Amhara,ET03,Awi,ET0309,Dangila town,ET030998,,<Null>,,2019/08/19,2020/10/08,,36.84561178100,11.26275421800
Ethiopia,ET,Benishangul Gumz,ET06,Metekel,ET0602,Dangura,ET060201,,<Null>,,2019/08/19,2020/10/08,,36.02500498800,11.37190793300
Ethiopia,ET,Oromia,ET04,West Shewa,ET0405,Dano,ET040507,,<Null>,,2019/08/19,2020/10/08,,37.28995819600,8.75529958600
Ethiopia,ET,Somali,ET05,Doolo,ET0507,Danod,ET050701,,<Null>,,2019/08/19,2020/10/08,,45.62374213000,7.49256993200
Ethiopia,ET,Tigray,ET01,Western,ET0105,Dansha town,ET010506,,<Null>,,2019/08/19,2020/10/08,,36.72295110500,13.53029425400
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Dara,ET160006,,<Null>,,2019/08/19,2020/10/08,,38.36015098100,6.44177093900
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Dara Otilicho,ET160025,,<Null>,,2019/08/19,2020/10/08,,38.43245265000,6.48880698600
Ethiopia,ET,SNNP,ET07,Gamo,ET0710,Daramalo,ET071009,,<Null>,,2019/08/19,2020/10/08,,37.29725308800,6.28960399800
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Darara,ET160033,,<Null>,,2019/08/19,2020/10/08,,38.21451447200,6.83104627200
Ethiopia,ET,Somali,ET05,Doolo,ET0507,Daratole,ET050788,,<Null>,,2019/08/19,2020/10/08,,45.34819685300,7.25695552100
Ethiopia,ET,Oromia,ET04,Ilu Aba Bora,ET0403,Darimu,ET040301,,<Null>,,2019/08/19,2020/10/08,,35.37784421500,8.61918455600
Ethiopia,ET,Oromia,ET04,West Hararge,ET0409,Daro Lebu,ET040909,,<Null>,,2019/08/19,2020/10/08,,40.46914156900,8.46536606000
Ethiopia,ET,Somali,ET05,Jarar,ET0503,Daror,ET050392,,<Null>,,2019/08/19,2020/10/08,,44.48051867500,8.43216518700
Ethiopia,ET,SNNP,ET07,South Omo,ET0707,Dasenech /Kuraz,ET070706,,<Null>,,2019/08/19,2020/10/08,,36.09077825400,4.68465884800
Ethiopia,ET,Afar,ET02,Hari /Zone 5,ET0205,Dawe,ET020503,,<Null>,,2019/08/19,2020/10/08,,40.20604270600,10.73140717100
Ethiopia,ET,Oromia,ET04,East Bale,ET0421,Dawe Ketchen,ET042106,,<Null>,,2019/08/19,2020/10/08,,40.82682012800,6.65259357500
Ethiopia,ET,Oromia,ET04,South West Shewa,ET0413,Dawo,ET041304,,<Null>,,2019/08/19,2020/10/08,,38.10892871400,8.77209850200
Ethiopia,ET,Amhara,ET03,North Wello,ET0303,Dawunt,ET030311,,<Null>,,2019/08/19,2020/10/08,,38.83901693300,11.47361257500
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Daye town,ET160030,,<Null>,,2019/08/19,2020/10/08,,38.82708646300,6.52132559500
Ethiopia,ET,Amhara,ET03,North Gondar,ET0301,Debark,ET030104,,<Null>,,2019/08/19,2020/10/08,,37.80351369000,13.23124392900
Ethiopia,ET,Amhara,ET03,North Gondar,ET0301,Debark town,ET030198,,<Null>,,2019/08/19,2020/10/08,,37.89756314000,13.15032020000
Ethiopia,ET,Benishangul Gumz,ET06,Metekel,ET0602,Debati,ET060205,,<Null>,,2019/08/19,2020/10/08,,36.21359323400,10.46745510500
Ethiopia,ET,Amhara,ET03,East Gojam,ET0306,Debay Telatgen,ET030607,,<Null>,,2019/08/19,2020/10/08,,37.99329492200,10.54383542500
Ethiopia,ET,Somali,ET05,Korahe,ET0505,Debeweyin,ET050504,,<Null>,,2019/08/19,2020/10/08,,44.36665812100,6.07928521000
Ethiopia,ET,Amhara,ET03,North Shewa (AM),ET0305,Debre Berhan town,ET030520,,<Null>,,2019/08/19,2020/10/08,,39.52583640700,9.66437275000
Ethiopia,ET,Amhara,ET03,East Gojam,ET0306,Debre Elias,ET030608,,<Null>,,2019/08/19,2020/10/08,,37.32224607900,10.23348480000
Ethiopia,ET,Oromia,ET04,North Shewa (OR),ET0406,Debre Libanos,ET040607,,<Null>,,2019/08/19,2020/10/08,,38.85304449800,9.65994522200
Ethiopia,ET,Amhara,ET03,East Gojam,ET0306,Debre Markos town,ET030615,,<Null>,,2019/08/19,2020/10/08,,37.72871685800,10.32713994200
Ethiopia,ET,Amhara,ET03,South Gondar,ET0302,Debre Tabor town,ET030210,,<Null>,,2019/08/19,2020/10/08,,38.02120426900,11.86289072400
Ethiopia,ET,Amhara,ET03,West Gojam,ET0307,Debub Achefer,ET030713,,<Null>,,2019/08/19,2020/10/08,,36.84202023800,11.47626327200
Ethiopia,ET,SNNP,ET07,Bench Sheko,ET0711,Debub Bench,ET071103,,<Null>,,2019/08/19,2020/10/08,,35.51682287400,6.86887354000
Ethiopia,ET,Amhara,ET03,West Gojam,ET0307,Debub Mecha,ET030715,,<Null>,,2019/08/19,2020/10/08,,37.17880056700,11.25863529600
Ethiopia,ET,SNNP,ET07,Guraghe,ET0701,Debub Sodo,ET070119,,<Null>,,2019/08/19,2020/10/08,,38.54016996500,8.17773122300
Ethiopia,ET,SNNP,ET07,Kefa,ET0709,Decha,ET070908,,<Null>,,2019/08/19,2020/10/08,,36.14575118200,7.13079039200
Ethiopia,ET,Dire Dawa,ET15,Dire Dawa urban,ET1501,Dechatu,ET150111,,<Null>,,2019/08/19,2020/10/08,,41.88266444700,9.60142727700
Ethiopia,ET,Oromia,ET04,East Hararge,ET0410,Deder,ET041011,,<Null>,,2019/08/19,2020/10/08,,41.43699487700,9.21502356600
Ethiopia,ET,Oromia,ET04,East Hararge,ET0410,Deder town,ET041097,,<Null>,,2019/08/19,2020/10/08,,41.43743535900,9.30892980600
Ethiopia,ET,Oromia,ET04,Buno Bedele,ET0416,Dedesa,ET041608,,<Null>,,2019/08/19,2020/10/08,,36.53945868200,8.13232453700
Ethiopia,ET,Oromia,ET04,Jimma,ET0404,Dedo,ET040410,,<Null>,,2019/08/19,2020/10/08,,36.83967409600,7.43864252700
Ethiopia,ET,Oromia,ET04,Buno Bedele,ET0416,Dega,ET041604,,<Null>,,2019/08/19,2020/10/08,,36.13681909600,8.59652770200
Ethiopia,ET,Amhara,ET03,West Gojam,ET0307,Dega Damot,ET030707,,<Null>,,2019/08/19,2020/10/08,,37.61490339300,10.86173660400
Ethiopia,ET,Somali,ET05,Jarar,ET0503,Degahabur town,ET050307,,<Null>,,2019/08/19,2020/10/08,,43.55121758500,8.22576787200
Ethiopia,ET,Somali,ET05,Jarar,ET0503,Degehabur,ET050302,,<Null>,,2019/08/19,2020/10/08,,43.58334155700,7.99271440500
Ethiopia,ET,Somali,ET05,Jarar,ET0503,Degehamedo,ET050301,,<Null>,,2019/08/19,2020/10/08,,43.03125029200,8.05058072200
Ethiopia,ET,Oromia,ET04,Arsi,ET0408,Degeluna Tijo,ET040815,,<Null>,,2019/08/19,2020/10/08,,39.30723326600,7.75043125300
Ethiopia,ET,Oromia,ET04,North Shewa (OR),ET0406,Degem,ET040605,,<Null>,,2019/08/19,2020/10/08,,38.60069339900,9.81495509000
Ethiopia,ET,Tigray,ET01,South Eastern,ET0106,Degua Temben,ET010604,,<Null>,,2019/08/19,2020/10/08,,39.15592247300,13.51879470600
Ethiopia,ET,Amhara,ET03,Wag Hamra,ET0308,Dehana,ET030803,,<Null>,,2019/08/19,2020/10/08,,38.67350038900,12.43739296500
Ethiopia,ET,Amhara,ET03,East Gojam,ET0306,Dejen,ET030613,,<Null>,,2019/08/19,2020/10/08,,38.17796468200,10.20212655000
Ethiopia,ET,Amhara,ET03,East Gojam,ET0306,Dejen town,ET030698,,<Null>,,2019/08/19,2020/10/08,,38.14596560300,10.16758017400
Ethiopia,ET,Somali,ET05,Liban,ET0509,Deka Suftu,ET050991,,<Null>,,2019/08/19,2020/10/08,,40.11632939900,5.04656520200
Ethiopia,ET,Amhara,ET03,South Wello,ET0304,Delanta,ET030406,,<Null>,,2019/08/19,2020/10/08,,39.22172818300,11.61464774300
Ethiopia,ET,Amhara,ET03,West Gojam,ET0307,Dembecha,ET030708,,<Null>,,2019/08/19,2020/10/08,,37.37649550900,10.55368583800
Ethiopia,ET,Somali,ET05,Siti,ET0501,Dembel,ET050102,,<Null>,,2019/08/19,2020/10/08,,42.49573891400,9.91631158000
Ethiopia,ET,Benishangul Gumz,ET06,Kemashi,ET0604,Dembi,ET060404,,<Null>,,2019/08/19,2020/10/08,,35.65049345300,9.80016022500
Ethiopia,ET,SNNP,ET07,Gofa,ET0715,Denba Gofa,ET071502,,<Null>,,2019/08/19,2020/10/08,,37.01208108700,6.46410762600
Ethiopia,ET,Amhara,ET03,West Gojam,ET0307,Denbecha town,ET030717,,<Null>,,2019/08/19,2020/10/08,,37.49071641700,10.56635045400
Ethiopia,ET,Oromia,ET04,Kelem Wellega,ET0418,Denbi Dollo town,ET041806,,<Null>,,2019/08/19,2020/10/08,,34.80086594900,8.53284956800
Ethiopia,ET,Oromia,ET04,West Shewa,ET0405,Dendi,ET040510,,<Null>,,2019/08/19,2020/10/08,,38.09116229200,8.97204371200
Ethiopia,ET,Amhara,ET03,South Gondar,ET0302,Dera (AM),ET030209,,<Null>,,2019/08/19,2020/10/08,,37.67761013700,11.61379906800
Ethiopia,ET,Oromia,ET04,North Shewa (OR),ET0406,Dera (OR),ET040602,,<Null>,,2019/08/19,2020/10/08,,38.63280958700,10.21272932400
Ethiopia,ET,SNNP,ET07,Derashe,ET0723,Derashe Special,ET072304,,<Null>,,2019/08/19,2020/10/08,,37.37737852700,5.65277348700
Ethiopia,ET,Amhara,ET03,South Wello,ET0304,Dessie town,ET030418,,<Null>,,2019/08/19,2020/10/08,,39.64245987700,11.14183400000
Ethiopia,ET,Amhara,ET03,South Wello,ET0304,Dessie Zuria,ET030409,,<Null>,,2019/08/19,2020/10/08,,39.47436479900,11.04478589700
Ethiopia,ET,Amhara,ET03,Oromia,ET0310,Dewa Cheffa,ET031001,,<Null>,,2019/08/19,2020/10/08,,39.84749625300,10.77900542200
Ethiopia,ET,Amhara,ET03,Oromia,ET0310,Dewa Harewa,ET031005,,<Null>,,2019/08/19,2020/10/08,,40.04609631200,10.76580731100
Ethiopia,ET,Oromia,ET04,Borena,ET0412,Dhas,ET041220,,<Null>,,2019/08/19,2020/10/08,,38.92731413700,4.17951189700
Ethiopia,ET,Oromia,ET04,Ilu Aba Bora,ET0403,Didu,ET040317,,<Null>,,2019/08/19,2020/10/08,,35.54534314400,7.93748205700
Ethiopia,ET,Somali,ET05,Jarar,ET0503,Dig,ET050399,,<Null>,,2019/08/19,2020/10/08,,44.48149872700,7.70515598400
Ethiopia,ET,Oromia,ET04,East Wellega,ET0402,Diga,ET040210,,<Null>,,2019/08/19,2020/10/08,,36.32075309500,9.05067419300
Ethiopia,ET,Somali,ET05,Nogob,ET0510,Dihun,ET051006,,<Null>,,2019/08/19,2020/10/08,,42.69310761300,7.11678397200
Ethiopia,ET,Oromia,ET04,Arsi,ET0408,Diksis,ET040822,,<Null>,,2019/08/19,2020/10/08,,39.56288388600,8.04285675500
Ethiopia,ET,SNNP,ET07,Gedeo,ET0705,Dila town,ET070507,,<Null>,,2019/08/19,2020/10/08,,38.30061242400,6.40982822300
Ethiopia,ET,SNNP,ET07,Gedeo,ET0705,Dila Zuria,ET070505,,<Null>,,2019/08/19,2020/10/08,,38.34202864200,6.35411726000
Ethiopia,ET,Oromia,ET04,Borena,ET0412,Dilo,ET041219,,<Null>,,2019/08/19,2020/10/08,,37.77441599000,4.19902676200
Ethiopia,ET,Gambela,ET12,Agnewak,ET1202,Dima (GM),ET120205,,<Null>,,2019/08/19,2020/10/08,,34.68314098200,7.00281082400
Ethiopia,ET,Tigray,ET01,North Western,ET0101,Dima (TG),ET010115,,Laelay Tselemti,,2019/08/19,2020/10/08,,38.35678208300,13.67781866600
Ethiopia,ET,Oromia,ET04,Bale,ET0411,Dinsho,ET041122,,<Null>,,2019/08/19,2020/10/08,,39.77106950700,7.07681658700
Ethiopia,ET,Oromia,ET04,Borena,ET0412,Dire,ET041211,,<Null>,,2019/08/19,2020/10/08,,38.21655123800,3.96172379100
Ethiopia,ET,Harari,ET13,Harari,ET1301,Dire Teyara,ET130106,,<Null>,,2019/08/19,2020/10/08,,42.14238500900,9.37893135700
Ethiopia,ET,SNNP,ET07,Dawuro,ET0717,Disa,ET071709,,<Null>,,2019/08/19,2020/10/08,,37.11611703400,6.75100876100
Ethiopia,ET,SNNP,ET07,Gamo,ET0710,Dita,ET071008,,<Null>,,2019/08/19,2020/10/08,,37.50220894300,6.33684659800
Ethiopia,ET,Oromia,ET04,West Hararge,ET0409,Doba,ET040902,,<Null>,,2019/08/19,2020/10/08,,41.07961794800,9.32704070000
Ethiopia,ET,Oromia,ET04,West Arsi,ET0417,Dodola,ET041707,,<Null>,,2019/08/19,2020/10/08,,39.15232822000,6.88754659900
Ethiopia,ET,Oromia,ET04,West Arsi,ET0417,Dodola town,ET041700,,<Null>,,2019/08/19,2020/10/08,,39.18053899600,6.97910305300
Ethiopia,ET,Oromia,ET04,Arsi,ET0408,Dodota,ET040805,,<Null>,,2019/08/19,2020/10/08,,39.33438338000,8.30782033500
