NAME_LONG,FORMAL_EN,NAME_RU
Fiji,Republic of Fiji,Фиджи
Tanzania,United Republic of Tanzania,Танзания
Western Sahara,Sahrawi Arab Democratic Republic,Западная Сахара
Canada,Canada,Канада
United States,United States of America,Соединённые Штаты Америки
Kazakhstan,Republic of Kazakhstan,Казахстан
Uzbekistan,Republic of Uzbekistan,Узбекистан
Papua New Guinea,Independent State of Papua New Guinea,Папуа-Новая Гвинея
Indonesia,Republic of Indonesia,Индонезия
Argentina,Argentine Republic,Аргентина
Chile,Republic of Chile,Чили
Democratic Republic of the Congo,Democratic Republic of the Congo,Демократическая Республика Конго
Somalia,Federal Republic of Somalia,Сомали
Kenya,Republic of Kenya,Кения
Sudan,Republic of the Sudan,Судан
Chad,Republic of Chad,Чад
Haiti,Republic of Haiti,Республика Гаити
Dominican Republic,Dominican Republic,Доминиканская Республика
Russian Federation,Russian Federation,Россия
Bahamas,Commonwealth of the Bahamas,Багамские Острова
Falkland Islands,Falkland Islands,Фолклендские острова
Norway,Kingdom of Norway,Норвегия
Greenland,Greenland,Гренландия
French Southern and Antarctic Lands,Territory of the French Southern and Antarctic Lands,Французские Южные и Антарктические территории
Timor-Leste,Democratic Republic of Timor-Leste,Восточный Тимор
South Africa,Republic of South Africa,Южно-Африканская Республика
Lesotho,Kingdom of Lesotho,Лесото
Mexico,United Mexican States,Мексика
Uruguay,Oriental Republic of Uruguay,Уругвай
Brazil,Federative Republic of Brazil,Бразилия
Bolivia,Plurinational State of Bolivia,Боливия
Peru,Republic of Peru,Перу
Colombia,Republic of Colombia,Колумбия
Panama,Republic of Panama,Панама
Costa Rica,Republic of Costa Rica,Коста-Рика
Nicaragua,Republic of Nicaragua,Никарагуа
Honduras,Republic of Honduras,Гондурас
El Salvador,Republic of El Salvador,Сальвадор
Guatemala,Republic of Guatemala,Гватемала
Belize,Belize,Белиз
Venezuela,Bolivarian Republic of Venezuela,Венесуэла
Guyana,Co-operative Republic of Guyana,Гайана
Suriname,Republic of Suriname,Суринам
France,French Republic,Франция
Ecuador,Republic of Ecuador,Эквадор
Puerto Rico,Commonwealth of Puerto Rico,Пуэрто-Рико
Jamaica,Jamaica,Ямайка
Cuba,Republic of Cuba,Куба
Zimbabwe,Republic of Zimbabwe,Зимбабве
Botswana,Republic of Botswana,Ботсвана
Namibia,Republic of Namibia,Намибия
Senegal,Republic of Senegal,Сенегал
Mali,Republic of Mali,Мали
Mauritania,Islamic Republic of Mauritania,Мавритания
Benin,Republic of Benin,Бенин
Niger,Republic of Niger,Нигер
Nigeria,Federal Republic of Nigeria,Нигерия
Cameroon,Republic of Cameroon,Камерун
Togo,Togolese Republic,Того
Ghana,Republic of Ghana,Гана
Côte d'Ivoire,Republic of Ivory Coast,Кот-д’Ивуар
Guinea,Republic of Guinea,Гвинея
Guinea-Bissau,Republic of Guinea-Bissau,Гвинея-Бисау
Liberia,Republic of Liberia,Либерия
Sierra Leone,Republic of Sierra Leone,Сьерра-Леоне
Burkina Faso,Burkina Faso,Буркина-Фасо
Central African Republic,Central African Republic,Центральноафриканская Республика
Republic of the Congo,Republic of the Congo,Республика Конго
Gabon,Gabonese Republic,Габон
Equatorial Guinea,Republic of Equatorial Guinea,Экваториальная Гвинея
Zambia,Republic of Zambia,Замбия
