Rank,Country,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2000,1990,1980,1967
1,China,1064.80,995.40,920.00,831.70,786.90,803.80,822.70,779.00,724.70,683.30,626.70,573.60,500.30,494.90,128.50,66.40,37.10,14.00
2,India,100.30,111.40,109.30,101.50,95.50,89.60,87.30,81.20,77.30,72.20,68.30,62.80,57.80,53.50,26.90,15.00,9.50,6.30
3,Japan,83.20,99.30,104.30,104.70,104.80,105.20,110.70,110.60,107.20,107.60,109.60,87.50,118.70,120.20,106.40,110.30,111.40,62.00
4,United States,72.70,87.80,86.60,81.60,78.50,78.90,88.20,87.00,88.60,86.20,80.60,58.20,91.40,98.10,101.80,89.70,101.40,115.00
5,Russia / Soviet Union,71.60,71.70,72.00,71.30,70.50,71.10,71.50,69.40,70.60,68.70,66.90,60.00,68.50,72.40,59.10,154.40,147.90,96.90
6,South Korea,67.10,71.40,72.50,71.10,68.60,69.70,71.50,66.00,69.30,68.50,58.50,48.60,53.60,51.50,43.10,23.10,8.50,0.30
7,Turkey,35.80,33.70,37.30,37.50,33.20,31.50,34.00,34.70,35.90,34.10,29.00,25.30,26.80,25.80,14.30,9.40,2.50,1.00
8,Germany,35.70,39.60,42.40,43.60,42.10,42.70,42.90,42.60,42.70,44.30,43.80,32.70,45.80,48.60,46.40,44.00,51.10,41.30
9,Brazil,31.00,32.60,35.40,34.40,30.20,33.30,33.90,34.20,34.70,35.20,32.80,26.50,33.70,33.80,27.90,20.60,15.30,3.60
10,Iran,29.00,25.60,24.50,21.80,17.90,16.10,16.30,15.40,14.50,13.00,12.00,10.90,10.00,10.10,6.60,1.40,0.50,
11,Taiwan,21.00,22.00,23.20,23.20,21.80,21.40,23.10,22.30,20.70,20.20,19.80,15.80,19.90,20.90,,,,
12,Ukraine,20.60,20.80,21.10,22.70,24.20,22.90,27.20,32.80,32.90,35.30,33.60,29.90,37.30,42.80,31.80,54.60,52.30,
13,Italy,20.40,23.20,24.50,24.00,23.30,22.00,23.70,24.10,27.20,28.70,25.80,19.70,30.60,31.60,26.80,25.50,26.50,15.90
14,Vietnam,19.50,17.50,15.50,10.30,7.80,5.70,5.90,5.60,5.30,4.90,2.70,2.70,2.70,2.30,0.30,0.10,0.10,
15,Mexico,16.80,18.40,20.20,20.00,19.00,18.30,19.00,18.20,18.10,18.10,17.00,14.20,17.20,17.60,15.60,8.70,7.10,3.00
16,France,11.60,14.40,15.40,15.50,14.60,15.00,16.10,15.70,15.60,15.80,15.40,12.80,17.90,19.30,21.00,19.00,23.10,19.60
17,Spain,11.00,13.60,14.30,14.50,13.60,14.90,14.30,13.70,13.60,15.60,16.30,14.30,18.60,19.00,15.80,12.90,12.80,4.50
18,Canada,11.00,12.90,13.40,13.70,12.70,12.50,12.70,12.40,13.50,13.10,13.00,9.00,14.80,15.60,16.60,12.30,15.90,8.80
19,Indonesia,9.30,7.80,6.20,5.20,4.80,4.90,4.40,2.60,2.30,3.60,3.60,3.50,3.90,4.10,2.90,2.80,0.50,
20,Egypt,8.20,7.30,7.80,6.80,5.00,5.50,6.50,6.80,6.60,6.50,6.70,5.50,6.20,6.20,2.80,2.20,1.00,0.40
21,Poland,7.90,9.00,10.80,10.30,8.90,9.10,8.60,8.00,8.40,8.80,8.00,7.20,9.70,10.60,10.50,13.60,19.50,10.40
22,Saudi Arabia,7.80,8.20,5.20,4.80,5.50,5.70,6.30,5.40,5.20,5.30,5.00,4.70,4.70,4.60,3.00,1.80,0.10,
