Year,$millions,Category
1960,"4,324",All Donors
1961,"5,329",All Donors
1962,"5,496",All Donors
1963,"5,888",All Donors
1964,"5,733",All Donors
1965,"6,259",All Donors
1966,"6,439",All Donors
1967,"6,536",All Donors
1968,"5,917",All Donors
1969,"5,995",All Donors
1970,"6,613",All Donors
1971,"7,545",All Donors
1972,"8,002",All Donors
1973,"10,641",All Donors
1974,"14,343",All Donors
1975,"18,393",All Donors
1976,"17,748",All Donors
1977,"18,558",All Donors
1978,"24,897",All Donors
1979,"28,288",All Donors
1980,"34,068",All Donors
1981,"32,709",All Donors
1982,"29,748",All Donors
1983,"28,551",All Donors
1984,"29,542",All Donors
1985,"31,524",All Donors
1986,"37,041",All Donors
1987,"40,968",All Donors
1988,"43,876",All Donors
1989,"45,339",All Donors
1990,"57,293",All Donors
1991,"60,718",All Donors
1992,"59,830",All Donors
1993,"55,086",All Donors
1994,"59,017",All Donors
1995,"57,879",All Donors
1996,"55,050",All Donors
1997,"47,870",All Donors
1998,"50,591",All Donors
1999,"52,065",All Donors
2000,"48,993",All Donors
2001,"51,208",All Donors
2002,"60,966",All Donors
2003,"70,525",All Donors
2004,"78,979",All Donors
2005,"107,452",All Donors
2006,"106,044",All Donors
2007,"107,406",All Donors
2008,"125,376",All Donors
2009,"125,122",All Donors
2010,"129,264",All Donors
2011,"139,450",All Donors
2012,"133,752",All Donors
2013,"151,138",All Donors
2014,"161,730",All Donors
2015,"153,220",All Donors
2016,"158,218",All Donors
2017,"163,144",All Donors
