"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","1992",6.06,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","1993",8.06,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","1994",13.41,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","1996",11.29,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","1997",24.22,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","1998",25.3,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","1999",8.39,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2000",17.12,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2001",19.8,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2002",9.22,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2003",11.45,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2004",17.25,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2005",26.18,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2006",349.09,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2007",316.75,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2008",265.1,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2009",3.23,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2010",6.66,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2011",9.52,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2012",8.94,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2015",7.97,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2016",7.73,
"AUS","ODASECTOR","DEBTRELIEF","MLN_USD","A","2017",2.88,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1967",141.64,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1968",44.69,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1969",157.09,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1970",158.17,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1971",34.14,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1972",40.81,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1973",89.81,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1974",162.62,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1975",150.84,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1976",33.11,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1977",172.26,
"AUS","ODASECTOR","ECOINFRA","MLN_USD","A","1978",122.07,
