age,1950,2018
0,-30000,-18000
1,-26000,-19000
2,-24000,-18000
3,-21000,-19000
4,-17000,-19000
5,-10000,-18000
6,-20000,-18000
7,-23000,-17000
8,-22000,-17000
9,-27000,-18000
10,-26000,-18000
11,-26000,-19000
12,-22000,-19000
13,-22000,-19000
14,-19000,-19000
15,-22000,-20000
16,-18000,-21000
17,-13000,-23000
18,-8000,-22000
19,-5000,-24000
20,-2000,-22000
21,2000,-23000
22,5000,-25000
23,45000,-26000
24,91000,-28000
25,125000,-29000
26,155000,-30000
27,163000,-33000
28,167000,-38000
29,182000,-37000
30,200000,-40000
31,128000,-39000
32,93000,-34000
33,89000,-32000
34,102000,-30000
35,145000,-27000
36,179000,-25000
37,169000,-19000
38,164000,-16000
39,153000,-16000
40,160000,-15000
41,150000,-15000
42,144000,-13000
43,123000,-13000
44,115000,-10000
45,76000,-9000
46,73000,-11000
47,71000,-13000
48,72000,-13000
49,67000,-17000
50,68000,-16000
51,87000,-14000
52,109000,-16000
53,120000,-17000
54,131000,-14000
55,134000,-11000
56,136000,-5000
57,130000,1000
58,120000,4000
59,115000,6000
60,110000,9000
61,104000,12000
62,94000,18000
63,88000,25000
64,83000,35000
65,76000,40000
66,70000,43000
67,63000,45000
68,59000,47000
69,53000,45000
70,52000,42000
71,48000,45000
72,46000,43000
73,40000,47000
74,37000,62000
75,33000,66000
76,30000,69000
77,26000,94000
78,24000,108000
79,18000,114000
80,20000,111000
81,17000,109000
82,16000,112000
83,13000,110000
84,12000,105000
85,10000,86000
86,8000,85000
87,6000,85000
88,5000,87000
89,3000,79000
90,null,71000
91,null,63000
92,null,59000
93,null,52000
94,null,41000
95,null,32000
96,null,25000
97,null,19000
98,null,14000
99,null,7000
