Rank,Jurisdiction,FSI - Value6,FSI Share7,Secrecy Score4,Global Scale Weight5
1, Cayman Islands2,"1,575.19",4.63%,76,4.58%
2, United States2,"1,486.96",4.37%,63,21.37%
3, Switzerland2,"1,402.10",4.12%,74,4.12%
4, Hong Kong2,"1,035.29",3.04%,66,4.44%
5, Singapore2,"1,022.12",3.00%,65,5.17%
6, Luxembourg2,849.36,2.49%,55,12.36%
7,Japan,695.59,2.04%,63,2.20%
8, Netherlands2,682.2,2.00%,67,1.11%
9, British Virgin Islands2,619.14,1.82%,71,0.50%
10, United Arab Emirates2,605.2,1.78%,78,0.21%
11, Guernsey2,564.56,1.66%,71,0.41%
12, United Kingdom2,534.65,1.57%,46,15.94%
13, Taiwan2,507.57,1.49%,66,0.59%
14, Germany2,499.72,1.47%,52,4.71%
15, Panama2,479.51,1.41%,72,0.22%
16, Jersey2,466.81,1.37%,66,0.46%
17,Thailand,448.86,1.32%,73,0.15%
18,Malta,442.2,1.30%,62,0.66%
19, Canada2,438.38,1.29%,56,1.60%
20,Qatar,433.05,1.27%,77,0.09%
21,South Korea,411.06,1.21%,62,0.55%
22,Bahamas,407.28,1.20%,75,0.09%
23,Algeria,400.56,1.18%,80,0.05%
24, Kenya2,398.19,1.17%,76,0.08%
25,China,397.25,1.17%,60,0.64%
26, Lebanon2,385.52,1.13%,64,0.32%
27, Cyprus2,383.38,1.13%,61,0.48%
28,Kuwait,369.17,1.08%,71,0.12%
29, Ireland2,363.8,1.07%,48,3.46%
30,Gibraltar,359.89,1.06%,69,0.12%
31,Macao,356.53,1.05%,65,0.22%
32,Malaysia,352.69,1.04%,70,0.12%
33,France,350.53,1.03%,50,2.25%
34,Nigeria,348.53,1.02%,70,0.10%
35,Angola2,345.45,1.01%,80,0.03%
36, Austria2,317,0.93%,56,0.54%
37,Vietnam,299.3,0.88%,74,0.04%
38, Israel2,291.49,0.86%,59,0.30%
39,Sri Lanka,290.64,0.85%,72,0.05%
40,Bermuda,289.07,0.85%,73,0.04%
41, Italy2,287.8,0.85%,50,1.14%
42,Jordan,260.39,0.76%,78,0.02%
43,Isle of Man,258.34,0.76%,65,0.09%
44,Russia,256.35,0.75%,57,0.26%
45,Saudi Arabia,245.47,0.72%,67,0.06%
46,Egypt,241.93,0.71%,71,0.03%
47, India2,238.68,0.70%,48,1.04%
48, Australia2,238.07,0.70%,50,0.68%
49,Marshall Islands,236.43,0.69%,70,0.03%
50, Belgium2,236.21,0.69%,45,1.72%
51, Mauritius2,235.82,0.69%,72,0.03%
52,Liechtenstein,229.68,0.67%,75,0.02%
53,Cameroon,229.23,0.67%,71,0.02%
54,Bangladesh,228.79,0.67%,73,0.02%
55, Turkey2,225.72,0.66%,60,0.12%
56, Romania2,224.13,0.66%,63,0.08%
57, New Zealand2,219,0.64%,59,0.12%
58, South Africa2,218.59,0.64%,56,0.19%
59,Poland,212.1,0.62%,56,0.19%
60,Philippines,201.18,0.59%,63,0.05%
61,Venezuela,197,0.58%,69,0.02%
62,Anguilla,192.99,0.57%,78,0.01%
63,Barbados,192.86,0.57%,74,0.01%
64,Sweden,182.86,0.54%,46,0.71%
65,Latvia2,182.83,0.54%,59,0.07%
66,Spain,164.3,0.48%,44,0.72%
67,Czechia,163.3,0.48%,55,0.09%
68,St. Kitts and Nevis,162.25,0.48%,75,0.01%
69, Guatemala2,162.15,0.48%,74,0.01%
70,Ukraine,160.45,0.47%,65,0.02%
71, Norway2,157.88,0.46%,44,0.60%
72,Morocco,157.49,0.46%,68,0.01%
73, Brazil2,157.21,0.46%,52,0.15%
74,Maldives,155.39,0.46%,80,0.00%
75,Hungary,151.52,0.44%,54,0.09%
76,Portugal,151.18,0.44%,54,0.09%
77,Puerto Rico,150.53,0.44%,73,0.01%
