,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
John Legend,0.54535,0.5872375,6.4,-6.8385750000000005,0.575,0.09113249999999999,0.39685500000000007,0.0002069275,0.18292,0.47800000000000004,107.45185000000001,243772.275,3.925
The Weeknd,0.5974909090909091,0.6009272727272728,5.054545454545455,-7.2417454545454545,0.34545454545454546,0.09420181818181816,0.24273109090909095,0.010186394727272726,0.1656727272727273,0.33270909090909084,128.3867090909091,245010.45454545456,3.9272727272727272
Rihanna,0.6228055555555555,0.6637777777777778,5.444444444444445,-5.477611111111112,0.4722222222222222,0.07709444444444442,0.1764034722222222,0.007844133611111113,0.15923055555555557,0.501,119.37538888888889,230045.94444444444,3.9444444444444446
Michael Jackson,0.6904153846153845,0.6914123076923078,5.7846153846153845,-7.005446153846154,0.6615384615384615,0.06943384615384615,0.2835910769230769,0.023909344615384614,0.19126923076923077,0.6200615384615383,117.89887692307693,267257.23076923075,3.9846153846153847
Kygo,0.6459555555555555,0.6164444444444445,5.4,-7.451644444444445,0.5555555555555556,0.06945333333333334,0.2570137777777778,0.03738017377777778,0.15379555555555555,0.4134222222222222,114.18271111111109,250589.51111111112,3.911111111111111
The Chainsmokers,0.6026041666666667,0.6691041666666667,5.354166666666667,-6.7582916666666675,0.625,0.05162083333333334,0.09173506666666666,0.039287191458333336,0.1719604166666667,0.36390416666666664,118.1055,217623.4375,3.9375
Illenium,0.48634210526315796,0.7124473684210528,5.421052631578948,-4.631947368421054,0.7105263157894737,0.0866657894736842,0.11603000000000002,0.000641142894736842,0.1915157894736842,0.25732368421052626,137.29378947368417,242629.8947368421,4.0
Marshmello,0.6240784313725489,0.8303333333333333,5.352941176470588,-3.340745098039215,0.5490196078431373,0.08820196078431372,0.06934249411764706,0.12257731509803922,0.23900588235294115,0.44724313725490206,128.29303921568626,192141.9019607843,4.019607843137255
Avicii,0.6036486486486486,0.7344864864864865,5.121621621621622,-5.6357027027027025,0.5405405405405406,0.06362432432432433,0.1014830135135135,0.19331693932432434,0.17910405405405402,0.4104689189189189,122.69508108108107,259371.5810810811,3.9054054054054053
Martin Garrix,0.5858307692307692,0.7698615384615384,5.2153846153846155,-5.724615384615384,0.36923076923076925,0.06611692307692307,0.055904444615384616,0.27150354399999993,0.2543907692307692,0.2685446153846154,126.96216923076925,226681.52307692307,4.015384615384615
Eden,0.4406551724137931,0.4396206896551725,5.137931034482759,-8.821103448275863,0.41379310344827586,0.0791,0.633558620689655,0.03821738482758621,0.3387103448275862,0.29099655172413785,106.48220689655173,242346.3103448276,3.689655172413793
Prince,0.7148630136986301,0.5513506849315069,5.013698630136986,-11.277123287671234,0.7945205479452054,0.07779041095890411,0.19769172602739726,0.06954783013698629,0.21732876712328764,0.6003465753424657,118.77047945205479,289634.87671232875,3.9452054794520546
Coldplay,0.45311111111111124,0.5805370370370371,6.12962962962963,-8.809444444444445,0.7222222222222222,0.04460925925925926,0.3109357777777778,0.19347633259259253,0.24237592592592594,0.25215000000000004,125.62427777777776,250305.44444444444,3.8703703703703702
Elton John,0.5293478260869565,0.5992826086956522,4.543478260869565,-8.935652173913043,0.8260869565217391,0.039517391304347824,0.28563695652173915,0.038796675,0.15439782608695649,0.5228695652173913,129.46965217391306,287500.3695652174,3.9565217391304346
OneRepublic,0.5359714285714285,0.6992571428571427,4.8,-6.163942857142857,0.6571428571428571,0.05266857142857144,0.15581248571428571,1.3739142857142857e-05,0.1983714285714286,0.38980000000000004,113.39934285714286,223585.8,3.942857142857143
Jason Mraz,0.5703921568627451,0.551843137254902,5.666666666666667,-8.139882352941177,0.7058823529411765,0.04835490196078431,0.4014,0.0002678994117647059,0.2596117647058824,0.5256549019607842,114.67343137254902,237316.9019607843,3.9215686274509802
Metallica,0.41919999999999996,0.8839500000000001,5.75,-5.985516666666668,0.5833333333333334,0.08174500000000001,0.0027353818333333336,0.17005247766666667,0.13020666666666666,0.403005,126.54616666666666,366137.68333333335,3.9833333333333334
The Beatles,0.5271666666666666,0.5390666666666667,4.3,-9.510877777777779,0.8,0.04340222222222222,0.3455344,0.02090074477777778,0.20017111111111113,0.6690999999999999,122.51528888888888,170223.53333333333,3.9
Guns N' Roses,0.3783921568627451,0.8729803921568628,6.666666666666667,-7.122666666666667,0.7647058823529411,0.08379607843137257,0.06863778431372548,0.13562288235294118,0.2842764705882353,0.351529411764706,131.7490980392157,315189.50980392157,3.980392156862745
Frank Sinatra,0.38427999999999995,0.22726,4.64,-14.339220000000001,0.68,0.045961999999999996,0.7052,0.012409587000000001,0.227656,0.357498,111.19254000000001,194722.18,3.86
Michael Bublé,0.51182,0.48766,4.96,-7.2643,0.86,0.042851999999999994,0.506636,0.0010789556,0.17377399999999998,0.474934,121.30048,216979.14,3.8
Norah Jones,0.5953243243243244,0.2864432432432432,5.135135135135135,-12.519432432432433,0.7297297297297297,0.038118918918918915,0.7462081081081083,0.09794892594594594,0.11902162162162161,0.40314594594594594,109.02199999999999,217583.13513513515,3.7837837837837838
David Bowie,0.5391333333333334,0.6708194444444444,5.125,-9.47851388888889,0.8194444444444444,0.044491666666666665,0.16686922222222222,0.09239961180555555,0.1680541666666667,0.5822499999999999,121.34929166666669,266608.55555555556,3.9722222222222223
