from	to	refugees	displaced	asylum_seekers
VEN	Colombia	100	1171600	2700
VEN	Guyana		36400	
VEN	Trinidad and Tobago	500	31800	7700
VEN	Curacao		25700	300
VEN	Dominican Republic		26400	100
VEN	Aruba		15600	400
VEN	Mexico	4700	42100	5500
VEN	Costa Rica	300		5400
VEN	Panama		94400	5100
VEN	Ecuador		256300	6300
VEN	Peru	700	458200	227300
VEN	Chile		285100	3100
VEN	Argentina		127200	1000
VEN	Uruguay		11600	100
VEN	Paraguay		800	100
