Region,Sub Region,Country,Drug Group,Drug,Year,Country Code,download,Latest Year,Clear,Kg Equivalent,Latest Year Kg Value,Metring Tons,Number of Records
Africa,East Africa,Kenya,ATS,Methamphetamine,2019,KEN,,2019,1,0.283,0.283,0.000283,1
Africa,East Africa,Kenya,ATS,Methamphetamine,2019,KEN,,2019,1,1,1,0.001,1
Africa,East Africa,Kenya,Cannabis-type,Cannabis plants,2019,KEN,,2019,1,13,13,0.013,1
Africa,East Africa,Kenya,Cannabis-type,Marijuana (herb),2019,KEN,,2019,1,0.744,0.744,0.000744,1
Africa,East Africa,Kenya,Cannabis-type,Marijuana (herb),2019,KEN,,2019,1,3773,3773,3.773,1
Africa,East Africa,Kenya,Cocaine-type,Cocaine salts,2019,KEN,,2019,1,6,6,0.006,1
Africa,East Africa,Kenya,Cocaine-type,Cocaine salts,2019,KEN,,2019,1,0.368,0.368,0.000368,1
Africa,East Africa,Kenya,Opioids,Heroin,2019,KEN,,2019,1,41,41,0.041,1
Africa,East Africa,Kenya,Opioids,Heroin,2019,KEN,,2019,1,0.991,0.991,0.000991,1
Africa,East Africa,Kenya,Opioids,Heroin,2019,KEN,,2019,1,0.009750000,0.009750000,9.749999782e-06,1
Africa,East Africa,Kenya,Opioids,Pharmaceutical opioids,2019,KEN,,2019,1,4.08,4.08,0.00408,1
Africa,East Africa,Kenya,ATS,Methamphetamine,2018,KEN,,2019,1,2.792,,0.002792,1
Africa,East Africa,Kenya,Cannabis-type,Cannabis plants,2018,KEN,,2019,1,51.7,,0.0517,1
Africa,East Africa,Kenya,Cannabis-type,Cannabis plants,2018,KEN,,2019,1,45.8,,0.0458,1
Africa,East Africa,Kenya,Cannabis-type,Marijuana (herb),2018,KEN,,2019,1,4466,,4.466,1
Africa,East Africa,Kenya,Cocaine-type,Cocaine salts,2018,KEN,,2019,1,8.95,,0.00895,1
Africa,East Africa,Kenya,Opioids,Heroin,2018,KEN,,2019,1,120,,0.12,1
Africa,East Africa,Kenya,Cannabis-type,Cannabis plants,2017,KEN,,2019,1,466.2,,0.4662,1
Africa,East Africa,Kenya,Cannabis-type,Marijuana (herb),2017,KEN,,2019,1,8617,,8.617,1
Africa,East Africa,Kenya,Cocaine-type,Cocaine salts,2017,KEN,,2019,1,11.78,,0.01178,1
Africa,East Africa,Kenya,Opioids,Heroin,2017,KEN,,2019,1,112.6,,0.1126,1
Africa,East Africa,Kenya,Substances not under international control,Ketamine and phencyclidine-type substances,2017,KEN,,2017,1,68.5,68.5,0.0685,1
Africa,East Africa,Kenya,Substances not under international control,Ketamine and phencyclidine-type substances,2017,KEN,,2017,1,1.33,1.33,0.00133,1
Africa,East Africa,Kenya,Substances not under international control,Ketamine and phencyclidine-type substances,2017,KEN,,2017,1,447.5,447.5,0.4475,1
Africa,East Africa,Kenya,Substances not under international control,Ketamine and phencyclidine-type substances,2017,KEN,,2017,1,213.5,213.5,0.2135,1
Africa,East Africa,Kenya,ATS,Methamphetamine,2016,KEN,,2019,1,8.93,,0.00893,1
Africa,East Africa,Kenya,Cannabis-type,Cannabis plants,2016,KEN,,2019,1,609.5,,0.6095,1
Africa,East Africa,Kenya,Cannabis-type,Hashish (resin),2016,KEN,,2019,1,0.042,,4.2e-05,1
Africa,East Africa,Kenya,Cannabis-type,Marijuana (herb),2016,KEN,,2019,1,8809,,8.809,1
Africa,East Africa,Kenya,Cocaine-type,Crack,2016,KEN,,2019,1,113.05,,0.11305,1
Africa,East Africa,Kenya,Opioids,Heroin,2016,KEN,,2019,1,11.1,,0.0111,1
Africa,East Africa,Kenya,Sedatives and Tranquillizers,Benzodiazepines,2016,KEN,,2016,1,0.001720000,0.001720000,1.719999962e-06,1
Africa,East Africa,Kenya,Cannabis-type,Cannabis plants,2015,KEN,,2019,1,940.1,,0.9401,1
Africa,East Africa,Kenya,Cannabis-type,Hashish (resin),2015,KEN,,2019,1,0,,0,1
Africa,East Africa,Kenya,Cannabis-type,Marijuana (herb),2015,KEN,,2019,1,4402,,4.402,1
Africa,East Africa,Kenya,Cocaine-type,Cocaine salts,2015,KEN,,2019,1,5.091,,0.005091,1
Africa,East Africa,Kenya,Opioids,Heroin,2015,KEN,,2019,1,39.493,,0.039493,1
Africa,East Africa,Kenya,Opioids,Heroin,2015,KEN,,2019,1,0,,0,1
Africa,East Africa,Kenya,Precursors,Ephedrine,2015,KEN,,2015,1,18.2,18.2,0.0182,1
Africa,East Africa,Kenya,Sedatives and Tranquillizers,Benzodiazepines,2015,KEN,,2016,1,0.007050000,,7.049999842e-06,1
Africa,East Africa,Madagascar,ATS,Methamphetamine,2018,MAG,,2018,1,0.542,0.542,0.000542,1
Africa,East Africa,Madagascar,Cannabis-type,Cannabis plants,2018,MAG,,2018,1,16.3,16.3,0.0163,1
Africa,East Africa,Madagascar,Cannabis-type,Hashish (resin),2018,MAG,,2018,1,0.1,0.1,0.0001,1
Africa,East Africa,Madagascar,Cannabis-type,Marijuana (herb),2018,MAG,,2018,1,780.245,780.245,0.780245,1
Africa,East Africa,Madagascar,Cocaine-type,Cocaine salts,2018,MAG,,2018,1,0.025,0.025,2.5e-05,1
Africa,East Africa,Madagascar,Opioids,Heroin,2018,MAG,,2018,1,0.002,0.002,2e-06,1
Africa,East Africa,Madagascar,Opioids,Pharmaceutical opioids,2018,MAG,,2018,1,0.12,0.12,0.00012,1
Africa,East Africa,Madagascar,Cannabis-type,Cannabis oil,2017,MAG,,2018,1,5,,0.005,1
Africa,East Africa,Madagascar,Cannabis-type,Cannabis plants,2017,MAG,,2018,1,5770.8,,5.7708,1
Africa,East Africa,Madagascar,Cannabis-type,Marijuana (herb),2017,MAG,,2018,1,10351.916,,10.351916,1
Africa,East Africa,Madagascar,Cocaine-type,Cocaine salts,2017,MAG,,2018,1,0.074,,7.4e-05,1
Africa,East Africa,Madagascar,Opioids,Heroin,2017,MAG,,2018,1,1.005,,0.001005,1
Africa,East Africa,Madagascar,Cannabis-type,Marijuana (herb),2016,MAG,,2018,1,2.992,,0.002992,1
Africa,East Africa,Madagascar,Cocaine-type,Cocaine salts,2016,MAG,,2018,1,0.013,,1.3e-05,1
Africa,East Africa,Madagascar,Opioids,Heroin,2016,MAG,,2018,1,0.028,,2.8e-05,1
Africa,East Africa,Madagascar,Cannabis-type,Cannabis oil,2015,MAG,,2018,1,59.5,,0.0595,1
Africa,East Africa,Madagascar,Cannabis-type,Cannabis plants,2015,MAG,,2018,1,2129.1,,2.1291,1
Africa,East Africa,Madagascar,Cannabis-type,Marijuana (herb),2015,MAG,,2018,1,7742.475,,7.742475,1
Africa,East Africa,Madagascar,Non-specified,Non-specified,2015,MAG,,2015,1,1500,1500,1.5,1
Africa,East Africa,Madagascar,Opioids,Heroin,2015,MAG,,2018,1,1.2847,,0.0012847,1
Africa,East Africa,Mauritius,ATS,Amphetamine,2018,MAR,,2018,1,0.0271,0.0271,2.71e-05,1
Africa,East Africa,Mauritius,ATS,Ecstasy-type substances,2018,MAR,,2018,1,0.213548,0.213548,0.000213548,1
Africa,East Africa,Mauritius,ATS,Methamphetamine,2018,MAR,,2018,1,1.04,1.04,0.00104,1
Africa,East Africa,Mauritius,Cannabis-type,Cannabis plants,2018,MAR,,2018,1,6190.6,6190.6,6.1906,1
Africa,East Africa,Mauritius,Cannabis-type,Hashish (resin),2018,MAR,,2018,1,9.488512,9.488512,0.009488512,1
