city,country,population,source,URL
León de los Aldamas,Mexico,1239000,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Quelimane,Mozambique,349842,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Auckland,New Zealand,1657000,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Kapiti Coast,New Zealand,49104,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Wellington,New Zealand,212700,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Arendal,Norway,44576,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Bærum Kommune,Norway,118588,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Oslo,Norway,648000,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Chorrera,Panama,199708,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Asunción,Paraguay,525294,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Braga,Portugal,121394,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Cascais,Portugal,36436,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Fafe,Portugal,16868,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Moita,Portugal,17795,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Porto,Portugal,1309805,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Alba-Iulia,Romania,63536,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Inje,South Korea,34120,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Stockholm,Sweden,965232,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Basel,Switzerland,175627,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Lausanne,Switzerland,141900,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Nyon,Switzerland,21077,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Stadt Zürich,Switzerland,380500,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Dar es Salaam,United Republic of Tanzania,6368272,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Aspen,USA,7365,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Burlington,USA,183314,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Eugene,USA,166000,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Seattle,USA,704352,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Alcaldía de Córdoba,Venezuela,325708,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Harare,Zimbabwe,1542813,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
