Country,ISO3,Region,CPI score 2020,Rank,Standard error,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Kuwait,KWT,MENA,42,78,1.88,6,38.91,45.09,,,41,37,,35,,,41,50,,48,
Solomon Islands,SLB,AP,42,78,7.80,3,29.21,54.79,,,,,,59,,,,32,35,,
Benin,BEN,SSA,41,83,1.80,7,38.05,43.95,42,,41,,,35,,,,53,43,40,32
Guyana,GUY,AME,41,83,3.54,5,35.20,46.80,,,,,,35,,,41,58,35,,37
Lesotho,LSO,SSA,41,83,3.24,6,35.69,46.31,37,,37,,,59,,,,49,35,32,
Burkina Faso,BFA,SSA,40,86,1.62,8,37.34,42.66,44,,33,,,47,,,41,46,43,27,36
India,IND,AP,40,86,1.14,9,38.13,41.87,,,45,37,,47,44,28,41,41,,43,34
Morocco,MAR,MENA,40,86,2.22,7,36.37,43.63,,,29,37,,35,,,50,43,,52,38
Timor-Leste,TLS,AP,40,86,2.71,4,35.56,44.44,,,45,,,35,,,,46,35,,
Trinidad and Tobago,TTO,AME,40,86,3.73,7,33.88,46.12,,,37,37,,35,,,32,71,,30,39
Turkey,TUR,ECA,40,86,2.06,9,36.63,43.37,,26,37,37,,47,53,,41,26,,57,37
Colombia,COL,AME,39,92,1.59,8,36.40,41.60,,,45,37,,47,30,,41,48,,31,36
Ecuador,ECU,AME,39,92,1.73,7,36.16,41.84,,,49,37,,35,,,41,47,,33,34
Brazil,BRA,AME,38,94,2.50,8,33.90,42.10,,,61,37,,35,35,,32,42,,22,37
Ethiopia,ETH,SSA,38,94,1.00,9,36.36,39.64,37,,33,37,,47,,,40,46,35,34,35
Kazakhstan,KAZ,ECA,38,94,3.12,9,32.89,43.11,,,33,20,24,47,61,,58,17,,47,38
Peru,PER,AME,38,94,1.98,8,34.75,41.25,,,49,37,,35,31,,49,44,,26,32
Serbia,SRB,ECA,38,94,1.66,8,35.28,40.72,,,45,37,50,35,,,32,28,,40,35
Sri Lanka,LKA,AP,38,94,1.17,8,36.08,39.92,,,45,37,,35,,,32,44,35,43,33
Suriname,SUR,AME,38,94,1.69,4,35.23,40.77,,,,,,35,,,37,43,,,36
Tanzania,TZA,SSA,38,94,0.80,9,36.68,39.32,39,,41,37,,35,,,32,45,35,42,35
Gambia,GMB,SSA,37,102,3.19,8,31.76,42.24,11,,33,,,47,,,41,54,27,50,32
Indonesia,IDN,AP,37,102,1.71,9,34.20,39.80,,,37,37,,35,43,32,50,26,,46,23
Albania,ALB,ECA,36,104,0.92,8,34.50,37.50,,,37,37,42,35,,,41,32,,37,30
Algeria,DZA,MENA,36,104,1.48,7,33.57,38.43,,,37,37,,35,,,32,28,,46,37
Côte d'Ivoire,CIV,SSA,36,104,1.46,9,33.61,38.39,32,,29,37,,47,,,32,44,43,28,27
El Salvador,SLV,AME,36,104,1.38,7,33.74,38.26,,,45,37,,35,,,38,34,,28,36
Kosovo,KSV,ECA,36,104,0.68,6,34.88,37.12,,,37,,36,35,,,,41,35,,36
Thailand,THA,AP,36,104,1.31,9,33.86,38.14,,,37,37,,35,41,38,32,20,,43,38
Vietnam,VNM,AP,36,104,1.81,8,33.03,38.97,,,37,20,,47,,37,41,32,,40,36
Bosnia and Herzegovina,BIH,ECA,35,111,1.87,7,31.94,38.06,,,37,37,44,35,,,,23,,29,39
Mongolia,MNG,AP,35,111,0.71,9,33.84,36.16,,,37,37,,35,32,,41,34,35,28,33
North Macedonia,MKD,ECA,35,111,2.44,7,31.00,39.00,,,41,20,47,35,,,,28,,32,40
Panama,PAN,AME,35,111,0.77,7,33.74,36.26,,,37,37,,35,,,32,39,,31,36
Moldova,MDA,ECA,34,115,1.24,9,31.97,36.03,,,29,37,36,47,,,32,41,27,30,31
Philippines,PHL,AP,34,115,0.92,9,32.49,35.51,,,33,37,,35,34,38,41,28,,32,27
Egypt,EGY,MENA,33,117,3.68,7,26.96,39.04,,,29,37,,22,,,32,20,,62,30
Eswatini,SWZ,SSA,33,117,4.93,4,24.91,41.09,,,17,,,35,,,,38,,43,
Nepal,NPL,AP,33,117,1.35,6,30.78,35.22,,,29,,,35,,,,29,35,40,32
Sierra Leone,SLE,SSA,33,117,2.42,8,29.03,36.97,34,,33,20,,47,,,50,25,35,,25
Ukraine,UKR,ECA,33,117,1.31,9,30.85,35.15,,,41,20,36,35,35,,41,26,,30,34
Zambia,ZMB,SSA,33,117,0.96,9,31.43,34.57,39,,29,37,,35,,,36,37,27,26,36
Niger,NER,SSA,32,123,1.20,7,30.04,33.96,37,,29,,,35,,,24,33,35,,30
Bolivia,BOL,AME,31,124,2.05,7,27.64,34.36,,,37,37,,35,,,32,34,,19,20
Kenya,KEN,SSA,31,124,1.49,9,28.55,33.45,27,,33,20,,35,,,41,40,35,24,22
Kyrgyzstan,KGZ,ECA,31,124,1.28,7,28.90,33.10,,,37,,27,35,,,,25,35,26,29
Mexico,MEX,AME,31,124,1.38,9,28.73,33.27,,44,29,37,,22,30,,24,35,,32,23
Pakistan,PAK,AP,31,124,1.80,8,28.05,33.95,,,21,37,,35,,,32,22,35,43,25
Azerbaijan,AZE,ECA,30,129,5.00,7,21.80,38.20,,,29,20,21,35,,,24,12,,69,
Gabon,GAB,SSA,30,129,2.35,6,26.15,33.85,,,33,37,,35,,,32,16,,29,
Malawi,MWI,SSA,30,129,1.16,9,28.10,31.90,37,,33,20,,35,,,37,25,27,27,34
Mali,MLI,SSA,30,129,1.50,8,27.54,32.46,34,,33,,,35,,,32,34,35,19,21
Russia,RUS,ECA,30,129,1.33,9,27.81,32.19,,,29,20,24,35,39,,24,25,,38,34
Laos,LAO,AP,29,134,3.95,5,22.52,35.48,,,21,,,35,,,,20,27,46,
Mauritania,MRT,SSA,29,134,1.60,6,26.37,31.63,27,,29,,,35,,,,22,35,,27
Togo,TGO,SSA,29,134,1.75,7,26.13,31.87,24,,25,,,35,,,32,19,35,,35
Dominican Republic,DOM,AME,28,137,1.91,7,24.86,31.14,,,29,37,,22,,,32,15,,30,29
Guinea,GIN,SSA,28,137,1.88,8,24.92,31.08,27,,37,,,35,,,24,15,27,38,21
Liberia,LBR,SSA,28,137,2.01,7,24.70,31.30,34,,37,,,22,,,35,17,27,,22
Myanmar,MMR,AP,28,137,2.65,7,23.65,32.35,,,21,20,,22,,,32,49,27,,27
Paraguay,PRY,AME,28,137,2.19,6,24.41,31.59,,,33,37,,22,,,32,24,,20,
Angola,AGO,SSA,27,142,2.01,7,23.70,30.30,,,29,20,,22,,,41,31,,20,27
Djibouti,DJI,SSA,27,142,1.53,5,24.49,29.51,27,,25,,,35,,,,24,27,,
Papua New Guinea,PNG,AP,27,142,1.62,6,24.34,29.66,,,29,20,,22,,,35,28,27,,
Uganda,UGA,SSA,27,142,1.15,9,25.11,28.89,29,,33,37,,22,,,24,25,27,29,17
Bangladesh,BGD,AP,26,146,1.72,8,23.19,28.81,,,25,20,,22,,,41,17,27,31,27
Central African Republic,CAF,SSA,26,146,0.93,5,24.47,27.53,24,,29,,,22,,,,27,27,,
Uzbekistan,UZB,ECA,26,146,1.52,7,23.51,28.49,,,29,20,24,22,,,,25,27,,37
Cameroon,CMR,SSA,25,149,1.36,9,22.76,27.24,34,,29,20,,35,,,24,14,27,26,18
Guatemala,GTM,AME,25,149,1.38,7,22.74,27.26,,,25,20,,22,,,32,20,,32,26
Iran,IRN,MENA,25,149,2.56,7,20.80,29.20,,,13,20,,35,,,24,18,,28,40
Lebanon,LBN,MENA,25,149,1.15,7,23.11,26.89,,,21,20,,22,,,24,26,,32,28
Madagascar,MDG,SSA,25,149,1.51,8,22.52,27.48,19,,33,,,35,,,24,25,27,17,18
Mozambique,MOZ,SSA,25,149,1.60,9,22.38,27.62,11,,25,20,,35,,,32,35,27,16,27
Nigeria,NGA,SSA,25,149,1.45,8,22.62,27.38,,,33,20,,22,,,24,16,35,24,25
Tajikistan,TJK,ECA,25,149,5.09,6,16.66,33.34,,,17,,21,22,,,,13,18,57,
Honduras,HND,AME,24,157,1.52,7,21.50,26.50,,,21,20,,22,,,35,17,27,,23
Zimbabwe,ZWE,SSA,24,157,1.35,9,21.78,26.22,16,,21,37,,22,,,15,20,27,31,25
Nicaragua,NIC,AME,22,159,0.90,7,20.53,23.47,,,21,20,,22,,,24,16,27,,21
Cambodia,KHM,AP,21,160,2.32,8,17.19,24.81,,,13,20,,35,,29,,15,10,35,14
Chad,TCD,SSA,21,160,1.71,6,18.20,23.80,24,,21,,,22,,,,11,27,19,
Comoros,COM,SSA,21,160,5.75,4,11.57,30.43,4,,,,,35,,,,18,27,,
Eritrea,ERI,SSA,21,160,4.58,5,13.49,28.51,4,,13,,,35,,,,28,27,,
Iraq,IRQ,MENA,21,160,2.52,5,16.86,25.14,,,29,20,,10,,,24,21,,,
Afghanistan,AFG,AP,19,165,2.44,5,15.00,23.00,,,25,,,10,,,,26,18,,15
Burundi,BDI,SSA,19,165,3.74,6,12.87,25.13,14,,17,,,22,,,,11,10,42,
Congo,COG,SSA,19,165,0.80,6,17.69,20.31,,,21,20,,22,,,15,18,18,,
Guinea Bissau,GNB,SSA,19,165,2.71,6,14.56,23.44,11,,29,,,22,,,29,15,10,,
Turkmenistan,TKM,ECA,19,165,0.91,5,17.50,20.50,,,17,20,21,22,,,,17,,,
Democratic Republic of the Congo,COD,SSA,18,170,0.75,9,16.77,19.23,24,,21,20,,22,,,15,15,18,16,12
Haiti,HTI,AME,18,170,2.47,6,13.95,22.05,,,17,,,22,,,24,13,27,5,
"Korea, North",PRK,AP,18,170,3.46,4,12.33,23.67,,,17,,,10,,,15,29,,,
Libya,LBY,MENA,17,173,1.72,5,14.19,19.81,,,21,20,,10,,,15,21,,,
Equatorial Guinea,GNQ,SSA,16,174,2.60,4,11.74,20.26,,,9,20,,22,,,,15,,,
Sudan,SDN,SSA,16,174,2.14,7,12.49,19.51,14,,13,20,,22,,,6,30,10,,
Venezuela,VEN,AME,15,176,0.91,8,13.50,16.50,,,9,20,,10,20,,15,16,,16,13
Yemen,YEM,MENA,15,176,1.33,7,12.81,17.19,,,13,20,,10,,,15,13,10,23,
Syria,SYR,MENA,14,178,1.58,5,11.41,16.59,,,9,20,,10,,,15,15,,,
Somalia,SOM,SSA,12,179,2.29,6,8.24,15.76,4,,9,,,22,,,6,15,18,,
South Sudan,SSD,SSA,12,179,1.11,5,10.18,13.82,11,,17,,,10,,,,9,10,,
